Date	Average
03/19/2014	45
11/18/2013	48
08/18/2013	65
09/20/2013	65
10/30/2014	65
01/07/2014	45
11/01/2013	75
09/06/2013	65
02/21/2014	45
12/31/2013	45
04/06/2014	55
03/17/2014	45
02/09/2014	45
07/15/2013	55
09/05/2013	65
02/04/2014	45
11/04/2013	65
02/02/2014	55
12/24/2013	45
11/24/2013	65
03/20/2014	45
01/26/2014	48
01/24/2014	45
09/09/2013	65
12/29/2013	45
08/30/2013	65
03/13/2014	45
10/27/2013	75
03/25/2014	45
12/09/2013	45
07/11/2013	55
04/21/2014	55
12/03/2013	45
02/06/2014	45
10/08/2013	75
01/29/2014	45
02/03/2014	45
06/19/2013	55
09/10/2013	65
12/06/2013	45
05/05/2014	83
09/23/2013	65
09/08/2013	65
12/20/2013	45
12/10/2013	45
11/21/2013	53
06/16/2013	55
06/20/2013	55
04/10/2014	45
07/09/2013	65
03/06/2014	45
04/28/2014	85
11/20/2013	48
05/04/2014	83
05/02/2014	85
12/11/2013	45
12/12/2013	45
09/11/2013	65
02/20/2014	45
08/27/2013	65
02/14/2014	45
02/17/2014	45
10/02/2013	75
01/13/2014	45
04/29/2014	85
01/06/2014	45
11/13/2013	53
11/01/2014	55
03/28/2014	45
02/13/2014	45
03/31/2014	48
11/29/2013	43
11/08/2014	65
03/24/2014	45
04/30/2014	85
10/31/2014	65
08/19/2013	65
11/05/2013	65
01/27/2014	48
10/12/2013	75
04/07/2014	55
01/14/2014	45
10/25/2013	75
12/13/2013	45
10/20/2013	75
06/25/2013	57
11/07/2013	65
09/24/2013	75
03/11/2014	45
01/28/2014	45
08/26/2013	65
03/26/2014	45
12/04/2013	45
10/10/2013	75
01/09/2014	45
07/16/2013	55
03/07/2014	45
04/15/2014	45
10/30/2013	75
01/02/2014	45
06/28/2013	55
03/27/2014	45
07/21/2013	55
01/22/2014	45
10/23/2013	75
09/04/2013	65
03/21/2014	45
04/23/2014	85
04/27/2014	75
09/16/2013	65
01/03/2014	55
01/05/2014	45
11/03/2013	75
11/15/2013	48
01/08/2014	45
04/17/2014	45
09/15/2013	65
11/17/2013	48
12/01/2013	45
08/25/2013	65
02/24/2014	45
12/19/2013	45
02/18/2014	45
11/25/2013	65
07/19/2013	55
10/11/2013	77
07/12/2013	55
04/20/2014	55
02/23/2014	45
06/18/2013	55
05/27/2014	85
10/07/2013	65
01/01/2014	45
02/25/2014	45
11/22/2013	75
09/30/2013	75
06/17/2013	65
07/10/2013	55
09/12/2013	65
06/27/2013	55
05/07/2014	85
07/18/2013	55
02/10/2014	45
07/05/2013	65
11/10/2014	55
05/12/2014	85
12/23/2013	45
03/09/2014	45
09/03/2013	65
10/01/2013	75
05/11/2014	85
07/04/2013	55
04/04/2014	55
06/21/2013	55
01/21/2014	55
10/29/2013	75
08/16/2013	65
08/23/2013	75
11/27/2013	65
04/16/2014	45
11/09/2014	65
03/14/2014	45
10/16/2013	65
07/14/2013	55
01/20/2014	45
02/07/2014	45
03/23/2014	45
11/14/2013	48
12/08/2013	47
09/27/2013	75
05/06/2014	83
11/28/2013	45
11/02/2014	65
05/08/2014	85
03/03/2014	45
04/11/2014	45
09/22/2013	75
12/27/2013	45
10/24/2013	65
01/17/2014	45
12/16/2013	45
03/05/2014	45
12/26/2013	45
02/16/2014	45
07/02/2013	57
01/12/2014	45
04/13/2014	45
04/03/2014	53
07/01/2013	55
09/01/2013	65
01/10/2014	45
12/22/2013	45
11/04/2014	65
12/15/2013	45
11/16/2013	48
10/22/2013	75
11/10/2013	53
03/10/2014	45
10/17/2013	75
10/31/2013	75
09/26/2013	75
10/21/2013	65
12/02/2013	45
02/05/2014	45
01/16/2014	45
04/01/2014	53
10/29/2014	75
04/18/2014	45
09/17/2013	65
09/02/2013	65
12/18/2013	45
01/19/2014	55
04/22/2014	75
09/25/2013	75
03/12/2014	45
08/14/2013	65
09/13/2013	65
02/12/2014	45
10/04/2013	75
02/26/2014	45
03/18/2014	45
10/03/2013	75
07/03/2013	55
02/11/2014	45
01/23/2014	45
09/29/2013	75
06/30/2013	55
04/02/2014	53
11/11/2013	48
10/28/2013	75
07/17/2013	55
04/09/2014	45
12/05/2013	45
10/06/2013	75
05/09/2014	85
08/08/2013	65
02/28/2014	55
06/26/2013	55
11/12/2013	55
10/09/2013	75
