Date	Average
09/08/2014	85
03/19/2014	75
11/18/2013	93
08/18/2013	75
09/20/2013	85
10/30/2014	75
07/21/2014	115
01/07/2014	85
11/01/2013	65
06/18/2014	105
07/29/2014	125
09/06/2013	75
10/25/2014	48
02/21/2014	78
12/31/2013	95
07/08/2014	125
08/29/2013	95
04/06/2014	88
03/17/2014	65
06/23/2014	105
02/09/2014	85
09/01/2014	85
09/17/2014	87
05/21/2014	95
07/15/2013	95
09/05/2013	95
02/04/2014	85
11/04/2013	65
10/22/2014	85
02/02/2014	85
12/24/2013	105
07/01/2014	115
11/24/2013	85
06/01/2014	103
06/09/2014	105
03/20/2014	75
01/26/2014	85
01/24/2014	85
07/06/2014	115
09/09/2013	85
10/19/2014	85
09/16/2014	85
06/12/2014	105
12/29/2013	95
08/30/2013	95
03/13/2014	75
10/27/2013	75
07/10/2014	125
03/25/2014	77
08/07/2014	105
12/09/2013	85
07/11/2013	95
08/07/2013	85
08/04/2014	105
11/06/2014	85
09/30/2014	85
04/21/2014	75
12/03/2013	85
10/08/2013	75
07/22/2013	85
01/29/2014	75
02/03/2014	85
06/19/2013	95
09/10/2013	87
05/20/2014	95
12/06/2013	85
05/05/2014	83
09/23/2013	85
09/08/2013	85
12/20/2013	85
08/13/2013	85
12/10/2013	85
08/01/2014	115
08/06/2013	88
11/21/2013	85
11/07/2014	85
06/16/2013	95
06/20/2013	95
04/10/2014	75
05/26/2014	105
07/09/2013	95
10/14/2014	77
03/06/2014	75
04/28/2014	85
11/20/2013	95
11/26/2013	85
10/08/2014	87
05/04/2014	85
05/02/2014	95
07/24/2014	115
07/11/2014	125
07/22/2014	125
09/24/2014	85
12/11/2013	85
12/12/2013	85
09/11/2013	85
02/20/2014	83
08/27/2013	85
02/14/2014	85
02/17/2014	78
10/02/2013	75
01/13/2014	85
04/29/2014	85
01/06/2014	95
07/28/2013	88
09/22/2014	85
11/13/2013	75
11/01/2014	85
03/28/2014	73
02/13/2014	85
08/03/2014	105
08/02/2013	88
03/31/2014	68
11/29/2013	85
11/08/2014	85
05/23/2014	105
10/28/2014	85
03/24/2014	75
08/23/2014	85
09/13/2014	85
04/30/2014	85
10/31/2014	75
06/27/2014	115
08/19/2013	85
06/03/2014	105
11/05/2013	65
08/01/2013	88
09/28/2014	95
08/17/2014	85
01/27/2014	85
10/24/2014	83
09/15/2014	85
10/12/2013	85
10/27/2014	58
08/15/2013	85
04/07/2014	88
01/14/2014	85
06/08/2014	105
08/25/2014	85
10/25/2013	75
12/13/2013	95
06/04/2014	105
10/20/2013	85
06/25/2013	95
11/07/2013	65
05/18/2014	95
09/24/2013	85
10/15/2013	85
03/11/2014	75
08/04/2013	88
01/28/2014	85
08/26/2013	85
03/26/2014	75
12/04/2013	85
10/10/2013	75
01/09/2014	85
07/16/2013	93
09/09/2014	87
03/07/2014	75
04/15/2014	65
10/30/2013	65
07/15/2014	115
06/26/2014	115
01/02/2014	95
06/28/2013	95
03/27/2014	75
07/21/2013	85
01/22/2014	85
10/23/2013	85
07/23/2014	117
09/21/2014	85
09/04/2013	85
03/21/2014	75
04/23/2014	75
04/27/2014	85
09/16/2013	85
01/03/2014	95
01/05/2014	85
06/17/2014	105
08/06/2014	105
11/15/2013	53
01/08/2014	85
04/17/2014	75
07/31/2014	125
09/15/2013	85
09/19/2014	85
06/11/2014	105
06/10/2014	107
11/17/2013	95
12/01/2013	85
08/25/2013	85
10/13/2014	77
02/24/2014	78
07/14/2014	125
12/19/2013	85
06/20/2014	105
02/18/2014	78
11/25/2013	85
07/19/2013	88
10/11/2013	75
07/30/2014	125
07/18/2014	115
05/25/2014	105
10/12/2014	85
07/12/2013	95
04/20/2014	88
02/23/2014	78
05/15/2014	87
08/08/2014	105
08/28/2014	85
08/12/2014	95
06/18/2013	95
05/27/2014	98
10/07/2013	75
07/02/2014	120
07/23/2013	85
01/01/2014	95
02/25/2014	78
11/22/2013	85
09/07/2014	85
05/19/2014	95
10/09/2014	85
09/30/2013	85
06/17/2013	95
10/16/2014	87
07/24/2013	88
07/10/2013	95
10/20/2014	85
05/30/2014	105
07/31/2013	88
11/06/2013	65
09/12/2013	85
07/28/2014	115
06/27/2013	95
05/07/2014	87
07/18/2013	90
11/03/2014	85
02/10/2014	85
09/14/2014	85
07/13/2014	125
07/05/2013	95
11/10/2014	87
05/12/2014	85
10/17/2014	85
12/23/2013	95
09/18/2014	85
03/09/2014	78
09/03/2013	85
10/01/2013	85
08/13/2014	85
05/11/2014	87
07/04/2013	95
04/04/2014	88
08/09/2014	95
07/25/2013	88
06/21/2013	95
01/21/2014	85
08/15/2014	85
10/29/2013	75
08/16/2013	78
08/23/2013	85
08/18/2014	85
11/27/2013	85
04/16/2014	75
11/09/2014	85
06/30/2014	115
03/14/2014	75
10/23/2014	85
10/16/2013	85
08/31/2014	95
07/14/2013	95
01/20/2014	85
02/07/2014	85
06/15/2014	105
03/23/2014	73
11/14/2013	85
09/02/2014	85
08/21/2014	85
12/08/2013	85
07/29/2013	88
09/27/2013	75
08/19/2014	85
05/06/2014	83
07/04/2014	115
08/20/2014	85
11/28/2013	85
11/02/2014	85
05/08/2014	83
06/16/2014	105
08/11/2014	95
07/27/2014	130
03/03/2014	65
07/05/2014	115
04/11/2014	75
09/22/2013	85
07/07/2014	125
07/25/2014	125
09/23/2014	87
12/27/2013	95
08/05/2014	105
09/05/2014	85
10/24/2013	85
10/14/2013	85
01/17/2014	85
12/16/2013	95
03/05/2014	75
12/26/2013	105
02/16/2014	78
07/02/2013	95
01/12/2014	85
07/16/2014	115
04/13/2014	75
04/03/2014	88
06/06/2014	105
08/26/2014	85
07/01/2013	105
09/01/2013	75
01/10/2014	85
08/29/2014	95
12/22/2013	95
11/04/2014	85
12/15/2013	95
11/16/2013	83
09/29/2014	85
10/22/2013	85
09/11/2014	85
11/10/2013	65
03/10/2014	75
05/28/2014	105
09/19/2013	85
10/17/2013	55
11/05/2014	85
10/31/2013	65
05/22/2014	105
08/10/2014	103
09/26/2013	85
08/14/2014	85
10/21/2013	85
05/13/2014	85
09/12/2014	85
09/06/2014	85
05/16/2014	95
07/19/2014	115
07/20/2014	115
12/02/2013	85
07/17/2014	115
02/05/2014	85
01/16/2014	85
07/09/2014	115
08/22/2014	85
04/01/2014	68
10/29/2014	85
04/18/2014	85
06/19/2014	105
09/17/2013	85
09/02/2013	95
08/24/2014	85
12/18/2013	95
04/25/2014	105
10/21/2014	85
01/19/2014	85
04/22/2014	75
09/25/2013	85
08/27/2014	95
07/03/2014	115
09/03/2014	85
03/12/2014	75
08/14/2013	88
09/13/2013	85
02/12/2014	85
10/04/2013	85
08/05/2013	88
02/26/2014	78
03/18/2014	75
06/24/2014	115
10/03/2013	85
09/04/2014	85
07/03/2013	105
09/20/2014	85
06/13/2014	105
02/11/2014	85
08/16/2014	85
01/23/2014	85
07/26/2013	88
09/29/2013	75
10/10/2014	77
06/30/2013	105
07/30/2013	88
04/02/2014	73
11/11/2013	65
10/28/2013	65
09/26/2014	95
07/17/2013	88
07/12/2014	125
04/09/2014	95
12/05/2013	85
06/05/2014	105
10/06/2013	75
07/26/2014	125
05/09/2014	85
08/08/2013	85
02/28/2014	78
06/02/2014	105
09/10/2014	90
06/26/2013	95
11/12/2013	75
10/09/2013	75
