Date	Average
11/18/2013	33
10/30/2014	37
01/07/2014	43
11/01/2013	39
02/21/2014	48
12/31/2013	38
04/06/2014	55
03/17/2014	48
02/09/2014	43
02/04/2014	48
10/22/2014	78
02/02/2014	38
12/24/2013	43
11/24/2013	38
01/26/2014	41
01/24/2014	43
12/29/2013	43
03/13/2014	48
03/25/2014	48
12/09/2013	38
11/06/2014	28
12/03/2013	43
02/06/2014	48
02/03/2014	43
12/06/2013	38
12/20/2013	38
12/10/2013	38
11/21/2013	30
11/07/2014	28
04/10/2014	53
10/14/2014	48
03/06/2014	48
11/20/2013	38
11/26/2013	38
12/11/2013	43
12/12/2013	38
02/20/2014	48
02/14/2014	48
02/17/2014	48
01/13/2014	43
01/06/2014	43
11/13/2013	33
11/01/2014	32
03/28/2014	48
02/13/2014	48
03/31/2014	48
11/29/2013	38
11/08/2014	28
03/24/2014	48
10/31/2014	33
09/28/2014	77
01/27/2014	43
04/07/2014	58
01/14/2014	43
12/13/2013	38
03/11/2014	48
01/28/2014	43
03/26/2014	48
12/04/2013	38
01/09/2014	43
03/07/2014	48
04/15/2014	48
01/02/2014	43
03/27/2014	48
01/22/2014	43
01/03/2014	43
01/05/2014	38
11/15/2013	37
01/08/2014	38
11/17/2013	39
12/01/2013	38
02/24/2014	48
12/19/2013	43
02/18/2014	33
11/25/2013	38
02/23/2014	48
01/01/2014	43
02/25/2014	48
11/22/2013	38
10/16/2014	48
11/03/2014	29
02/10/2014	48
11/10/2014	28
10/17/2014	48
12/23/2013	43
03/09/2014	48
04/04/2014	55
01/21/2014	43
11/27/2013	39
11/09/2014	33
10/23/2014	78
01/20/2014	43
02/07/2014	48
11/14/2013	36
12/08/2013	38
11/28/2013	45
11/02/2014	33
03/03/2014	48
04/11/2014	48
12/27/2013	43
01/17/2014	43
12/16/2013	38
03/05/2014	48
12/26/2013	33
02/16/2014	48
01/12/2014	43
04/13/2014	48
04/03/2014	53
01/10/2014	43
12/22/2013	43
11/04/2014	28
12/15/2013	38
11/16/2013	39
11/10/2013	46
03/10/2014	48
11/05/2014	28
12/02/2013	38
02/05/2014	43
01/16/2014	43
04/01/2014	51
10/29/2014	38
12/18/2013	43
10/21/2014	73
01/19/2014	43
03/12/2014	48
02/12/2014	48
02/26/2014	48
03/18/2014	48
02/11/2014	43
01/23/2014	43
04/02/2014	48
11/11/2013	43
04/09/2014	53
12/05/2013	38
02/28/2014	48
11/12/2013	38
