Date	Average
09/08/2014	105
03/19/2014	58
07/21/2014	125
01/07/2014	27
11/01/2013	78
06/18/2014	125
07/29/2014	105
10/25/2014	95
02/21/2014	48
12/31/2013	28
07/08/2014	125
04/06/2014	33
03/17/2014	67
06/23/2014	115
02/09/2014	32
09/01/2014	105
09/17/2014	105
02/04/2014	22
11/04/2013	77
10/22/2014	83
02/02/2014	24
12/24/2013	33
11/24/2013	58
03/20/2014	55
01/26/2014	27
01/24/2014	24
07/06/2014	105
10/19/2014	83
09/16/2014	105
12/29/2013	43
03/13/2014	75
10/27/2013	53
07/10/2014	115
03/25/2014	43
08/07/2014	105
12/09/2013	65
08/04/2014	105
11/06/2014	68
09/30/2014	87
04/21/2014	63
12/03/2013	58
02/06/2014	28
10/08/2013	68
01/29/2014	24
02/03/2014	26
12/06/2013	78
09/23/2013	95
12/20/2013	39
12/10/2013	58
08/01/2014	105
11/21/2013	98
11/07/2014	68
04/10/2014	38
10/14/2014	55
03/06/2014	87
11/26/2013	95
10/08/2014	77
07/24/2014	115
07/11/2014	123
07/22/2014	115
09/24/2014	95
12/11/2013	58
12/12/2013	57
02/20/2014	53
02/14/2014	40
02/17/2014	53
10/02/2013	78
01/13/2014	27
01/06/2014	26
09/22/2014	95
11/01/2014	68
03/28/2014	42
02/13/2014	39
08/03/2014	105
03/31/2014	28
11/29/2013	78
11/08/2014	68
03/24/2014	42
09/13/2014	105
10/31/2014	68
06/27/2014	125
06/25/2014	115
09/28/2014	95
08/17/2014	105
01/27/2014	25
10/24/2014	83
09/15/2014	105
10/12/2013	43
04/07/2014	26
01/14/2014	26
10/25/2013	53
12/13/2013	55
10/20/2013	158
09/24/2013	95
03/11/2014	75
01/28/2014	26
03/26/2014	38
12/04/2013	58
10/10/2013	65
01/09/2014	26
09/09/2014	105
03/07/2014	76
04/15/2014	43
10/30/2013	95
07/15/2014	125
06/26/2014	125
01/02/2014	25
03/27/2014	38
01/22/2014	27
10/23/2013	48
07/23/2014	115
09/21/2014	105
03/21/2014	46
04/23/2014	58
01/03/2014	28
01/05/2014	33
08/06/2014	105
01/08/2014	27
04/17/2014	58
07/31/2014	105
09/19/2014	105
12/01/2013	75
10/13/2014	48
02/24/2014	58
07/14/2014	125
12/19/2013	39
06/20/2014	125
02/18/2014	42
11/25/2013	75
10/11/2013	47
07/30/2014	105
07/18/2014	125
10/12/2014	47
04/20/2014	67
02/23/2014	53
08/08/2014	105
08/28/2014	115
08/12/2014	105
10/07/2013	78
01/01/2014	28
02/25/2014	58
11/22/2013	95
10/09/2014	53
09/30/2013	85
10/20/2014	83
07/28/2014	107
11/03/2014	68
02/10/2014	33
07/13/2014	125
11/10/2014	68
10/17/2014	77
12/23/2013	33
09/18/2014	105
03/09/2014	78
10/01/2013	85
08/13/2014	105
04/04/2014	36
08/09/2014	105
01/21/2014	26
10/29/2013	85
08/18/2014	105
11/27/2013	85
04/16/2014	53
11/09/2014	95
06/30/2014	125
03/14/2014	70
10/23/2014	80
01/20/2014	24
02/07/2014	28
06/15/2014	135
03/23/2014	48
09/02/2014	105
08/21/2014	105
12/08/2013	78
09/27/2013	95
08/19/2014	105
08/20/2014	105
11/28/2013	85
11/02/2014	41
08/11/2014	105
07/27/2014	115
03/03/2014	61
07/05/2014	105
04/11/2014	30
07/07/2014	105
07/25/2014	115
08/02/2014	105
09/23/2014	95
12/27/2013	32
08/05/2014	105
09/05/2014	105
10/24/2013	48
01/17/2014	28
12/16/2013	47
03/05/2014	53
12/26/2013	33
02/16/2014	41
01/12/2014	26
07/16/2014	125
04/13/2014	43
04/03/2014	37
01/10/2014	28
08/29/2014	115
12/22/2013	38
11/04/2014	68
12/15/2013	48
11/16/2013	95
09/29/2014	90
10/22/2013	43
09/11/2014	105
03/10/2014	77
10/17/2013	43
11/05/2014	73
10/31/2013	95
08/10/2014	105
08/14/2014	105
10/21/2013	38
09/12/2014	105
09/06/2014	105
07/19/2014	125
07/20/2014	125
12/02/2013	65
07/17/2014	125
02/05/2014	29
01/16/2014	53
07/09/2014	115
08/22/2014	105
04/01/2014	33
04/18/2014	58
06/19/2014	135
12/18/2013	42
10/21/2014	83
01/19/2014	26
04/22/2014	58
09/25/2013	95
08/27/2014	115
09/03/2014	105
03/12/2014	65
02/12/2014	41
10/04/2013	75
02/26/2014	58
03/18/2014	55
06/24/2014	125
10/03/2013	73
09/04/2014	105
09/20/2014	105
02/11/2014	27
08/16/2014	105
01/23/2014	24
09/29/2013	95
10/10/2014	47
04/02/2014	32
10/28/2013	85
09/26/2014	95
07/12/2014	125
04/09/2014	29
12/05/2013	58
10/06/2013	65
07/26/2014	115
02/28/2014	60
09/10/2014	105
10/09/2013	65
