Date	Average
09/08/2014	96
03/19/2014	75
11/18/2013	85
08/18/2013	75
09/20/2013	75
10/30/2014	97
07/21/2014	87
01/07/2014	77
11/01/2013	75
06/18/2014	70
07/29/2014	96
09/06/2013	75
10/25/2014	95
02/21/2014	87
12/31/2013	77
07/08/2014	83
08/29/2013	75
04/06/2014	88
03/17/2014	77
06/23/2014	87
02/09/2014	86
09/01/2014	97
09/17/2014	97
05/21/2014	75
07/15/2013	65
09/05/2013	75
02/04/2014	87
11/04/2013	76
10/22/2014	97
02/02/2014	87
12/24/2013	77
07/01/2014	87
11/24/2013	75
06/01/2014	77
06/09/2014	77
03/20/2014	75
01/26/2014	83
01/24/2014	87
07/06/2014	87
09/09/2013	75
10/19/2014	97
09/16/2014	97
06/12/2014	77
12/29/2013	77
08/30/2013	75
03/13/2014	77
10/27/2013	75
07/10/2014	87
03/25/2014	75
08/07/2014	97
12/09/2013	75
07/11/2013	75
08/07/2013	75
08/04/2014	97
11/06/2014	97
09/30/2014	97
04/21/2014	75
12/03/2013	75
02/06/2014	86
10/08/2013	75
07/22/2013	75
01/29/2014	87
02/03/2014	87
06/19/2013	68
09/10/2013	78
05/20/2014	77
12/06/2013	75
05/05/2014	77
09/23/2013	76
09/08/2013	78
12/20/2013	75
08/13/2013	75
12/10/2013	75
08/01/2014	95
08/06/2013	75
11/21/2013	75
11/07/2014	97
06/16/2013	68
06/20/2013	68
04/10/2014	77
05/26/2014	77
07/09/2013	75
10/14/2014	97
03/06/2014	85
04/28/2014	75
11/20/2013	85
11/26/2013	75
10/08/2014	97
05/04/2014	77
05/02/2014	75
07/24/2014	87
07/11/2014	87
07/22/2014	87
09/24/2014	97
12/11/2013	75
10/26/2014	97
12/12/2013	77
09/11/2013	78
02/20/2014	87
08/27/2013	75
02/14/2014	87
02/17/2014	87
10/02/2013	75
01/13/2014	77
04/29/2014	75
01/06/2014	75
07/28/2013	75
09/22/2014	97
11/13/2013	75
11/01/2014	96
03/28/2014	75
02/13/2014	87
08/03/2014	95
08/02/2013	75
03/31/2014	83
11/29/2013	75
11/08/2014	96
05/23/2014	77
10/28/2014	97
03/24/2014	74
08/23/2014	96
09/13/2014	96
04/30/2014	75
10/31/2014	97
06/27/2014	83
06/25/2014	87
08/19/2013	75
06/03/2014	77
11/05/2013	75
08/01/2013	77
09/28/2014	97
08/17/2014	96
01/27/2014	85
10/24/2014	95
09/15/2014	97
10/12/2013	75
10/27/2014	97
08/15/2013	75
04/07/2014	88
01/14/2014	77
06/08/2014	77
08/25/2014	97
10/25/2013	75
12/13/2013	75
06/04/2014	78
10/20/2013	75
06/25/2013	68
11/07/2013	75
05/18/2014	77
09/24/2013	75
10/15/2013	75
03/11/2014	75
08/04/2013	75
01/28/2014	80
08/26/2013	75
03/26/2014	77
12/04/2013	75
10/10/2013	75
01/09/2014	77
07/16/2013	75
09/09/2014	97
03/07/2014	87
04/15/2014	75
10/30/2013	75
07/15/2014	87
06/26/2014	87
01/02/2014	75
06/28/2013	68
03/27/2014	77
07/21/2013	75
01/22/2014	87
10/23/2013	75
07/23/2014	87
09/21/2014	97
09/04/2013	75
03/21/2014	77
04/23/2014	77
04/27/2014	75
09/16/2013	75
01/03/2014	77
01/05/2014	75
11/03/2013	76
06/17/2014	77
08/06/2014	83
11/15/2013	78
01/08/2014	75
04/17/2014	75
07/31/2014	97
09/15/2013	75
09/19/2014	97
06/11/2014	77
06/10/2014	77
11/17/2013	83
12/01/2013	75
08/25/2013	75
10/13/2014	97
02/24/2014	87
07/14/2014	87
12/19/2013	75
06/20/2014	77
02/18/2014	87
11/25/2013	75
07/19/2013	75
10/11/2013	75
07/30/2014	97
07/18/2014	87
05/25/2014	77
10/12/2014	97
07/12/2013	75
04/20/2014	77
02/23/2014	87
05/15/2014	77
08/08/2014	97
08/28/2014	97
08/12/2014	86
06/18/2013	68
05/27/2014	77
10/07/2013	75
07/02/2014	87
07/23/2013	75
01/01/2014	77
02/25/2014	87
11/22/2013	75
09/07/2014	97
05/19/2014	77
10/09/2014	97
09/30/2013	75
06/17/2013	68
10/16/2014	97
07/24/2013	75
07/10/2013	75
10/20/2014	97
05/30/2014	77
07/31/2013	75
11/06/2013	75
09/12/2013	78
07/28/2014	97
06/27/2013	68
05/07/2014	77
07/18/2013	75
11/03/2014	97
02/10/2014	86
09/14/2014	97
07/13/2014	85
07/05/2013	75
11/10/2014	97
05/12/2014	77
10/17/2014	97
12/23/2013	75
09/18/2014	97
03/09/2014	87
09/03/2013	75
10/01/2013	75
08/13/2014	87
05/11/2014	73
07/04/2013	75
04/04/2014	88
08/09/2014	96
07/25/2013	75
06/21/2013	68
01/21/2014	87
08/15/2014	83
10/29/2013	75
08/16/2013	75
08/23/2013	75
08/18/2014	97
11/27/2013	75
04/16/2014	77
11/09/2014	97
06/30/2014	87
03/14/2014	75
10/23/2014	95
10/16/2013	75
08/31/2014	97
07/14/2013	75
01/20/2014	80
02/07/2014	83
06/15/2014	77
03/23/2014	77
11/14/2013	78
09/02/2014	96
08/21/2014	97
12/08/2013	75
07/29/2013	75
09/27/2013	75
08/19/2014	97
05/06/2014	77
07/04/2014	87
08/20/2014	97
11/28/2013	75
11/02/2014	97
05/08/2014	77
06/16/2014	77
08/11/2014	88
07/27/2014	97
03/03/2014	87
07/05/2014	86
04/11/2014	75
09/22/2013	76
07/07/2014	87
07/25/2014	87
08/02/2014	96
09/23/2014	97
12/27/2013	75
08/05/2014	95
09/05/2014	97
10/24/2013	78
10/14/2013	75
01/17/2014	77
12/16/2013	75
03/05/2014	87
12/26/2013	77
02/16/2014	87
07/02/2013	75
01/12/2014	77
07/16/2014	87
04/13/2014	75
04/03/2014	88
06/06/2014	77
08/26/2014	97
07/01/2013	68
09/01/2013	75
10/15/2014	97
01/10/2014	75
08/29/2014	97
12/22/2013	77
11/04/2014	97
12/15/2013	75
11/16/2013	83
09/29/2014	97
10/22/2013	75
09/11/2014	97
11/10/2013	78
03/10/2014	75
05/28/2014	77
09/19/2013	73
10/17/2013	75
11/05/2014	97
10/31/2013	75
05/22/2014	75
08/10/2014	95
09/26/2013	75
08/14/2014	87
10/21/2013	75
05/13/2014	77
09/12/2014	97
09/06/2014	96
05/16/2014	75
07/19/2014	86
07/20/2014	87
06/29/2014	85
12/02/2013	75
07/17/2014	86
02/05/2014	77
01/16/2014	77
07/09/2014	87
08/22/2014	97
04/01/2014	85
10/29/2014	96
04/18/2014	77
06/19/2014	73
09/17/2013	75
09/02/2013	75
08/24/2014	93
12/18/2013	75
04/25/2014	75
10/21/2014	97
01/19/2014	83
04/22/2014	75
09/25/2013	75
08/27/2014	93
07/03/2014	87
09/03/2014	97
03/12/2014	75
08/14/2013	75
09/13/2013	78
02/12/2014	86
10/04/2013	75
08/05/2013	75
02/26/2014	87
03/18/2014	77
06/24/2014	87
10/03/2013	75
09/04/2014	97
07/03/2013	75
09/20/2014	96
06/13/2014	77
02/11/2014	86
08/16/2014	96
01/23/2014	83
07/26/2013	75
09/29/2013	75
10/10/2014	97
06/30/2013	68
07/30/2013	75
04/02/2014	83
11/11/2013	65
10/28/2013	75
09/26/2014	97
07/17/2013	75
07/12/2014	86
04/09/2014	73
12/05/2013	75
06/05/2014	77
10/06/2013	75
07/26/2014	96
05/09/2014	77
08/08/2013	75
02/28/2014	87
06/02/2014	77
09/10/2014	97
06/26/2013	68
11/12/2013	75
10/09/2013	70
