Date	Average
09/08/2014	28
03/19/2014	38
11/18/2013	65
08/18/2013	33
09/20/2013	38
10/30/2014	26
07/21/2014	18
01/07/2014	29
11/01/2013	45
06/18/2014	18
07/29/2014	34
09/06/2013	53
10/25/2014	49
02/21/2014	31
12/31/2013	33
07/08/2014	14
08/29/2013	36
04/06/2014	43
03/17/2014	53
06/23/2014	19
02/09/2014	32
09/01/2014	42
09/17/2014	48
05/21/2014	18
07/15/2013	53
09/05/2013	48
02/04/2014	33
11/04/2013	53
10/22/2014	58
02/02/2014	23
12/24/2013	29
07/01/2014	18
11/24/2013	55
06/01/2014	27
06/09/2014	37
03/20/2014	42
01/26/2014	19
01/24/2014	21
07/06/2014	15
10/13/2013	71
09/09/2013	58
10/19/2014	48
09/16/2014	49
06/12/2014	26
12/29/2013	34
08/30/2013	33
03/13/2014	55
10/27/2013	48
07/10/2014	14
03/25/2014	37
08/07/2014	32
12/09/2013	28
07/11/2013	35
08/07/2013	28
08/04/2014	31
11/06/2014	31
09/30/2014	60
04/21/2014	32
12/03/2013	45
02/06/2014	31
10/08/2013	58
07/22/2013	30
01/29/2014	23
02/03/2014	33
06/19/2013	26
09/10/2013	47
05/20/2014	22
12/06/2013	28
05/05/2014	21
09/23/2013	32
09/08/2013	54
12/20/2013	24
08/13/2013	28
12/10/2013	33
08/01/2014	34
08/06/2013	31
11/21/2013	60
11/07/2014	32
06/16/2013	29
06/20/2013	24
04/10/2014	35
05/26/2014	23
07/09/2013	22
10/14/2014	51
03/06/2014	48
04/28/2014	34
11/20/2013	65
11/26/2013	65
10/08/2014	33
05/04/2014	28
05/02/2014	30
07/24/2014	27
07/11/2014	14
07/22/2014	18
09/24/2014	55
12/11/2013	30
10/26/2014	28
12/12/2013	28
09/11/2013	40
02/20/2014	36
08/27/2013	30
02/14/2014	27
02/17/2014	30
10/02/2013	43
01/13/2014	33
04/29/2014	30
01/06/2014	33
07/28/2013	43
09/22/2014	58
11/13/2013	70
11/01/2014	30
03/28/2014	42
02/13/2014	26
08/03/2014	32
08/02/2013	31
03/31/2014	40
11/29/2013	49
11/08/2014	33
05/23/2014	18
10/28/2014	37
03/24/2014	32
08/23/2014	46
09/13/2014	26
04/30/2014	33
10/31/2014	31
06/27/2014	25
06/25/2014	20
08/19/2013	38
06/03/2014	32
11/05/2013	59
08/01/2013	36
09/28/2014	47
08/17/2014	32
01/27/2014	20
10/24/2014	50
09/15/2014	49
10/12/2013	66
10/27/2014	33
08/15/2013	29
04/07/2014	43
01/14/2014	33
06/08/2014	43
08/25/2014	54
10/25/2013	40
12/13/2013	27
06/04/2014	37
10/20/2013	33
06/25/2013	28
11/07/2013	75
05/18/2014	27
09/24/2013	33
10/15/2013	68
03/11/2014	48
08/04/2013	27
01/28/2014	21
08/26/2013	30
03/26/2014	45
12/04/2013	43
10/10/2013	78
01/09/2014	32
07/16/2013	50
02/08/2014	34
09/09/2014	25
03/07/2014	47
04/15/2014	43
10/30/2013	48
07/15/2014	12
06/26/2014	21
01/02/2014	33
06/28/2013	26
03/27/2014	43
07/21/2013	30
01/22/2014	17
10/23/2013	33
07/23/2014	18
09/21/2014	65
09/04/2013	43
03/21/2014	37
04/23/2014	34
04/27/2014	34
09/16/2013	35
01/03/2014	33
01/05/2014	33
06/17/2014	20
08/06/2014	30
11/15/2013	56
01/08/2014	33
04/17/2014	38
07/31/2014	35
09/15/2013	38
09/19/2014	55
06/11/2014	29
06/10/2014	33
11/17/2013	72
12/01/2013	48
08/25/2013	33
10/13/2014	38
02/24/2014	34
07/14/2014	12
12/19/2013	24
06/20/2014	17
02/18/2014	33
11/25/2013	60
07/19/2013	38
10/11/2013	78
07/30/2014	32
07/18/2014	17
05/25/2014	19
10/12/2014	34
07/12/2013	46
04/20/2014	38
02/23/2014	28
05/15/2014	23
08/08/2014	26
08/28/2014	54
08/12/2014	26
06/18/2013	24
05/27/2014	23
10/07/2013	65
07/02/2014	16
07/23/2013	33
01/01/2014	33
02/25/2014	33
11/22/2013	58
09/07/2014	26
05/19/2014	24
10/09/2014	31
09/30/2013	40
06/17/2013	23
10/16/2014	61
07/24/2013	34
07/10/2013	33
10/20/2014	48
05/30/2014	23
07/31/2013	38
11/06/2013	65
09/12/2013	39
07/28/2014	36
06/27/2013	21
05/07/2014	14
