Date	Average
09/08/2014	38
03/19/2014	33
11/18/2013	58
10/30/2014	48
01/07/2014	43
11/01/2013	58
06/18/2014	48
10/25/2014	53
02/21/2014	33
12/31/2013	43
04/06/2014	43
03/17/2014	33
06/23/2014	48
02/09/2014	33
09/17/2014	48
05/21/2014	58
02/04/2014	33
11/04/2013	58
10/22/2014	53
02/02/2014	33
12/24/2013	39
07/01/2014	48
11/24/2013	48
06/01/2014	58
06/09/2014	53
03/20/2014	28
01/26/2014	38
01/24/2014	33
10/13/2013	48
10/19/2014	48
09/16/2014	43
06/12/2014	48
12/29/2013	38
03/13/2014	33
10/27/2013	58
03/25/2014	29
12/09/2013	48
11/06/2014	48
04/21/2014	65
12/03/2013	53
02/06/2014	33
10/08/2013	48
07/22/2013	48
01/29/2014	38
02/03/2014	33
06/19/2013	48
05/20/2014	58
12/06/2013	48
05/05/2014	57
12/20/2013	43
12/10/2013	48
11/21/2013	58
11/07/2014	48
06/16/2013	43
06/20/2013	55
04/10/2014	48
05/26/2014	57
07/09/2013	48
10/14/2014	48
03/06/2014	33
04/28/2014	48
11/20/2013	58
11/26/2013	48
10/08/2014	43
05/04/2014	48
05/02/2014	48
09/24/2014	43
12/11/2013	48
12/12/2013	48
02/20/2014	38
02/14/2014	33
02/17/2014	38
01/13/2014	48
04/29/2014	48
01/06/2014	43
07/28/2013	48
09/22/2014	43
11/13/2013	55
11/01/2014	48
03/28/2014	38
03/31/2014	38
11/08/2014	48
05/23/2014	58
03/24/2014	29
09/13/2014	38
04/30/2014	48
10/31/2014	48
06/27/2014	48
06/25/2014	48
06/03/2014	58
11/05/2013	48
09/28/2014	43
01/27/2014	38
10/24/2014	43
09/15/2014	43
10/12/2013	58
04/07/2014	43
01/14/2014	43
06/08/2014	58
10/25/2013	48
12/13/2013	48
06/04/2014	57
10/20/2013	48
06/25/2013	48
11/07/2013	58
05/18/2014	48
10/15/2013	48
03/11/2014	33
01/28/2014	33
03/26/2014	38
12/04/2013	53
10/10/2013	48
01/09/2014	43
09/09/2014	38
03/07/2014	33
04/15/2014	48
10/30/2013	58
01/02/2014	39
06/28/2013	48
03/27/2014	43
07/21/2013	43
01/22/2014	38
10/23/2013	48
09/21/2014	43
03/21/2014	33
04/23/2014	48
04/27/2014	58
01/03/2014	38
01/05/2014	39
11/03/2013	58
06/17/2014	48
11/15/2013	53
01/08/2014	38
04/17/2014	58
09/19/2014	43
06/11/2014	48
06/10/2014	48
11/17/2013	55
12/01/2013	58
10/13/2014	48
02/24/2014	33
12/19/2013	48
06/20/2014	48
02/18/2014	33
11/25/2013	48
07/19/2013	53
10/11/2013	48
05/25/2014	48
10/12/2014	48
07/12/2013	48
04/20/2014	65
02/23/2014	33
05/15/2014	58
06/18/2013	48
05/27/2014	58
10/07/2013	58
07/23/2013	48
01/01/2014	48
02/25/2014	33
11/22/2013	48
09/07/2014	58
05/19/2014	58
10/09/2014	48
06/17/2013	48
10/16/2014	48
07/24/2013	53
07/10/2013	48
10/20/2014	48
05/30/2014	58
11/06/2013	58
06/27/2013	43
05/07/2014	48
07/18/2013	43
11/03/2014	48
02/10/2014	33
09/14/2014	38
07/05/2013	48
11/10/2014	63
05/12/2014	48
10/17/2014	48
12/23/2013	48
09/18/2014	48
03/09/2014	33
05/11/2014	47
07/04/2013	48
04/04/2014	43
07/25/2013	48
06/21/2013	48
01/21/2014	38
10/29/2013	68
11/27/2013	48
04/16/2014	43
11/09/2014	48
06/30/2014	58
03/14/2014	33
10/23/2014	50
10/16/2013	58
07/14/2013	48
01/20/2014	38
02/07/2014	33
06/15/2014	48
03/23/2014	29
11/14/2013	55
12/08/2013	38
07/29/2013	48
05/06/2014	48
11/28/2013	48
11/02/2014	48
05/08/2014	47
06/16/2014	48
03/03/2014	33
04/11/2014	48
09/23/2014	43
12/27/2013	39
10/24/2013	48
01/17/2014	38
12/16/2013	52
03/05/2014	33
12/26/2013	48
02/16/2014	33
07/02/2013	48
01/12/2014	43
04/13/2014	43
06/06/2014	58
07/01/2013	48
01/10/2014	48
12/22/2013	38
11/04/2014	48
12/15/2013	53
09/29/2014	48
10/22/2013	48
09/11/2014	38
11/10/2013	53
03/10/2014	33
05/28/2014	57
10/17/2013	48
11/05/2014	67
10/31/2013	58
05/22/2014	48
10/21/2013	48
05/13/2014	47
09/12/2014	38
09/06/2014	55
05/16/2014	58
06/29/2014	55
02/05/2014	33
01/16/2014	48
04/01/2014	43
04/18/2014	58
06/19/2014	48
12/18/2013	48
04/25/2014	48
10/21/2014	48
01/19/2014	38
04/22/2014	65
03/12/2014	33
02/12/2014	33
02/26/2014	33
03/18/2014	33
06/24/2014	48
09/04/2014	38
07/03/2013	48
09/20/2014	43
06/13/2014	48
02/11/2014	33
01/23/2014	33
07/26/2013	48
10/10/2014	48
06/30/2013	48
07/30/2013	48
04/02/2014	38
11/11/2013	58
10/28/2013	58
09/26/2014	43
07/17/2013	48
04/09/2014	33
12/05/2013	48
06/05/2014	48
05/09/2014	48
02/28/2014	33
06/02/2014	58
09/10/2014	48
06/26/2013	48
11/12/2013	55
10/09/2013	48
