Date	Average
03/19/2014	33
11/18/2013	53
01/07/2014	38
11/01/2013	48
10/25/2014	48
02/21/2014	33
12/31/2013	43
04/06/2014	38
03/17/2014	33
02/09/2014	33
05/21/2014	78
02/04/2014	33
02/02/2014	38
12/24/2013	48
11/24/2013	48
06/01/2014	57
03/20/2014	33
01/26/2014	38
01/24/2014	38
06/12/2014	58
12/29/2013	48
03/13/2014	33
10/27/2013	48
03/25/2014	29
12/09/2013	48
04/21/2014	78
12/03/2013	58
02/06/2014	33
01/29/2014	38
02/03/2014	33
06/19/2013	48
05/20/2014	78
12/06/2013	58
05/05/2014	48
12/20/2013	38
12/10/2013	58
11/21/2013	58
06/16/2013	48
06/20/2013	43
04/10/2014	43
05/26/2014	57
03/06/2014	33
04/28/2014	58
11/26/2013	58
05/04/2014	78
05/02/2014	58
12/11/2013	48
12/12/2013	48
02/20/2014	38
02/14/2014	33
02/17/2014	33
01/13/2014	38
04/29/2014	58
01/06/2014	43
11/13/2013	53
03/28/2014	33
02/13/2014	33
03/31/2014	38
11/29/2013	48
05/23/2014	78
03/24/2014	29
04/30/2014	58
06/03/2014	68
01/27/2014	43
04/07/2014	43
01/14/2014	38
06/08/2014	78
10/25/2013	58
12/13/2013	48
06/04/2014	58
10/20/2013	48
05/18/2014	78
03/11/2014	33
01/28/2014	38
03/26/2014	33
12/04/2013	58
01/09/2014	43
03/07/2014	33
04/15/2014	33
10/30/2013	48
01/02/2014	43
03/27/2014	43
01/22/2014	38
10/23/2013	48
03/21/2014	33
04/23/2014	78
04/27/2014	78
01/03/2014	43
01/05/2014	38
11/03/2013	48
11/15/2013	53
01/08/2014	38
04/17/2014	58
06/11/2014	58
06/10/2014	78
11/17/2013	53
12/01/2013	58
02/24/2014	33
12/19/2013	43
02/18/2014	33
11/25/2013	53
05/25/2014	57
04/20/2014	78
02/23/2014	38
05/15/2014	78
06/18/2013	48
05/27/2014	77
01/01/2014	43
02/25/2014	33
11/22/2013	48
05/19/2014	78
06/27/2013	28
05/07/2014	57
02/10/2014	33
05/12/2014	57
12/23/2013	38
03/09/2014	33
05/11/2014	57
04/04/2014	38
06/21/2013	48
01/21/2014	48
10/29/2013	48
11/27/2013	48
04/16/2014	43
03/14/2014	33
01/20/2014	38
02/07/2014	33
06/15/2014	48
03/23/2014	33
12/08/2013	48
05/06/2014	58
11/28/2013	58
06/16/2014	58
03/03/2014	33
04/11/2014	43
12/27/2013	48
10/24/2013	48
01/17/2014	43
12/16/2013	48
03/05/2014	33
12/26/2013	41
02/16/2014	33
01/12/2014	38
04/13/2014	48
04/03/2014	38
06/06/2014	77
01/10/2014	43
12/22/2013	43
12/15/2013	48
11/16/2013	53
09/29/2014	28
11/10/2013	48
03/10/2014	33
05/28/2014	78
10/17/2013	48
05/13/2014	58
05/16/2014	57
12/02/2013	58
02/05/2014	38
01/16/2014	38
04/01/2014	38
04/18/2014	58
12/18/2013	48
04/25/2014	78
01/19/2014	48
04/22/2014	58
03/12/2014	33
02/12/2014	33
02/26/2014	33
03/18/2014	33
09/04/2014	38
02/11/2014	33
01/23/2014	38
04/02/2014	38
10/28/2013	58
04/09/2014	38
12/05/2013	48
06/05/2014	78
05/09/2014	58
02/28/2014	33
06/02/2014	78
06/26/2013	48
