Date	Average
09/08/2014	43
03/19/2014	28
11/18/2013	58
08/18/2013	43
09/20/2013	63
10/30/2014	58
07/21/2014	45
01/07/2014	55
11/01/2013	45
06/18/2014	24
07/29/2014	48
09/06/2013	43
02/21/2014	43
12/31/2013	55
07/08/2014	55
08/29/2013	43
04/06/2014	24
03/17/2014	31
06/23/2014	28
02/09/2014	55
09/01/2014	43
09/17/2014	43
05/21/2014	24
07/15/2013	43
09/05/2013	48
02/04/2014	55
11/04/2013	53
10/22/2014	48
02/02/2014	55
12/24/2013	55
07/01/2014	53
11/24/2013	55
06/01/2014	24
06/09/2014	24
03/20/2014	29
01/26/2014	53
01/24/2014	55
07/06/2014	53
09/09/2013	43
10/19/2014	48
09/16/2014	43
06/12/2014	23
12/29/2013	55
08/30/2013	43
03/13/2014	29
10/27/2013	48
07/10/2014	58
03/25/2014	26
08/07/2014	48
12/09/2013	55
07/11/2013	43
08/07/2013	43
08/04/2014	48
11/06/2014	58
09/30/2014	58
04/21/2014	24
12/03/2013	50
02/06/2014	75
10/08/2013	48
07/22/2013	48
01/29/2014	55
02/03/2014	55
06/19/2013	15
09/10/2013	43
05/20/2014	24
12/06/2013	55
05/05/2014	24
09/23/2013	68
09/08/2013	43
12/20/2013	53
08/13/2013	43
12/10/2013	55
08/01/2014	43
08/06/2013	48
11/21/2013	55
11/07/2014	58
06/16/2013	16
06/20/2013	15
04/10/2014	24
05/26/2014	19
07/09/2013	43
10/14/2014	48
03/06/2014	33
04/28/2014	25
11/20/2013	58
11/26/2013	55
10/08/2014	48
05/04/2014	24
05/02/2014	24
07/24/2014	58
07/11/2014	55
07/22/2014	45
12/11/2013	55
10/26/2014	38
12/12/2013	55
09/11/2013	43
02/20/2014	55
08/27/2013	43
02/14/2014	55
02/17/2014	55
10/02/2013	63
01/13/2014	55
04/29/2014	25
01/06/2014	55
07/28/2013	43
09/22/2014	43
11/13/2013	53
11/01/2014	48
03/28/2014	26
02/13/2014	55
08/03/2014	48
08/02/2013	48
03/31/2014	28
11/29/2013	55
11/08/2014	58
05/23/2014	20
03/24/2014	28
08/23/2014	48
09/13/2014	43
04/30/2014	25
10/31/2014	48
06/27/2014	25
06/25/2014	25
08/19/2013	43
06/03/2014	24
11/05/2013	55
08/01/2013	48
09/28/2014	58
08/17/2014	48
01/27/2014	53
10/24/2014	45
09/15/2014	43
10/12/2013	48
10/27/2014	48
08/15/2013	43
04/07/2014	28
01/14/2014	55
06/08/2014	22
08/25/2014	48
10/25/2013	53
12/13/2013	50
06/04/2014	24
10/20/2013	53
06/25/2013	18
11/07/2013	55
05/18/2014	24
09/24/2013	73
10/15/2013	55
03/11/2014	29
08/04/2013	48
01/28/2014	55
08/26/2013	43
03/26/2014	26
12/04/2013	55
10/10/2013	45
01/09/2014	58
07/16/2013	48
09/09/2014	43
03/07/2014	33
04/15/2014	19
10/30/2013	45
07/15/2014	45
06/26/2014	25
01/02/2014	55
06/28/2013	19
03/27/2014	27
07/21/2013	53
01/22/2014	48
10/23/2013	45
07/23/2014	45
09/21/2014	43
09/04/2013	43
03/21/2014	29
04/23/2014	25
04/27/2014	25
09/16/2013	43
01/03/2014	55
01/05/2014	53
11/03/2013	55
06/17/2014	24
08/06/2014	48
11/15/2013	53
01/08/2014	55
04/17/2014	22
07/31/2014	48
09/15/2013	43
09/19/2014	43
06/11/2014	24
06/10/2014	23
11/17/2013	58
12/01/2013	53
08/25/2013	43
10/13/2014	48
02/24/2014	45
07/14/2014	58
12/19/2013	55
06/20/2014	28
02/18/2014	48
11/25/2013	55
07/19/2013	48
10/11/2013	47
07/30/2014	48
07/18/2014	45
05/25/2014	21
10/12/2014	48
07/12/2013	48
04/20/2014	24
02/23/2014	45
05/15/2014	24
08/08/2014	48
08/28/2014	48
08/12/2014	45
06/18/2013	14
05/27/2014	24
10/07/2013	48
07/02/2014	53
07/23/2013	48
01/01/2014	55
02/25/2014	45
11/22/2013	85
09/07/2014	43
05/19/2014	24
10/09/2014	48
09/30/2013	68
06/17/2013	15
10/16/2014	48
07/24/2013	53
07/10/2013	43
10/20/2014	48
05/30/2014	23
07/31/2013	48
11/06/2013	55
09/12/2013	43
07/28/2014	48
06/27/2013	19
05/07/2014	22
07/18/2013	48
11/03/2014	48
02/10/2014	55
09/14/2014	43
07/13/2014	68
07/05/2013	23
11/10/2014	58
05/12/2014	24
10/17/2014	48
12/23/2013	53
09/18/2014	43
03/09/2014	33
09/03/2013	43
10/01/2013	63
08/13/2014	48
05/11/2014	23
07/04/2013	22
04/04/2014	88
08/09/2014	45
07/25/2013	48
06/21/2013	17
01/21/2014	55
08/15/2014	48
10/29/2013	53
08/16/2013	43
08/23/2013	43
08/18/2014	48
11/27/2013	55
04/16/2014	22
11/09/2014	58
06/30/2014	48
03/14/2014	28
10/23/2014	45
10/16/2013	55
08/31/2014	38
07/14/2013	43
01/20/2014	55
02/07/2014	55
06/15/2014	24
03/23/2014	28
11/14/2013	55
09/02/2014	38
08/21/2014	48
12/08/2013	55
07/29/2013	48
09/27/2013	65
08/19/2014	48
05/06/2014	24
07/04/2014	57
08/20/2014	48
11/28/2013	55
11/02/2014	48
05/08/2014	24
06/16/2014	24
08/11/2014	43
07/27/2014	72
03/03/2014	33
07/05/2014	55
04/11/2014	20
09/22/2013	65
07/07/2014	53
07/25/2014	55
08/02/2014	48
12/27/2013	55
08/05/2014	48
09/05/2014	43
10/24/2013	48
10/14/2013	55
01/17/2014	55
12/16/2013	55
03/05/2014	33
12/26/2013	55
02/16/2014	55
07/02/2013	24
01/12/2014	55
07/16/2014	45
04/13/2014	19
04/03/2014	28
06/06/2014	21
08/26/2014	48
07/01/2013	23
09/01/2013	43
10/15/2014	48
01/10/2014	55
08/29/2014	48
12/22/2013	53
11/04/2014	53
12/15/2013	55
11/16/2013	53
09/29/2014	58
10/22/2013	48
09/11/2014	48
11/10/2013	55
03/10/2014	29
05/28/2014	21
