 Daily Wholesale Price Bulletin	
Monday, January 6-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	35	40	38	
Tomato Small	Kg	30	35	33	
Potato Red	Kg	25	27	26	
Potato White	Kg	22	24	23	
Onion Dry	Kg	34	35	35	
Carrot	Kg	20	25	23	
Cabbage	Kg	20	25	23	
Cauli Local	Kg	22	25	24	
Cauli Terai	Kg	16	18	17	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	15	20	18	
Brinjal Long	Kg	25	30	28	
Brinjal Round	Kg	35	40	38	
Cow pea	Kg	40	42	41	
Green Peas	Kg	28	32	30	
French Bean	Kg	50	55	53	
Sword Bean	Kg	24	28	26	
Bitter Gourd	Kg	80	90	85	
Bottle Gourd	Kg	30	35	33	
Pumpkin	Kg	16	18	17	
Squash	Kg	18	20	19	
Turnip	Kg	40	45	43	
Okara	Kg	90	100	95	
Sweet Potato	Kg	40	45	43	
Barela	Kg	40	45	43	
Arum	Kg	35	40	38	
Christophine	Kg	25	30	28	
Brd Leaf Mustard	Kg	18	20	19	
Spinach Leaf	Kg	35	40	38	
Cress Leaf	Kg	35	40	38	
Mustard Leaf	Kg	35	40	38	
Fenugreek Leaf	Kg	45	50	48	
Onion Green	Kg	55	60	58	
Bakula	Kg	55	60	58	
Yam	Kg	25	30	28	
Mushroom	Kg	140	150	145	
Brocauli	Kg	40	45	43	
Sugarbeet	Kg	90	100	95	
Red Cabbbage	Kg	150	160	155	
Lettuce	Kg	45	50	48	
Knolkhol	Kg	38	40	39	
Celery	Kg	120	130	125	
Parseley	Kg	170	180	175	
Fennel Leaf	Kg	40	45	43	
Mint	Kg	130	140	135	
Turnip A	Kg	40	45	43	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	130	140	135	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	90	100	95	
Banana	Doz	40	50	45	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	250	260	255	
Grapes	Kg	150	170	160	
Orange	Kg	50	60	57	
Water Melon	Kg	50	60	55	
Sweet Orange	Kg	90	100	95	
Mandarin	Kg	45	50	48	
Pineapple	1 Pc	50	60	55	
Cucumber	Kg	50	55	53	
Jack Fruit	Kg	70	80	75	
Lemon	Kg	30	35	33	
Papaya	Kg	50	60	55	
Mombin	Kg	35	40	38	
Sugarcane	1 Pc	40	50	45	
Ginger	Kg	100	110	103	
Chilli Dry	Kg	230	240	237	
Chilli Green	Kg	38	40	39	
Capsicum	Kg	45	50	48	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	60	70	67	
Garlic Dry Chinese	Kg	100	105	103	
Garlic Dry Nepali	Kg	85	90	88	
Clive Dry	Kg	150	160	155	
Clive Green	Kg	100	110	105	
Fish Fresh	Kg	220	230	227	
