 Daily Wholesale Price Bulletin	
Thursday, January 9-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	35	33	
Tomato Small	Kg	30	35	32	
Potato Red	Kg	22	23	23	
Potato White	Kg	20	22	21	
Onion Dry	Kg	34	36	35	
Carrot	Kg	24	28	26	
Cabbage	Kg	20	25	23	
Cauli Local	Kg	25	30	28	
Cauli Terai	Kg	20	22	21	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	12	16	14	
Brinjal Long	Kg	25	30	28	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	45	50	48	
Green Peas	Kg	22	25	24	
French Bean	Kg	50	55	53	
Sword Bean	Kg	24	28	26	
Bitter Gourd	Kg	90	100	95	
Bottle Gourd	Kg	30	35	33	
Pumpkin	Kg	16	18	17	
Squash	Kg	18	20	19	
Turnip	Kg	40	45	43	
Okara	Kg	90	100	95	
Sweet Potato	Kg	40	45	43	
Barela	Kg	35	40	38	
Arum	Kg	35	40	38	
Christophine	Kg	35	40	38	
Brd Leaf Mustard	Kg	20	23	22	
Spinach Leaf	Kg	40	45	43	
Cress Leaf	Kg	40	45	43	
Mustard Leaf	Kg	35	40	38	
Fenugreek Leaf	Kg	55	60	58	
Onion Green	Kg	55	60	58	
Bakula	Kg	50	55	53	
Yam	Kg	30	32	31	
Mushroom	Kg	140	150	147	
Brocauli	Kg	45	50	48	
Sugarbeet	Kg	75	80	78	
Red Cabbbage	Kg	150	160	155	
Lettuce	Kg	45	50	48	
Knolkhol	Kg	38	40	39	
Celery	Kg	120	130	125	
Parseley	Kg	170	180	175	
Fennel Leaf	Kg	45	50	48	
Mint	Kg	120	130	125	
Turnip A	Kg	40	45	43	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	130	140	135	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	100	110	105	
Banana	Doz	40	45	43	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	250	260	255	
Grapes	Kg	150	160	155	
Orange	Kg	55	60	58	
Water Melon	Kg	55	60	58	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	45	48	47	
Jack Fruit	Kg	70	80	75	
Lemon	Kg	30	35	33	
Papaya	Kg	50	60	55	
Mombin	Kg	35	40	38	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	45	50	48	
Strawberry	Kg	180	200	190	
Ginger	Kg	100	110	107	
Chilli Dry	Kg	230	240	237	
Chilli Green	Kg	35	40	38	
Capsicum	Kg	45	50	48	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	60	70	67	
Garlic Dry Chinese	Kg	100	105	103	
Garlic Dry Nepali	Kg	90	95	93	
Clive Dry	Kg	150	160	155	
Clive Green	Kg	90	100	95	
Fish Fresh	Kg	210	220	215	
