 Daily Wholesale Price Bulletin	
Wednesday, January 22-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	35	33	
Tomato Small	Kg	15	20	17	
Potato Red	Kg	22	23	23	
Potato White	Kg	20	21	20	
Onion Dry	Kg	29	30	30	
Carrot	Kg	25	30	28	
Cabbage	Kg	18	20	19	
Cauli Local	Kg	14	18	16	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	10	15	12	
Brinjal Long	Kg	25	30	28	
Brinjal Round	Kg	30	35	33	
Green Peas	Kg	25	30	28	
French Bean	Kg	40	50	45	
Sword Bean	Kg	25	30	27	
Bitter Gourd	Kg	80	90	87	
Bottle Gourd	Kg	40	45	43	
Pumpkin	Kg	18	20	19	
Squash	Kg	14	18	16	
Turnip	Kg	35	40	38	
Okara	Kg	50	60	55	
Sweet Potato	Kg	40	45	43	
Barela	Kg	35	40	38	
Arum	Kg	35	40	38	
Christophine	Kg	25	30	28	
Brd Leaf Mustard	Kg	18	20	19	
Spinach Leaf	Kg	35	40	38	
Cress Leaf	Kg	35	40	38	
Mustard Leaf	Kg	35	40	38	
Fenugreek Leaf	Kg	45	50	48	
Onion Green	Kg	55	60	58	
Bakula	Kg	35	40	38	
Yam	Kg	24	28	26	
Mushroom	Kg	100	110	105	
Brocauli	Kg	40	45	43	
Sugarbeet	Kg	70	80	75	
Red Cabbbage	Kg	80	90	85	
Lettuce	Kg	40	45	43	
Knolkhol	Kg	35	40	38	
Celery	Kg	120	130	125	
Parseley	Kg	170	180	175	
Fennel Leaf	Kg	35	40	38	
Mint	Kg	140	150	145	
Turnip A	Kg	35	40	38	
Tamarind	Kg	80	90	87	
Bamboo Shoot	Kg	150	160	155	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	90	100	95	
Banana	Doz	40	50	45	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	250	300	275	
Grapes	Kg	150	160	155	
Orange	Kg	80	90	85	
Water Melon	Kg	45	50	48	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	35	40	38	
Jack Fruit	Kg	60	70	65	
Lemon	Kg	30	35	33	
Papaya	Kg	50	60	55	
Mombin	Kg	35	40	38	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	45	50	48	
Ginger	Kg	120	130	127	
Chilli Dry	Kg	230	240	237	
Chilli Green	Kg	55	60	58	
Capsicum	Kg	45	50	48	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	30	40	37	
Garlic Dry Chinese	Kg	95	100	98	
Garlic Dry Nepali	Kg	90	95	93	
Clive Dry	Kg	160	170	165	
Clive Green	Kg	90	100	95	
Fish Fresh	Kg	210	220	215	
