 Daily Wholesale Price Bulletin	
Friday, January 24-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	25	30	28	
Tomato Small	Kg	18	25	21	
Potato Red	Kg	22	23	23	
Potato White	Kg	20	21	21	
Onion Dry	Kg	29	30	30	
Carrot	Kg	28	30	29	
Cabbage	Kg	15	18	17	
Cauli Local	Kg	12	15	14	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	8	12	11	
Brinjal Long	Kg	20	25	23	
Green Peas	Kg	30	35	33	
French Bean	Kg	40	50	45	
Sword Bean	Kg	22	26	24	
Bitter Gourd	Kg	90	100	97	
Bottle Gourd	Kg	35	40	38	
Pointed Gourd	Kg	280	300	290	
Pumpkin	Kg	18	22	20	
Squash	Kg	12	15	14	
Turnip	Kg	35	40	38	
Okara	Kg	60	70	65	
Sweet Potato	Kg	40	45	43	
Barela	Kg	30	35	33	
Arum	Kg	35	40	38	
Christophine	Kg	20	25	23	
Brd Leaf Mustard	Kg	18	20	19	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	30	35	33	
Fenugreek Leaf	Kg	30	35	33	
Onion Green	Kg	50	55	53	
Bakula	Kg	30	35	33	
Yam	Kg	25	30	28	
Mushroom	Kg	110	120	115	
Brocauli	Kg	25	30	28	
Sugarbeet	Kg	80	90	85	
Red Cabbbage	Kg	80	90	85	
Lettuce	Kg	35	40	38	
Knolkhol	Kg	30	35	33	
Celery	Kg	120	130	125	
Parseley	Kg	170	180	175	
Fennel Leaf	Kg	35	40	38	
Mint	Kg	140	150	145	
Turnip A	Kg	30	35	33	
Tamarind	Kg	80	90	87	
Bamboo Shoot	Kg	150	170	160	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	90	100	95	
Banana	Doz	40	50	45	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	240	250	245	
Grapes	Kg	140	150	145	
Orange	Kg	70	80	75	
Water Melon	Kg	50	60	55	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	30	35	33	
Jack Fruit	Kg	70	80	77	
Lemon	Kg	30	35	33	
Papaya	Kg	50	60	55	
Mombin	Kg	35	40	38	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	45	50	48	
Ginger	Kg	120	130	127	
Chilli Dry	Kg	230	240	237	
Chilli Green	Kg	55	60	58	
Capsicum	Kg	45	50	48	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	28	30	29	
Garlic Dry Chinese	Kg	90	100	95	
Garlic Dry Nepali	Kg	90	95	93	
Clive Dry	Kg	160	170	165	
Clive Green	Kg	80	90	85	
Fish Fresh	Kg	220	230	225	
