 Daily Wholesale Price Bulletin	
Sunday, January 26-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	35	33	
Tomato Small	Kg	18	20	19	
Potato Red	Kg	21	23	22	
Potato White	Kg	20	21	21	
Onion Dry	Kg	29	30	30	
Carrot	Kg	25	30	28	
Cabbage	Kg	18	20	19	
Cauli Local	Kg	16	20	18	
Raddish Red	Kg	30	35	32	
Raddish White	Kg	10	12	11	
Brinjal Long	Kg	24	28	26	
Brinjal Round	Kg	35	38	37	
Green Peas	Kg	25	30	28	
French Bean	Kg	40	45	42	
Sword Bean	Kg	25	30	27	
Bitter Gourd	Kg	80	85	83	
Bottle Gourd	Kg	40	45	42	
Pumpkin	Kg	18	20	19	
Squash	Kg	18	25	20	
Turnip	Kg	35	40	38	
Sweet Potato	Kg	38	45	41	
Barela	Kg	30	35	32	
Arum	Kg	35	40	37	
Christophine	Kg	30	36	34	
Brd Leaf Mustard	Kg	18	20	19	
Spinach Leaf	Kg	25	30	27	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	25	30	28	
Fenugreek Leaf	Kg	30	35	33	
Onion Green	Kg	35	40	38	
Bakula	Kg	35	40	38	
Yam	Kg	25	30	28	
Mushroom	Kg	100	110	107	
Brocauli	Kg	30	35	32	
Sugarbeet	Kg	70	80	75	
Red Cabbbage	Kg	85	90	88	
Lettuce	Kg	45	50	48	
Knolkhol	Kg	38	40	39	
Celery	Kg	120	130	125	
Parseley	Kg	190	200	195	
Fennel Leaf	Kg	30	35	33	
Mint	Kg	160	175	168	
Turnip A	Kg	35	40	38	
Tamarind	Kg	80	85	83	
Bamboo Shoot	Kg	150	160	155	
Tofu	Kg	65	70	68	
Apple	Kg	90	100	95	
Banana	Doz	40	50	45	
Lime	100 Pcs	200	400	300	
Pomegranate	Kg	275	300	288	
Grapes	Kg	150	160	155	
Orange	Kg	80	90	85	
Water Melon	Kg	50	55	53	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	65	70	68	
Cucumber	Kg	35	40	38	
Jack Fruit	Kg	80	90	85	
Lemon	Kg	35	40	38	
Papaya	Kg	55	60	58	
Mombin	Kg	45	50	48	
Sugarcane	1 Pc	45	50	48	
Kinnow	Kg	50	55	53	
Ginger	Kg	120	130	125	
Chilli Dry	Kg	230	240	235	
Chilli Green	Kg	50	55	52	
Capsicum	Kg	40	45	42	
Garlic Green	Kg	70	75	73	
Coriander Green	Kg	50	60	55	
Garlic Dry Chinese	Kg	95	100	98	
Garlic Dry Nepali	Kg	90	100	95	
Clive Dry	Kg	180	200	190	
Clive Green	Kg	100	120	110	
Fish Fresh	Kg	215	230	222	
