 Daily Wholesale Price Bulletin	
Tuesday, February 4-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	35	33	
Tomato Small	Kg	30	35	33	
Potato Red	Kg	19	20	20	
Potato White	Kg	15	16	16	
Onion Dry	Kg	27	28	28	
Carrot	Kg	30	35	33	
Cabbage	Kg	18	20	19	
Cauli Local	Kg	18	24	21	
Cauli Terai	Kg	15	16	16	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	10	12	11	
Brinjal Long	Kg	25	30	28	
Green Peas	Kg	30	35	33	
French Bean	Kg	40	45	42	
Sword Bean	Kg	20	24	22	
Bitter Gourd	Kg	80	90	85	
Bottle Gourd	Kg	30	35	33	
Pumpkin	Kg	18	22	20	
Squash	Kg	10	12	11	
Turnip	Kg	30	35	33	
Okara	Kg	70	80	77	
Sweet Potato	Kg	45	50	48	
Barela	Kg	30	35	33	
Arum	Kg	35	40	38	
Christophine	Kg	25	30	28	
Brd Leaf Mustard	Kg	15	20	18	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	30	35	33	
Fenugreek Leaf	Kg	30	35	33	
Onion Green	Kg	45	50	48	
Bakula	Kg	35	40	38	
Yam	Kg	28	30	29	
Mushroom	Kg	100	110	105	
Brocauli	Kg	25	30	28	
Sugarbeet	Kg	70	80	75	
Red Cabbbage	Kg	80	90	85	
Lettuce	Kg	30	35	33	
Knolkhol	Kg	30	35	33	
Celery	Kg	120	130	125	
Parseley	Kg	170	180	175	
Fennel Leaf	Kg	30	35	33	
Mint	Kg	140	150	145	
Turnip A	Kg	30	35	33	
Tamarind	Kg	80	90	87	
Bamboo Shoot	Kg	150	160	155	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	90	100	95	
Banana	Doz	40	50	45	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	250	300	275	
Grapes	Kg	120	130	125	
Orange	Kg	60	70	65	
Water Melon	Kg	50	60	55	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	20	25	23	
Jack Fruit	Kg	50	60	55	
Lemon	Kg	30	35	33	
Papaya	Kg	50	60	55	
Mombin	Kg	45	50	48	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	45	50	48	
Ginger	Kg	120	125	123	
Chilli Dry	Kg	230	240	237	
Chilli Green	Kg	45	50	48	
Capsicum	Kg	35	40	38	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	40	50	45	
Garlic Dry Chinese	Kg	88	92	90	
Garlic Dry Nepali	Kg	85	90	88	
Clive Dry	Kg	140	150	145	
Clive Green	Kg	70	80	75	
Fish Fresh	Kg	220	230	225	
