 Daily Wholesale Price Bulletin	
Wednesday, February 5-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	35	40	38	
Tomato Small	Kg	30	35	33	
Potato Red	Kg	16	18	17	
Potato White	Kg	15	16	16	
Onion Dry	Kg	27	28	28	
Carrot	Kg	28	32	30	
Cabbage	Kg	18	22	20	
Cauli Local	Kg	20	25	23	
Cauli Terai	Kg	12	15	14	
Raddish Red	Kg	28	30	29	
Raddish White	Kg	8	12	10	
Brinjal Long	Kg	25	30	28	
Green Peas	Kg	30	35	33	
French Bean	Kg	48	55	51	
Sword Bean	Kg	28	30	29	
Bitter Gourd	Kg	70	80	77	
Bottle Gourd	Kg	35	40	38	
Pumpkin	Kg	18	20	19	
Squash	Kg	10	12	11	
Turnip	Kg	35	40	38	
Okara	Kg	70	80	77	
Sweet Potato	Kg	40	45	43	
Barela	Kg	30	35	33	
Arum	Kg	35	40	38	
Christophine	Kg	25	30	27	
Brd Leaf Mustard	Kg	15	18	17	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	30	35	33	
Fenugreek Leaf	Kg	30	35	33	
Onion Green	Kg	50	55	53	
Bakula	Kg	35	40	38	
Yam	Kg	28	30	29	
Mushroom	Kg	100	110	103	
Brocauli	Kg	25	30	28	
Sugarbeet	Kg	40	50	45	
Red Cabbbage	Kg	90	100	95	
Lettuce	Kg	30	35	33	
Knolkhol	Kg	30	35	33	
Celery	Kg	120	130	125	
Parseley	Kg	170	180	175	
Fennel Leaf	Kg	30	35	33	
Mint	Kg	130	140	135	
Turnip A	Kg	30	35	33	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	150	160	157	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	100	110	105	
Banana	Doz	40	50	45	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	250	260	255	
Grapes	Kg	120	130	125	
Orange	Kg	60	70	65	
Water Melon	Kg	50	60	55	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	20	25	22	
Jack Fruit	Kg	60	70	67	
Lemon	Kg	30	35	33	
Papaya	Kg	50	60	55	
Mombin	Kg	40	45	43	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	45	50	48	
Ginger	Kg	115	125	120	
Chilli Dry	Kg	230	240	235	
Chilli Green	Kg	30	40	37	
Capsicum	Kg	35	40	38	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	40	50	47	
Garlic Dry Chinese	Kg	85	92	89	
Garlic Dry Nepali	Kg	80	85	83	
Clive Dry	Kg	100	120	110	
Clive Green	Kg	70	80	75	
Fish Fresh	Kg	220	230	227	
