 Daily Wholesale Price Bulletin	
Saturday, February 8-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	32	40	36	
Tomato Small	Kg	32	36	34	
Potato Red	Kg	20	26	23	
Onion Dry	Kg	28	34	31	
Cabbage	Kg	18	20	19	
Cauli Local	Kg	20	30	25	
Raddish Red	Kg	27	30	29	
Raddish White	Kg	10	10	10	
Brinjal Long	Kg	30	32	31	
Green Peas	Kg	24	40	32	
French Bean	Kg	56	60	58	
Bitter Gourd	Kg	80	90	85	
Bottle Gourd	Kg	30	30	30	
Okara	Kg	140	140	140	
Brocauli	Kg	30	40	35	
Apple	Kg	110	170	140	
Banana	Doz	60	90	75	
Lime	100 Pcs	200	400	300	
Grapes	Kg	130	170	150	
Orange	Kg	80	90	85	
Cucumber	Kg	20	26	23	
Ginger	Kg	100	130	115	
Chilli Dry	Kg	200	230	215	
Chilli Green	Kg	40	42	41	
Garlic Dry Chinese	Kg	85	100	94	
Fish Fresh	Kg	200	300	243	
