 Daily Wholesale Price Bulletin	
Thursday, February 20-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	35	33	
Tomato Small	Kg	34	38	36	
Potato Red	Kg	19	20	20	
Potato White	Kg	15	16	16	
Onion Dry	Kg	24	25	25	
Carrot	Kg	20	25	23	
Cabbage	Kg	24	26	25	
Cauli Local	Kg	40	45	42	
Cauli Terai	Kg	22	25	24	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	8	12	10	
Brinjal Long	Kg	40	45	42	
Green Peas	Kg	45	50	48	
French Bean	Kg	50	55	53	
Sword Bean	Kg	50	55	53	
Bitter Gourd	Kg	80	90	87	
Bottle Gourd	Kg	40	45	43	
Pumpkin	Kg	24	28	26	
Squash	Kg	20	25	22	
Turnip	Kg	35	40	38	
Okara	Kg	120	130	125	
Sweet Potato	Kg	45	50	48	
Barela	Kg	58	60	59	
Arum	Kg	45	50	48	
Christophine	Kg	25	30	28	
Brd Leaf Mustard	Kg	15	18	17	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	30	35	33	
Fenugreek Leaf	Kg	30	35	33	
Onion Green	Kg	50	55	53	
Bakula	Kg	38	40	39	
Yam	Kg	28	30	29	
Mushroom	Kg	110	120	117	
Brocauli	Kg	50	55	53	
Sugarbeet	Kg	60	70	65	
Red Cabbbage	Kg	80	90	85	
Lettuce	Kg	30	35	33	
Knolkhol	Kg	30	35	33	
Celery	Kg	120	130	125	
Parseley	Kg	170	180	175	
Fennel Leaf	Kg	30	35	33	
Mint	Kg	140	150	145	
Turnip A	Kg	35	40	38	
Tamarind	Kg	80	90	87	
Bamboo Shoot	Kg	150	160	155	
Tofu	Kg	60	70	65	
Gundruk	Kg	240	250	245	
Apple	Kg	100	110	105	
Banana	Doz	40	50	45	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	250	260	255	
Grapes	Kg	110	120	115	
Orange	Kg	60	70	65	
Water Melon	Kg	50	60	55	
Sweet Orange	Kg	75	90	83	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	20	25	23	
Jack Fruit	Kg	50	60	57	
Lemon	Kg	30	35	33	
Papaya	Kg	55	60	58	
Mombin	Kg	95	100	98	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	45	50	48	
Strawberry	Kg	180	200	190	
Ginger	Kg	110	120	117	
Chilli Dry	Kg	230	240	237	
Chilli Green	Kg	50	60	55	
Capsicum	Kg	50	55	53	
Garlic Green	Kg	50	55	53	
Coriander Green	Kg	60	70	65	
Garlic Dry Chinese	Kg	90	95	93	
Garlic Dry Nepali	Kg	85	90	88	
Clive Dry	Kg	90	100	95	
Clive Green	Kg	55	60	58	
Fish Fresh	Kg	210	220	217	
