 Daily Wholesale Price Bulletin	
Sunday, February 23-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	25	30	28	
Tomato Small	Kg	25	30	28	
Potato Red	Kg	19	20	20	
Potato White	Kg	16	17	17	
Onion Dry	Kg	26	27	27	
Carrot	Kg	20	25	22	
Cabbage	Kg	18	20	19	
Cauli Local	Kg	25	30	28	
Cauli Terai	Kg	18	20	19	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	6	8	7	
Brinjal Long	Kg	38	40	39	
Brinjal Round	Kg	45	50	48	
Green Peas	Kg	40	45	42	
French Bean	Kg	70	80	75	
Sword Bean	Kg	50	55	53	
Bitter Gourd	Kg	80	90	87	
Bottle Gourd	Kg	40	45	43	
Pointed Gourd	Kg	190	200	195	
Smooth Gourd	Kg	110	120	115	
Pumpkin	Kg	24	28	27	
Squash	Kg	25	30	28	
Turnip	Kg	35	40	38	
Okara	Kg	100	120	110	
Sweet Potato	Kg	45	50	48	
Barela	Kg	50	55	53	
Arum	Kg	45	50	48	
Christophine	Kg	25	30	28	
Brd Leaf Mustard	Kg	15	18	17	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	30	35	33	
Fenugreek Leaf	Kg	30	35	33	
Onion Green	Kg	55	60	58	
Bakula	Kg	40	45	43	
Yam	Kg	28	30	29	
Mushroom	Kg	90	100	95	
Brocauli	Kg	45	50	48	
Sugarbeet	Kg	60	70	65	
Drumstick	Kg	190	200	195	
Red Cabbbage	Kg	80	90	85	
Lettuce	Kg	30	35	33	
Knolkhol	Kg	30	35	33	
Celery	Kg	120	130	125	
Parseley	Kg	170	180	175	
Fennel Leaf	Kg	30	35	33	
Mint	Kg	140	150	145	
Turnip A	Kg	30	35	33	
Tamarind	Kg	80	90	87	
Bamboo Shoot	Kg	150	160	157	
Tofu	Kg	60	70	65	
Gundruk	Kg	240	250	245	
Apple	Kg	100	110	105	
Banana	Doz	40	50	45	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	250	260	255	
Grapes	Kg	110	120	115	
Orange	Kg	60	70	65	
Water Melon	Kg	40	50	45	
Sweet Orange	Kg	75	80	78	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	25	30	28	
Jack Fruit	Kg	50	60	55	
Lemon	Kg	35	40	38	
Papaya	Kg	50	60	55	
Mombin	Kg	90	100	97	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	55	60	58	
Strawberry	Kg	190	200	195	
Ginger	Kg	110	120	117	
Chilli Dry	Kg	230	240	237	
Chilli Green	Kg	55	60	58	
Capsicum	Kg	50	55	53	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	60	70	65	
Garlic Dry Chinese	Kg	90	100	97	
Garlic Dry Nepali	Kg	85	90	88	
Clive Dry	Kg	90	100	95	
Clive Green	Kg	55	60	58	
Fish Fresh	Kg	210	220	217	
