 Daily Wholesale Price Bulletin	
Friday, February 28-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	35	32	
Tomato Small	Kg	32	38	35	
Potato Red	Kg	20	21	20	
Potato White	Kg	16	17	17	
Onion Dry	Kg	29	30	30	
Carrot	Kg	25	30	28	
Cabbage	Kg	20	25	23	
Cauli Local	Kg	32	36	34	
Cauli Terai	Kg	20	24	22	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	8	10	9	
Brinjal Long	Kg	38	40	39	
Brinjal Round	Kg	40	45	43	
Green Peas	Kg	55	60	58	
French Bean	Kg	40	45	43	
Sword Bean	Kg	58	62	60	
Bitter Gourd	Kg	110	130	120	
Bottle Gourd	Kg	40	45	42	
Pointed Gourd	Kg	190	200	195	
Pumpkin	Kg	25	30	28	
Squash	Kg	20	25	23	
Turnip	Kg	30	35	33	
Okara	Kg	120	140	130	
Sweet Potato	Kg	45	50	48	
Barela	Kg	40	45	43	
Arum	Kg	45	50	48	
Christophine	Kg	25	30	28	
Brd Leaf Mustard	Kg	12	15	14	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	30	35	33	
Fenugreek Leaf	Kg	30	35	33	
Onion Green	Kg	45	50	48	
Bakula	Kg	35	40	38	
Yam	Kg	28	30	29	
Mushroom	Kg	70	80	77	
Brocauli	Kg	35	40	38	
Sugarbeet	Kg	60	70	65	
Drumstick	Kg	190	200	195	
Bauhania flower	Kg	190	200	195	
Red Cabbbage	Kg	60	70	65	
Lettuce	Kg	30	35	33	
Knolkhol	Kg	30	35	33	
Celery	Kg	120	130	125	
Parseley	Kg	170	180	175	
Fennel Leaf	Kg	30	35	33	
Mint	Kg	130	140	135	
Turnip A	Kg	30	35	33	
Tamarind	Kg	80	90	87	
Bamboo Shoot	Kg	150	160	155	
Tofu	Kg	60	70	65	
Gundruk	Kg	220	240	230	
Apple	Kg	100	110	105	
Banana	Doz	50	55	53	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	280	300	290	
Grapes	Kg	100	110	105	
Orange	Kg	70	80	75	
Water Melon	Kg	40	50	45	
Sweet Orange	Kg	75	80	78	
Pineapple	1 Pc	70	80	75	
Cucumber	Kg	25	30	28	
Jack Fruit	Kg	60	70	63	
Lemon	Kg	30	35	33	
Papaya	Kg	55	60	58	
Mombin	Kg	90	100	97	
Sugarcane	1 Pc	50	60	55	
Kinnow	Kg	55	60	58	
Strawberry	Kg	190	200	195	
Ginger	Kg	110	120	117	
Chilli Dry	Kg	230	240	237	
Chilli Green	Kg	75	80	77	
Capsicum	Kg	100	120	110	
Garlic Green	Kg	50	55	53	
Coriander Green	Kg	45	50	48	
Garlic Dry Chinese	Kg	95	105	100	
Garlic Dry Nepali	Kg	85	90	88	
Clive Dry	Kg	90	100	95	
Clive Green	Kg	50	55	53	
Fish Fresh	Kg	210	220	217	
