 Daily Wholesale Price Bulletin	
Thursday, March 6-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	35	40	38	
Tomato Small	Kg	45	50	48	
Potato Red	Kg	22	23	23	
Potato White	Kg	18	19	19	
Onion Dry	Kg	28	29	29	
Carrot	Kg	24	28	26	
Cabbage	Kg	16	20	18	
Cauli Local	Kg	25	30	28	
Cauli Terai	Kg	18	20	19	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	8	12	10	
Brinjal Long	Kg	40	42	41	
Green Peas	Kg	45	50	48	
French Bean	Kg	45	50	48	
Sword Bean	Kg	80	90	87	
Bitter Gourd	Kg	110	120	117	
Bottle Gourd	Kg	40	45	43	
Pointed Gourd	Kg	150	160	155	
Snake Gourd	Kg	65	70	68	
Turnip	Kg	30	35	33	
Okara	Kg	110	120	115	
Sweet Potato	Kg	45	50	48	
Barela	Kg	35	40	38	
Arum	Kg	45	50	48	
Christophine	Kg	25	30	28	
Brd Leaf Mustard	Kg	15	18	17	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	30	35	33	
Fenugreek Leaf	Kg	30	35	33	
Onion Green	Kg	50	55	53	
Bakula	Kg	35	40	38	
Yam	Kg	25	30	28	
Mushroom	Kg	80	90	87	
Brocauli	Kg	45	50	48	
Sugarbeet	Kg	80	90	85	
Drumstick	Kg	230	240	235	
Bauhania flower	Kg	140	150	145	
Red Cabbbage	Kg	80	90	85	
Lettuce	Kg	30	35	33	
Knolkhol	Kg	30	35	33	
Celery	Kg	70	80	75	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	30	35	33	
Mint	Kg	150	160	155	
Turnip A	Kg	30	35	33	
Tamarind	Kg	80	90	85	
Bamboo Shoot	Kg	150	160	157	
Tofu	Kg	60	70	65	
Gundruk	Kg	220	230	225	
Apple	Kg	100	110	105	
Banana	Doz	45	50	48	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	280	300	290	
Grapes	Kg	100	110	105	
Orange	Kg	60	70	65	
Water Melon	Kg	30	35	33	
Sweet Orange	Kg	70	80	75	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	60	70	65	
Jack Fruit	Kg	60	70	65	
Lemon	Kg	35	40	38	
Papaya	Kg	55	60	58	
Mombin	Kg	110	120	117	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	55	60	58	
Strawberry	Kg	190	200	195	
Ginger	Kg	110	120	117	
Chilli Dry	Kg	230	240	235	
Chilli Green	Kg	80	90	87	
Capsicum	Kg	60	80	70	
Garlic Green	Kg	50	55	53	
Coriander Green	Kg	30	40	35	
Garlic Dry Chinese	Kg	100	105	102	
Garlic Dry Nepali	Kg	85	90	88	
Clive Dry	Kg	70	80	75	
Clive Green	Kg	50	55	53	
Fish Fresh	Kg	210	220	217	
