 Daily Wholesale Price Bulletin	
Monday, March 17-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	35	40	38	
Tomato Small	Kg	50	55	53	
Potato Red	Kg	22	23	23	
Potato White	Kg	19	20	20	
Onion Dry	Kg	29	30	30	
Carrot	Kg	25	30	28	
Cabbage	Kg	24	30	27	
Cauli Local	Kg	35	36	35	
Cauli Terai	Kg	18	20	19	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	10	14	12	
Brinjal Long	Kg	38	40	39	
Green Peas	Kg	50	55	53	
French Bean	Kg	50	55	53	
Sword Bean	Kg	60	70	67	
Bitter Gourd	Kg	90	100	97	
Bottle Gourd	Kg	40	45	43	
Pointed Gourd	Kg	90	100	97	
Pumpkin	Kg	30	35	33	
Squash	Kg	18	20	19	
Turnip	Kg	30	35	33	
Okara	Kg	80	90	87	
Sweet Potato	Kg	45	50	48	
Barela	Kg	45	50	47	
Arum	Kg	38	40	39	
Christophine	Kg	25	30	28	
Brd Leaf Mustard	Kg	12	15	14	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	30	35	33	
Fenugreek Leaf	Kg	30	35	33	
Onion Green	Kg	40	45	43	
Bakula	Kg	35	40	38	
Yam	Kg	28	30	29	
Mushroom	Kg	80	100	90	
Asparagus	Kg	450	500	475	
Brocauli	Kg	45	50	48	
Sugarbeet	Kg	40	50	45	
Drumstick	Kg	90	100	95	
Bauhania flower	Kg	90	100	95	
Red Cabbbage	Kg	40	50	45	
Lettuce	Kg	30	35	33	
Knolkhol	Kg	30	35	33	
Celery	Kg	50	60	55	
Parseley	Kg	70	80	75	
Fennel Leaf	Kg	30	35	33	
Mint	Kg	90	100	95	
Turnip A	Kg	30	35	33	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	150	160	155	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	100	110	105	
Banana	Doz	45	50	48	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	280	300	290	
Grapes	Kg	100	110	105	
Orange	Kg	60	70	65	
Water Melon	Kg	28	35	31	
Sweet Orange	Kg	60	70	65	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	70	80	75	
Jack Fruit	Kg	60	70	65	
Lemon	Kg	40	45	43	
Papaya	Kg	55	60	58	
Mombin	Kg	110	120	117	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	60	70	65	
Strawberry	Kg	190	200	195	
Ginger	Kg	120	140	130	
Chilli Dry	Kg	230	240	237	
Chilli Green	Kg	60	70	67	
Capsicum	Kg	60	70	67	
Garlic Green	Kg	50	55	53	
Coriander Green	Kg	30	40	35	
Garlic Dry Chinese	Kg	105	110	108	
Garlic Dry Nepali	Kg	80	85	83	
Clive Dry	Kg	80	90	85	
Clive Green	Kg	60	70	65	
Fish Fresh	Kg	210	220	217	
