 Daily Wholesale Price Bulletin	
Tuesday, March 18-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	35	32	
Tomato Small	Kg	30	36	34	
Potato Red	Kg	22	24	23	
Potato White	Kg	19	20	20	
Onion Dry	Kg	29	30	30	
Carrot	Kg	25	30	28	
Cabbage	Kg	20	25	23	
Cauli Local	Kg	25	30	28	
Cauli Terai	Kg	18	20	19	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	10	12	11	
Brinjal Long	Kg	40	45	43	
Brinjal Round	Kg	45	50	48	
Green Peas	Kg	55	60	57	
French Bean	Kg	40	45	42	
Sword Bean	Kg	50	60	55	
Bitter Gourd	Kg	90	100	97	
Bottle Gourd	Kg	40	45	42	
Pointed Gourd	Kg	60	70	67	
Pumpkin	Kg	28	30	29	
Squash	Kg	18	20	19	
Turnip	Kg	30	35	33	
Okara	Kg	80	90	83	
Sweet Potato	Kg	45	50	48	
Barela	Kg	40	45	42	
Arum	Kg	38	40	39	
Christophine	Kg	25	30	28	
Brd Leaf Mustard	Kg	12	15	14	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	30	35	33	
Mustard Leaf	Kg	30	35	33	
Fenugreek Leaf	Kg	30	35	33	
Onion Green	Kg	40	45	43	
Bakula	Kg	35	40	38	
Yam	Kg	28	30	29	
Mushroom	Kg	90	100	97	
Asparagus	Kg	500	550	525	
Brocauli	Kg	45	50	48	
Sugarbeet	Kg	50	60	55	
Drumstick	Kg	90	100	95	
Bauhania flower	Kg	90	100	95	
Red Cabbbage	Kg	50	60	55	
Lettuce	Kg	30	35	33	
Knolkhol	Kg	30	35	33	
Celery	Kg	60	70	65	
Parseley	Kg	90	100	95	
Fennel Leaf	Kg	30	35	33	
Mint	Kg	170	180	175	
Turnip A	Kg	30	35	33	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	150	160	157	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	100	110	105	
Banana	Doz	45	50	48	
Lime	100 Pcs	300	400	333	
Pomegranate	Kg	260	280	270	
Grapes	Kg	100	110	105	
Orange	Kg	70	80	75	
Water Melon	Kg	28	30	29	
Sweet Orange	Kg	70	80	75	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	60	70	67	
Jack Fruit	Kg	70	80	75	
Papaya	Kg	55	60	58	
Mombin	Kg	120	130	125	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	55	60	58	
Strawberry	Kg	190	200	195	
Ginger	Kg	120	140	130	
Chilli Dry	Kg	200	220	210	
Chilli Green	Kg	60	70	67	
Capsicum	Kg	60	70	65	
Garlic Green	Kg	40	45	43	
Coriander Green	Kg	40	50	47	
Garlic Dry Chinese	Kg	110	115	113	
Garlic Dry Nepali	Kg	100	105	102	
Clive Green	Kg	60	70	65	
Fish Fresh	Kg	210	220	217	
