 Daily Wholesale Price Bulletin	
Sunday, March 23-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	35	32	
Tomato Small	Kg	25	30	28	
Potato Red	Kg	23	24	24	
Potato White	Kg	20	21	20	
Onion Dry	Kg	28	29	28	
Carrot	Kg	30	35	33	
Cabbage	Kg	22	25	24	
Cauli Local	Kg	15	18	16	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	10	12	11	
Brinjal Long	Kg	45	50	48	
Green Peas	Kg	30	35	32	
French Bean	Kg	30	35	32	
Sword Bean	Kg	45	50	48	
Bitter Gourd	Kg	90	100	97	
Bottle Gourd	Kg	25	30	27	
Pointed Gourd	Kg	70	80	77	
Smooth Gourd	Kg	70	80	75	
Pumpkin	Kg	30	35	33	
Squash	Kg	12	15	14	
Turnip	Kg	30	35	33	
Okara	Kg	90	100	97	
Barela	Kg	35	40	38	
Arum	Kg	38	40	39	
Christophine	Kg	25	30	28	
Brd Leaf Mustard	Kg	12	15	14	
Spinach Leaf	Kg	28	30	29	
Cress Leaf	Kg	28	30	29	
Mustard Leaf	Kg	28	30	29	
Fenugreek Leaf	Kg	28	30	29	
Onion Green	Kg	35	40	38	
Bakula	Kg	35	40	38	
Yam	Kg	28	30	29	
Mushroom	Kg	90	100	97	
Asparagus	Kg	300	350	325	
Brocauli	Kg	45	50	48	
Sugarbeet	Kg	45	50	48	
Drumstick	Kg	150	160	155	
Bauhania flower	Kg	55	60	58	
Red Cabbbage	Kg	45	50	48	
Lettuce	Kg	28	30	29	
Knolkhol	Kg	28	30	29	
Celery	Kg	55	60	58	
Parseley	Kg	80	90	87	
Fennel Leaf	Kg	28	30	29	
Mint	Kg	150	160	155	
Turnip A	Kg	28	30	29	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	150	160	155	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	100	110	105	
Banana	Doz	50	60	55	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	260	280	270	
Grapes	Kg	100	110	105	
Orange	Kg	60	70	65	
Water Melon	Kg	25	30	28	
Sweet Orange	Kg	70	75	73	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	50	60	54	
Jack Fruit	Kg	60	70	67	
Papaya	Kg	55	60	58	
Mombin	Kg	120	130	125	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	55	60	58	
Strawberry	Kg	190	200	195	
Ginger	Kg	140	150	147	
Chilli Dry	Kg	140	150	147	
Chilli Green	Kg	75	80	78	
Capsicum	Kg	50	60	57	
Garlic Green	Kg	40	45	43	
Coriander Green	Kg	20	25	22	
Garlic Dry Chinese	Kg	120	130	123	
Garlic Dry Nepali	Kg	95	100	97	
Clive Green	Kg	55	60	58	
Fish Fresh	Kg	210	220	217	
