 Daily Wholesale Price Bulletin	
Wednesday, March 26-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	35	33	
Tomato Small	Kg	42	48	45	
Potato Red	Kg	23	24	24	
Potato White	Kg	20	22	21	
Onion Dry	Kg	27	28	27	
Carrot	Kg	30	35	33	
Cabbage	Kg	20	22	21	
Cauli Local	Kg	15	20	18	
Cauli Terai	Kg	12	15	14	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	10	12	11	
Brinjal Long	Kg	40	45	42	
Brinjal Round	Kg	45	50	48	
Cow pea	Kg	80	90	85	
Green Peas	Kg	35	40	38	
French Bean	Kg	30	35	33	
Sword Bean	Kg	35	40	38	
Bitter Gourd	Kg	80	90	87	
Bottle Gourd	Kg	20	25	23	
Pointed Gourd	Kg	70	80	75	
Smooth Gourd	Kg	80	90	85	
Pumpkin	Kg	28	30	29	
Squash	Kg	15	18	16	
Turnip	Kg	30	35	33	
Okara	Kg	70	80	77	
Sweet Potato	Kg	45	50	48	
Barela	Kg	35	40	38	
Arum	Kg	40	45	43	
Christophine	Kg	25	30	28	
Brd Leaf Mustard	Kg	15	18	17	
Spinach Leaf	Kg	35	40	38	
Cress Leaf	Kg	35	40	38	
Mustard Leaf	Kg	35	40	38	
Fenugreek Leaf	Kg	35	40	38	
Onion Green	Kg	40	45	43	
Bakula	Kg	20	25	23	
Mushroom	Kg	100	110	107	
Asparagus	Kg	300	350	325	
Neuro	Kg	50	60	55	
Brocauli	Kg	40	45	43	
Sugarbeet	Kg	50	60	55	
Drumstick	Kg	200	220	210	
Bauhania flower	Kg	55	60	58	
Red Cabbbage	Kg	40	50	45	
Lettuce	Kg	55	60	58	
Knolkhol	Kg	35	40	38	
Celery	Kg	60	70	65	
Parseley	Kg	90	100	95	
Fennel Leaf	Kg	45	50	48	
Mint	Kg	160	170	165	
Turnip A	Kg	35	40	38	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	150	160	155	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	100	105	103	
Banana	Doz	60	70	65	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	250	260	255	
Grapes	Kg	100	105	103	
Orange	Kg	90	95	93	
Water Melon	Kg	25	28	26	
Sweet Orange	Kg	70	80	75	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	60	65	63	
Jack Fruit	Kg	60	70	65	
Papaya	Kg	50	60	55	
Mombin	Kg	120	130	125	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	55	60	58	
Strawberry	Kg	190	200	195	
Ginger	Kg	150	160	157	
Chilli Dry	Kg	190	200	197	
Chilli Green	Kg	55	60	57	
Capsicum	Kg	60	65	63	
Garlic Green	Kg	40	45	43	
Coriander Green	Kg	25	30	28	
Garlic Dry Chinese	Kg	115	120	118	
Garlic Dry Nepali	Kg	95	100	98	
Clive Green	Kg	55	60	58	
Fish Fresh	Kg	210	220	217	
