 Daily Wholesale Price Bulletin	
Friday, March 28-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	35	33	
Tomato Small	Kg	40	45	42	
Potato Red	Kg	23	24	24	
Potato White	Kg	20	21	20	
Onion Dry	Kg	26	27	26	
Carrot	Kg	30	35	33	
Cabbage	Kg	18	20	19	
Cauli Local	Kg	15	20	18	
Cauli Terai	Kg	12	15	14	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	10	15	13	
Brinjal Long	Kg	40	42	41	
Brinjal Round	Kg	45	50	48	
Cow pea	Kg	135	140	137	
Green Peas	Kg	35	40	38	
French Bean	Kg	30	35	32	
Sword Bean	Kg	40	45	42	
Bitter Gourd	Kg	70	80	73	
Bottle Gourd	Kg	20	25	23	
Pointed Gourd	Kg	70	80	77	
Snake Gourd	Kg	55	60	58	
Smooth Gourd	Kg	80	90	85	
Pumpkin	Kg	28	30	29	
Squash	Kg	15	18	17	
Turnip	Kg	30	35	33	
Okara	Kg	70	80	77	
Sweet Potato	Kg	45	50	48	
Barela	Kg	35	40	38	
Arum	Kg	38	40	39	
Christophine	Kg	25	30	28	
Brd Leaf Mustard	Kg	18	20	19	
Spinach Leaf	Kg	40	45	43	
Cress Leaf	Kg	40	45	43	
Mustard Leaf	Kg	40	45	43	
Fenugreek Leaf	Kg	40	45	43	
Onion Green	Kg	40	45	43	
Bakula	Kg	18	20	19	
Yam	Kg	34	36	35	
Mushroom	Kg	100	110	105	
Asparagus	Kg	250	300	275	
Neuro	Kg	50	60	55	
Brocauli	Kg	40	45	43	
Sugarbeet	Kg	50	60	55	
Drumstick	Kg	180	200	190	
Bauhania flower	Kg	50	60	55	
Red Cabbbage	Kg	50	60	55	
Lettuce	Kg	40	45	43	
Knolkhol	Kg	40	45	43	
Celery	Kg	55	60	58	
Parseley	Kg	90	100	95	
Fennel Leaf	Kg	40	45	43	
Mint	Kg	170	180	175	
Turnip A	Kg	35	40	38	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	150	160	155	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	100	110	105	
Banana	Doz	60	70	65	
Pomegranate	Kg	260	270	265	
Grapes	Kg	100	110	105	
Orange	Kg	90	95	93	
Water Melon	Kg	24	28	26	
Sweet Orange	Kg	70	75	73	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	55	60	58	
Jack Fruit	Kg	60	70	65	
Papaya	Kg	55	60	58	
Sugarcane	1 Pc	40	50	45	
Kinnow	Kg	55	60	58	
Strawberry	Kg	190	200	195	
Ginger	Kg	140	150	147	
Chilli Dry	Kg	190	200	197	
Chilli Green	Kg	50	60	55	
Capsicum	Kg	70	80	77	
Garlic Green	Kg	40	45	43	
Coriander Green	Kg	35	40	38	
Garlic Dry Chinese	Kg	120	130	125	
Garlic Dry Nepali	Kg	95	100	98	
Clive Dry	Kg	95	100	98	
Clive Green	Kg	60	70	65	
Fish Fresh	Kg	210	220	217	
