 Daily Wholesale Price Bulletin	
Tuesday, April 1-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	36	33	
Tomato Small	Kg	34	40	36	
Potato Red	Kg	23	24	24	
Potato White	Kg	20	22	21	
Onion Dry	Kg	26	27	27	
Carrot	Kg	25	30	27	
Cabbage	Kg	16	20	18	
Cauli Local	Kg	18	22	20	
Raddish Red	Kg	25	30	28	
Raddish White	Kg	18	22	20	
Brinjal Long	Kg	30	35	32	
Brinjal Round	Kg	30	36	34	
Cow pea	Kg	75	80	78	
Green Peas	Kg	38	45	41	
French Bean	Kg	36	40	38	
Sword Bean	Kg	30	36	33	
Bitter Gourd	Kg	65	75	70	
Bottle Gourd	Kg	20	25	23	
Pointed Gourd	Kg	60	65	63	
Snake Gourd	Kg	58	60	59	
Smooth Gourd	Kg	60	65	63	
Pumpkin	Kg	30	35	32	
Squash	Kg	16	20	19	
Turnip	Kg	35	40	38	
Okara	Kg	60	65	63	
Sweet Potato	Kg	50	52	51	
Barela	Kg	30	35	32	
Arum	Kg	40	45	42	
Brd Leaf Mustard	Kg	25	30	28	
Spinach Leaf	Kg	35	40	38	
Cress Leaf	Kg	40	45	43	
Mustard Leaf	Kg	35	40	38	
Fenugreek Leaf	Kg	40	45	43	
Onion Green	Kg	28	30	29	
Bakula	Kg	25	32	29	
Yam	Kg	30	35	33	
Mushroom	Kg	115	125	121	
Neuro	Kg	60	70	65	
Brocauli	Kg	40	45	42	
Drumstick	Kg	120	130	125	
Bauhania flower	Kg	45	50	48	
Red Cabbbage	Kg	90	100	95	
Lettuce	Kg	35	40	38	
Knolkhol	Kg	40	45	43	
Celery	Kg	50	60	55	
Parseley	Kg	130	140	135	
Fennel Leaf	Kg	35	40	38	
Mint	Kg	175	200	188	
Turnip A	Kg	40	45	43	
Tamarind	Kg	80	90	85	
Bamboo Shoot	Kg	140	160	150	
Tofu	Kg	65	70	68	
Gundruk	Kg	190	200	195	
Apple	Kg	100	110	105	
Banana	Doz	50	60	55	
Lime	100 Pcs	300	500	400	
Pomegranate	Kg	270	290	280	
Grapes	Kg	100	110	105	
Orange	Kg	90	100	95	
Water Melon	Kg	25	30	28	
Sweet Orange	Kg	65	70	68	
Pineapple	1 Pc	70	75	73	
Cucumber	Kg	45	55	50	
Jack Fruit	Kg	65	70	68	
Pear	Kg	140	150	145	
Papaya	Kg	55	60	58	
Sugarcane	1 Pc	50	55	53	
Kinnow	Kg	60	65	63	
Ginger	Kg	190	200	197	
Chilli Dry	Kg	190	200	197	
Chilli Green	Kg	70	80	75	
Capsicum	Kg	60	70	65	
Garlic Green	Kg	50	60	55	
Coriander Green	Kg	30	35	33	
Garlic Dry Chinese	Kg	120	125	122	
Garlic Dry Nepali	Kg	90	100	93	
Clive Dry	Kg	160	170	165	
Fish Fresh	Kg	210	220	215	
