 Daily Wholesale Price Bulletin	
Thursday, April 3-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	35	32	
Tomato Small	Kg	38	45	40	
Potato Red	Kg	23	24	24	
Potato White	Kg	23	24	24	
Onion Dry	Kg	27	29	28	
Carrot	Kg	20	30	26	
Cabbage	Kg	16	20	18	
Cauli Local	Kg	18	20	19	
Raddish Red	Kg	30	35	33	
Raddish White	Kg	16	20	18	
Brinjal Long	Kg	30	32	31	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	40	45	43	
Green Peas	Kg	40	46	44	
French Bean	Kg	40	45	43	
Sword Bean	Kg	35	40	37	
Bitter Gourd	Kg	60	70	65	
Bottle Gourd	Kg	25	30	28	
Pointed Gourd	Kg	65	70	68	
Smooth Gourd	Kg	55	60	58	
Sponge Gourd	Kg	55	60	58	
Pumpkin	Kg	30	35	33	
Squash	Kg	10	14	12	
Turnip	Kg	35	40	38	
Okara	Kg	70	75	72	
Sweet Potato	Kg	50	55	53	
Barela	Kg	30	34	32	
Arum	Kg	40	45	43	
Brd Leaf Mustard	Kg	30	35	33	
Spinach Leaf	Kg	30	35	33	
Cress Leaf	Kg	35	40	38	
Mustard Leaf	Kg	35	40	38	
Fenugreek Leaf	Kg	35	40	38	
Onion Green	Kg	35	40	38	
Bakula	Kg	28	30	29	
Yam	Kg	35	40	38	
Mushroom	Kg	120	125	122	
Asparagus	Kg	300	400	350	
Neuro	Kg	70	80	75	
Brocauli	Kg	40	45	42	
Sugarbeet	Kg	70	75	73	
Drumstick	Kg	120	130	125	
Bauhania flower	Kg	45	50	47	
Red Cabbbage	Kg	75	80	78	
Lettuce	Kg	30	35	33	
Knolkhol	Kg	35	40	38	
Celery	Kg	45	50	48	
Parseley	Kg	120	130	125	
Fennel Leaf	Kg	35	40	38	
Mint	Kg	180	200	190	
Tamarind	Kg	85	90	88	
Bamboo Shoot	Kg	150	160	155	
Tofu	Kg	65	70	68	
Gundruk	Kg	190	200	195	
Apple	Kg	100	110	105	
Banana	Doz	60	70	65	
Lime	100 Pcs	300	600	450	
Pomegranate	Kg	260	290	275	
Grapes	Kg	100	110	105	
Orange	Kg	90	100	95	
Water Melon	Kg	25	30	28	
Sweet Orange	Kg	85	90	88	
Pineapple	1 Pc	80	85	83	
Cucumber	Kg	45	55	50	
Jack Fruit	Kg	50	60	55	
Pear	Kg	140	150	145	
Papaya	Kg	55	60	58	
Sugarcane	1 Pc	50	55	53	
Kinnow	Kg	60	65	63	
Ginger	Kg	190	200	195	
Chilli Dry	Kg	200	220	210	
Chilli Green	Kg	55	65	60	
Capsicum	Kg	70	80	75	
Garlic Green	Kg	50	60	55	
Coriander Green	Kg	30	35	33	
Garlic Dry Chinese	Kg	115	120	118	
Garlic Dry Nepali	Kg	85	90	88	
Fish Fresh	Kg	210	220	215	
