 Daily Wholesale Price Bulletin	
Friday, April 4-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	35	32	
Tomato Small	Kg	38	45	41	
Potato Red	Kg	23	24	24	
Potato White	Kg	23	24	24	
Onion Dry	Kg	27	29	28	
Carrot	Kg	30	36	33	
Cabbage	Kg	16	20	18	
Cauli Local	Kg	20	25	23	
Raddish Red	Kg	30	36	34	
Raddish White	Kg	18	22	20	
Brinjal Long	Kg	30	35	32	
Brinjal Round	Kg	35	36	36	
Cow pea	Kg	70	75	72	
Green Peas	Kg	40	50	45	
French Bean	Kg	40	50	46	
Sword Bean	Kg	35	38	36	
Bitter Gourd	Kg	70	80	75	
Bottle Gourd	Kg	30	36	34	
Pointed Gourd	Kg	75	80	77	
Smooth Gourd	Kg	60	65	63	
Pumpkin	Kg	28	32	30	
Squash	Kg	8	12	10	
Turnip	Kg	35	40	38	
Okara	Kg	70	80	75	
Sweet Potato	Kg	50	60	55	
Barela	Kg	30	34	32	
Arum	Kg	45	50	48	
Christophine	Kg	34	36	35	
Brd Leaf Mustard	Kg	25	30	28	
Spinach Leaf	Kg	40	45	43	
Cress Leaf	Kg	45	50	48	
Mustard Leaf	Kg	35	40	38	
Fenugreek Leaf	Kg	40	45	43	
Onion Green	Kg	45	50	48	
Bakula	Kg	30	35	32	
Mushroom	Kg	120	130	123	
Asparagus	Kg	350	400	375	
Neuro	Kg	80	90	85	
Brocauli	Kg	35	40	38	
Sugarbeet	Kg	55	60	58	
Drumstick	Kg	130	160	145	
Bauhania flower	Kg	50	55	53	
Red Cabbbage	Kg	70	80	75	
Lettuce	Kg	30	35	33	
Knolkhol	Kg	35	40	38	
Celery	Kg	50	60	55	
Parseley	Kg	150	160	155	
Fennel Leaf	Kg	40	45	43	
Mint	Kg	175	200	188	
Turnip A	Kg	40	45	43	
Tamarind	Kg	85	90	88	
Bamboo Shoot	Kg	150	160	155	
Tofu	Kg	65	70	68	
Gundruk	Kg	190	200	195	
Apple	Kg	100	110	105	
Banana	Doz	60	65	63	
Lime	100 Pcs	300	600	450	
Pomegranate	Kg	275	300	288	
Grapes	Kg	100	110	105	
Orange	Kg	100	110	105	
Water Melon	Kg	85	90	88	
Sweet Orange	Kg	85	90	88	
Pineapple	1 Pc	75	80	78	
Cucumber	Kg	40	50	46	
Jack Fruit	Kg	50	55	53	
Papaya	Kg	60	70	65	
Sugarcane	1 Pc	50	60	55	
Kinnow	Kg	65	70	68	
Ginger	Kg	180	200	190	
Chilli Dry	Kg	200	220	210	
Chilli Green	Kg	55	65	59	
Capsicum	Kg	70	80	78	
Garlic Green	Kg	50	60	55	
Coriander Green	Kg	40	45	43	
Garlic Dry Chinese	Kg	115	120	118	
Garlic Dry Nepali	Kg	80	90	85	
Fish Fresh	Kg	210	220	217	
