 Daily Wholesale Price Bulletin	
Monday, April 21-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	20	25	22	
Tomato Small	Kg	30	35	32	
Potato Red	Kg	27	28	28	
Potato White	Kg	23	24	24	
Onion Dry	Kg	27	28	28	
Carrot	Kg	40	45	42	
Cabbage	Kg	18	22	20	
Cauli Local	Kg	35	40	38	
Cauli Terai	Kg	20	25	23	
Raddish Red	Kg	30	35	33	
Raddish White	Kg	15	20	18	
Brinjal Long	Kg	20	25	22	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	60	65	62	
Green Peas	Kg	40	45	43	
French Bean	Kg	35	40	38	
Sword Bean	Kg	60	65	63	
Bitter Gourd	Kg	60	70	67	
Bottle Gourd	Kg	30	35	33	
Pointed Gourd	Kg	55	60	57	
Smooth Gourd	Kg	70	80	73	
Pumpkin	Kg	18	20	19	
Squash	Kg	20	25	22	
Turnip	Kg	75	80	78	
Okara	Kg	60	70	67	
Barela	Kg	30	35	33	
Arum	Kg	45	48	46	
Brd Leaf Mustard	Kg	80	90	87	
Spinach Leaf	Kg	75	80	78	
Cress Leaf	Kg	75	80	78	
Mustard Leaf	Kg	70	75	73	
Fenugreek Leaf	Kg	80	90	87	
Onion Green	Kg	20	25	23	
Bakula	Kg	28	30	29	
Yam	Kg	34	36	35	
Mushroom	Kg	100	120	110	
Asparagus	Kg	200	250	225	
Neuro	Kg	50	60	55	
Brocauli	Kg	65	70	67	
Sugarbeet	Kg	40	50	45	
Drumstick	Kg	60	70	65	
Bauhania flower	Kg	70	80	75	
Red Cabbbage	Kg	60	70	65	
Lettuce	Kg	75	80	78	
Knolkhol	Kg	65	70	68	
Celery	Kg	90	100	95	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	75	80	78	
Mint	Kg	200	210	205	
Turnip A	Kg	60	70	65	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	150	160	157	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	120	130	125	
Banana	Doz	70	80	75	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	250	260	255	
Mango	Kg	85	100	92	
Grapes	Kg	140	150	145	
Orange	Kg	120	130	125	
Water Melon	Kg	22	25	24	
Sweet Orange	Kg	70	80	75	
Pineapple	1 Pc	70	80	75	
Cucumber	Kg	25	30	28	
Jack Fruit	Kg	50	60	55	
Papaya	Kg	55	60	58	
Sugarcane	1 Pc	50	60	55	
Ginger	Kg	170	180	177	
Chilli Dry	Kg	180	190	185	
Chilli Green	Kg	40	45	43	
Capsicum	Kg	70	80	77	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	50	60	57	
Garlic Dry Chinese	Kg	105	110	108	
Garlic Dry Nepali	Kg	75	80	78	
Clive Dry	Kg	110	120	115	
Clive Green	Kg	40	45	43	
Fish Fresh	Kg	210	220	217	
