 Daily Wholesale Price Bulletin	
Sunday, April 27-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	35	33	
Tomato Small	Kg	32	36	34	
Potato Red	Kg	25	26	26	
Potato White	Kg	21	23	22	
Onion Dry	Kg	30	35	32	
Carrot	Kg	35	40	38	
Cabbage	Kg	18	22	20	
Cauli Terai	Kg	35	40	38	
Raddish Red	Kg	30	35	33	
Raddish White	Kg	15	18	17	
Brinjal Long	Kg	18	22	20	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	65	70	68	
Green Peas	Kg	45	50	48	
French Bean	Kg	50	55	53	
Bitter Gourd	Kg	50	60	57	
Bottle Gourd	Kg	30	35	33	
Pointed Gourd	Kg	45	50	48	
Smooth Gourd	Kg	55	65	60	
Sponge Gourd	Kg	48	50	49	
Pumpkin	Kg	18	20	19	
Squash	Kg	25	30	27	
Turnip	Kg	75	80	78	
Okara	Kg	50	60	57	
Barela	Kg	30	35	33	
Arum	Kg	45	48	47	
Brd Leaf Mustard	Kg	70	75	73	
Spinach Leaf	Kg	55	60	58	
Cress Leaf	Kg	55	60	58	
Mustard Leaf	Kg	45	50	48	
Fenugreek Leaf	Kg	70	75	73	
Onion Green	Kg	20	25	23	
Bakula	Kg	28	30	29	
Yam	Kg	34	36	35	
Mushroom	Kg	120	130	125	
Asparagus	Kg	200	250	225	
Neuro	Kg	50	60	55	
Brocauli	Kg	50	55	53	
Sugarbeet	Kg	50	60	55	
Drumstick	Kg	60	70	65	
Bauhania flower	Kg	60	70	65	
Lettuce	Kg	75	80	78	
Knolkhol	Kg	70	75	73	
Celery	Kg	110	120	115	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	75	80	78	
Mint	Kg	110	120	115	
Turnip A	Kg	55	60	58	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	150	160	155	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	120	130	125	
Banana	Doz	80	90	85	
Lime	100 Pcs	600	700	633	
Pomegranate	Kg	240	250	245	
Mango	Kg	80	100	90	
Grapes	Kg	140	150	145	
Orange	Kg	130	140	135	
Water Melon	Kg	24	25	25	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	20	25	23	
Jack Fruit	Kg	50	60	55	
Papaya	Kg	50	55	53	
Sugarcane	1 Pc	70	80	75	
Ginger	Kg	180	190	187	
Chilli Dry	Kg	180	190	185	
Chilli Green	Kg	40	45	43	
Capsicum	Kg	60	70	67	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	45	50	48	
Garlic Dry Chinese	Kg	105	110	108	
Garlic Dry Nepali	Kg	85	90	88	
Clive Dry	Kg	110	120	115	
Clive Green	Kg	45	50	48	
Fish Fresh	Kg	210	220	215	
