 Daily Wholesale Price Bulletin	
Wednesday, April 30-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	32	31	
Tomato Small	Kg	30	35	33	
Potato Red	Kg	24	25	25	
Potato White	Kg	20	22	21	
Onion Dry	Kg	29	30	30	
Carrot	Kg	38	42	40	
Cabbage	Kg	24	26	25	
Cauli Local	Kg	45	50	48	
Cauli Terai	Kg	30	35	33	
Raddish Red	Kg	30	35	33	
Raddish White	Kg	20	24	22	
Brinjal Long	Kg	16	20	18	
Brinjal Round	Kg	30	32	31	
Cow pea	Kg	50	55	53	
Green Peas	Kg	40	45	43	
French Bean	Kg	45	50	48	
Bitter Gourd	Kg	45	50	48	
Bottle Gourd	Kg	30	35	33	
Pointed Gourd	Kg	45	50	48	
Snake Gourd	Kg	55	60	58	
Smooth Gourd	Kg	45	50	48	
Sponge Gourd	Kg	45	50	48	
Pumpkin	Kg	22	26	24	
Squash	Kg	20	25	22	
Turnip	Kg	55	60	58	
Okara	Kg	50	60	55	
Barela	Kg	30	35	33	
Arum	Kg	55	60	58	
Brd Leaf Mustard	Kg	55	60	58	
Spinach Leaf	Kg	55	60	58	
Cress Leaf	Kg	55	60	58	
Mustard Leaf	Kg	50	55	53	
Fenugreek Leaf	Kg	55	60	58	
Onion Green	Kg	25	30	28	
Bakula	Kg	38	40	39	
Mushroom	Kg	130	140	135	
Asparagus	Kg	200	250	233	
Neuro	Kg	60	70	65	
Brocauli	Kg	55	60	58	
Sugarbeet	Kg	40	50	43	
Drumstick	Kg	50	55	53	
Bauhania flower	Kg	90	100	97	
Red Cabbbage	Kg	40	50	45	
Lettuce	Kg	55	60	58	
Knolkhol	Kg	50	55	53	
Celery	Kg	100	110	105	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	55	60	58	
Mint	Kg	120	130	125	
Turnip A	Kg	45	50	48	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	140	150	147	
Tofu	Kg	60	70	67	
Gundruk	Kg	190	200	195	
Apple	Kg	120	130	125	
Banana	Doz	90	100	95	
Lime	100 Pcs	600	700	650	
Pomegranate	Kg	260	270	265	
Mango	Kg	70	80	75	
Grapes	Kg	190	200	195	
Orange	Kg	190	200	195	
Water Melon	Kg	24	25	25	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	45	50	48	
Jack Fruit	Kg	50	60	57	
Papaya	Kg	50	55	53	
Sugarcane	1 Pc	80	90	85	
Ginger	Kg	170	180	177	
Chilli Dry	Kg	200	210	207	
Chilli Green	Kg	40	45	43	
Capsicum	Kg	60	70	67	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	40	50	47	
Garlic Dry Chinese	Kg	100	105	102	
Garlic Dry Nepali	Kg	60	70	65	
Clive Dry	Kg	110	120	115	
Clive Green	Kg	45	50	48	
Fish Fresh	Kg	210	220	217	
