 Daily Wholesale Price Bulletin	
Tuesday, May 6-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	20	25	22	
Tomato Small	Kg	15	20	18	
Potato Red	Kg	28	30	29	
Potato White	Kg	23	24	24	
Onion Dry	Kg	28	30	29	
Carrot	Kg	30	35	33	
Cabbage	Kg	18	22	20	
Cauli Local	Kg	30	35	32	
Cauli Terai	Kg	20	25	23	
Raddish Red	Kg	30	35	33	
Raddish White	Kg	15	18	17	
Brinjal Long	Kg	18	22	20	
Brinjal Round	Kg	28	30	29	
Cow pea	Kg	40	45	42	
Green Peas	Kg	45	50	48	
French Bean	Kg	38	40	39	
Bitter Gourd	Kg	20	25	22	
Bottle Gourd	Kg	20	25	23	
Pointed Gourd	Kg	30	35	33	
Snake Gourd	Kg	50	55	53	
Smooth Gourd	Kg	30	35	33	
Sponge Gourd	Kg	45	50	48	
Pumpkin	Kg	22	25	24	
Squash	Kg	18	20	19	
Turnip	Kg	55	60	58	
Okara	Kg	25	30	28	
Barela	Kg	35	40	38	
Arum	Kg	55	60	58	
Brd Leaf Mustard	Kg	45	50	48	
Spinach Leaf	Kg	55	60	58	
Cress Leaf	Kg	55	60	58	
Mustard Leaf	Kg	55	60	58	
Fenugreek Leaf	Kg	55	60	58	
Onion Green	Kg	40	45	43	
Bakula	Kg	38	40	39	
Yam	Kg	32	34	33	
Mushroom	Kg	120	130	127	
Asparagus	Kg	200	220	213	
Neuro	Kg	50	60	57	
Brocauli	Kg	70	80	77	
Sugarbeet	Kg	50	60	57	
Drumstick	Kg	50	60	57	
Red Cabbbage	Kg	60	70	65	
Lettuce	Kg	90	100	95	
Knolkhol	Kg	55	60	58	
Celery	Kg	100	110	105	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	55	60	58	
Mint	Kg	120	130	125	
Turnip A	Kg	45	50	48	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	140	150	147	
Tofu	Kg	60	70	63	
Gundruk	Kg	190	200	193	
Apple	Kg	120	130	125	
Banana	Doz	90	100	95	
Lime	100 Pcs	600	700	667	
Pomegranate	Kg	260	270	263	
Mango	Kg	70	80	77	
Grapes	Kg	180	190	183	
Water Melon	Kg	22	25	24	
Sweet Orange	Kg	80	90	83	
Pineapple	1 Pc	90	100	93	
Cucumber	Kg	20	25	23	
Jack Fruit	Kg	30	35	33	
Papaya	Kg	50	60	53	
Sugarcane	1 Pc	80	90	83	
Ginger	Kg	190	200	197	
Chilli Dry	Kg	200	210	207	
Chilli Green	Kg	30	35	33	
Capsicum	Kg	55	60	58	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	70	80	73	
Garlic Dry Chinese	Kg	100	105	103	
Garlic Dry Nepali	Kg	55	60	57	
Clive Dry	Kg	110	120	117	
Clive Green	Kg	45	50	47	
Fish Fresh	Kg	210	220	217	
