 Daily Wholesale Price Bulletin	
Sunday, May 11-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	18	22	20	
Tomato Small	Kg	15	20	18	
Potato Red	Kg	28	30	29	
Potato White	Kg	24	26	25	
Onion Dry	Kg	28	29	29	
Carrot	Kg	35	40	38	
Cabbage	Kg	15	20	18	
Cauli Local	Kg	40	45	43	
Cauli Terai	Kg	20	25	23	
Raddish Red	Kg	30	35	33	
Raddish White	Kg	18	20	19	
Brinjal Long	Kg	18	22	21	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	35	40	38	
Green Peas	Kg	55	60	58	
French Bean	Kg	60	70	67	
Bitter Gourd	Kg	35	40	38	
Bottle Gourd	Kg	35	40	38	
Pointed Gourd	Kg	34	36	35	
Snake Gourd	Kg	60	65	63	
Smooth Gourd	Kg	35	40	37	
Sponge Gourd	Kg	45	50	47	
Pumpkin	Kg	22	24	23	
Squash	Kg	25	30	28	
Turnip	Kg	55	60	57	
Okara	Kg	50	60	57	
Barela	Kg	45	50	48	
Arum	Kg	55	60	57	
Brd Leaf Mustard	Kg	55	60	58	
Spinach Leaf	Kg	55	60	58	
Cress Leaf	Kg	55	60	58	
Mustard Leaf	Kg	45	50	48	
Fenugreek Leaf	Kg	55	60	58	
Onion Green	Kg	35	40	37	
Mushroom	Kg	160	170	167	
Asparagus	Kg	200	220	210	
Neuro	Kg	60	70	65	
Brocauli	Kg	90	100	97	
Sugarbeet	Kg	50	60	53	
Drumstick	Kg	45	50	47	
Red Cabbbage	Kg	70	80	77	
Lettuce	Kg	90	100	95	
Knolkhol	Kg	55	60	58	
Celery	Kg	110	120	113	
Parseley	Kg	130	140	133	
Fennel Leaf	Kg	55	60	58	
Mint	Kg	150	160	153	
Turnip A	Kg	45	50	47	
Tamarind	Kg	70	80	73	
Bamboo Shoot	Kg	140	150	147	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	193	
Apple	Kg	120	130	123	
Banana	Doz	80	90	87	
Lime	100 Pcs	600	700	667	
Pomegranate	Kg	260	270	263	
Mango	Kg	70	80	73	
Grapes	Kg	180	190	183	
Water Melon	Kg	22	25	23	
Sweet Orange	Kg	80	90	87	
Pineapple	1 Pc	80	90	83	
Cucumber	Kg	45	50	48	
Jack Fruit	Kg	30	40	35	
Papaya	Kg	50	55	53	
Sugarcane	1 Pc	80	90	85	
Ginger	Kg	190	200	197	
Chilli Dry	Kg	210	220	217	
Chilli Green	Kg	35	40	37	
Capsicum	Kg	70	80	77	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	60	70	67	
Garlic Dry Chinese	Kg	100	105	103	
Garlic Dry Nepali	Kg	55	60	58	
Clive Dry	Kg	110	120	113	
Clive Green	Kg	45	50	47	
Fish Fresh	Kg	210	220	217	
