 Daily Wholesale Price Bulletin	
Thursday, May 15-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	20	25	22	
Tomato Small	Kg	20	25	23	
Potato Red	Kg	27	29	28	
Potato White	Kg	24	26	25	
Onion Dry	Kg	27	28	28	
Carrot	Kg	40	45	42	
Cabbage	Kg	18	22	20	
Cauli Local	Kg	40	45	42	
Cauli Terai	Kg	20	25	23	
Raddish Red	Kg	30	35	32	
Raddish White	Kg	22	25	24	
Brinjal Long	Kg	22	25	23	
Brinjal Round	Kg	35	40	37	
Cow pea	Kg	40	45	42	
Green Peas	Kg	55	60	58	
French Bean	Kg	45	55	49	
Bitter Gourd	Kg	38	42	40	
Bottle Gourd	Kg	35	40	38	
Pointed Gourd	Kg	40	45	42	
Snake Gourd	Kg	50	55	52	
Smooth Gourd	Kg	35	40	37	
Sponge Gourd	Kg	45	50	47	
Pumpkin	Kg	22	24	23	
Squash	Kg	28	30	29	
Turnip	Kg	75	80	78	
Okara	Kg	40	50	45	
Arum	Kg	55	60	58	
Christophine	Kg	30	40	35	
Brd Leaf Mustard	Kg	75	80	78	
Spinach Leaf	Kg	75	80	78	
Cress Leaf	Kg	75	80	78	
Mustard Leaf	Kg	70	75	73	
Fenugreek Leaf	Kg	75	80	78	
Onion Green	Kg	35	40	38	
Mushroom	Kg	150	170	160	
Asparagus	Kg	180	200	193	
Neuro	Kg	60	70	63	
Brocauli	Kg	80	90	87	
Sugarbeet	Kg	50	60	53	
Drumstick	Kg	45	50	48	
Red Cabbbage	Kg	60	70	63	
Lettuce	Kg	75	80	78	
Knolkhol	Kg	55	60	57	
Celery	Kg	110	120	117	
Parseley	Kg	130	140	135	
Fennel Leaf	Kg	75	80	78	
Mint	Kg	140	150	145	
Turnip A	Kg	55	60	58	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	140	150	147	
Tofu	Kg	60	70	63	
Gundruk	Kg	190	200	193	
Apple	Kg	120	130	125	
Banana	Doz	80	90	85	
Lime	100 Pcs	600	700	667	
Pomegranate	Kg	240	250	247	
Mango	Kg	70	80	73	
Grapes	Kg	190	200	197	
Water Melon	Kg	22	25	24	
Sweet Orange	Kg	80	90	87	
Pineapple	1 Pc	80	90	83	
Cucumber	Kg	45	50	48	
Jack Fruit	Kg	40	50	47	
Papaya	Kg	50	55	53	
Ginger	Kg	180	190	187	
Chilli Dry	Kg	170	180	175	
Chilli Green	Kg	80	90	83	
Capsicum	Kg	70	80	73	
Garlic Green	Kg	75	80	78	
Coriander Green	Kg	70	80	77	
Garlic Dry Chinese	Kg	100	105	103	
Garlic Dry Nepali	Kg	55	60	58	
Clive Dry	Kg	140	150	147	
Clive Green	Kg	55	60	57	
Fish Fresh	Kg	210	220	217	
