 Daily Wholesale Price Bulletin	
Wednesday, May 21-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	20	22	21	
Tomato Small	Kg	15	20	18	
Potato Red	Kg	24	28	27	
Potato White	Kg	24	25	25	
Onion Dry	Kg	28	30	29	
Carrot	Kg	35	40	38	
Cabbage	Kg	16	20	18	
Cauli Local	Kg	40	45	43	
Cauli Terai	Kg	25	30	28	
Raddish White	Kg	20	24	22	
Brinjal Long	Kg	20	24	22	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	28	32	30	
Green Peas	Kg	55	60	58	
French Bean	Kg	55	60	58	
Bitter Gourd	Kg	38	42	40	
Bottle Gourd	Kg	30	35	33	
Pointed Gourd	Kg	38	40	39	
Snake Gourd	Kg	55	60	58	
Smooth Gourd	Kg	40	45	43	
Sponge Gourd	Kg	45	50	48	
Pumpkin	Kg	20	24	22	
Squash	Kg	30	35	33	
Turnip	Kg	75	80	78	
Okara	Kg	20	25	22	
Barela	Kg	55	60	58	
Arum	Kg	55	60	58	
Christophine	Kg	35	40	38	
Brd Leaf Mustard	Kg	75	80	78	
Spinach Leaf	Kg	75	80	78	
Cress Leaf	Kg	75	80	78	
Mustard Leaf	Kg	55	60	58	
Fenugreek Leaf	Kg	75	80	78	
Onion Green	Kg	40	50	45	
Mushroom	Kg	150	160	157	
Asparagus	Kg	160	200	180	
Neuro	Kg	50	60	55	
Brocauli	Kg	80	90	87	
Sugarbeet	Kg	40	50	45	
Drumstick	Kg	55	60	58	
Red Cabbbage	Kg	45	50	48	
Lettuce	Kg	90	100	97	
Knolkhol	Kg	55	60	58	
Celery	Kg	110	120	115	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	75	80	78	
Mint	Kg	150	160	155	
Turnip A	Kg	55	60	58	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	130	140	137	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	120	130	125	
Banana	Doz	120	130	125	
Lime	100 Pcs	600	700	650	
Pomegranate	Kg	250	260	255	
Mango	Kg	70	80	77	
Grapes	Kg	200	210	205	
Water Melon	Kg	22	25	24	
Sweet Orange	Kg	90	100	95	
Pineapple	1 Pc	90	100	95	
Cucumber	Kg	40	45	42	
Jack Fruit	Kg	25	30	28	
Papaya	Kg	50	55	53	
Ginger	Kg	190	200	195	
Chilli Dry	Kg	170	180	177	
Chilli Green	Kg	70	80	77	
Capsicum	Kg	50	60	55	
Garlic Green	Kg	75	80	78	
Coriander Green	Kg	130	140	133	
Garlic Dry Chinese	Kg	100	105	103	
Garlic Dry Nepali	Kg	55	60	58	
Clive Dry	Kg	110	120	115	
Clive Green	Kg	75	80	78	
Fish Fresh	Kg	210	220	217	
