 Daily Wholesale Price Bulletin	
Friday, May 23-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	18	20	19	
Tomato Small	Kg	15	20	18	
Potato Red	Kg	27	29	28	
Potato White	Kg	23	25	24	
Onion Dry	Kg	28	30	29	
Carrot	Kg	38	42	41	
Cabbage	Kg	20	24	22	
Cauli Local	Kg	40	45	43	
Cauli Terai	Kg	20	25	23	
Raddish White	Kg	20	24	22	
Brinjal Long	Kg	22	24	23	
Brinjal Round	Kg	28	30	29	
Cow pea	Kg	30	35	33	
Green Peas	Kg	55	60	58	
French Bean	Kg	45	50	48	
Bitter Gourd	Kg	30	35	33	
Bottle Gourd	Kg	20	25	22	
Pointed Gourd	Kg	34	38	36	
Snake Gourd	Kg	45	50	48	
Smooth Gourd	Kg	25	30	27	
Sponge Gourd	Kg	28	30	29	
Pumpkin	Kg	20	22	21	
Squash	Kg	30	35	33	
Turnip	Kg	75	80	78	
Okara	Kg	16	20	19	
Arum	Kg	55	60	58	
Christophine	Kg	40	45	43	
Brd Leaf Mustard	Kg	75	80	78	
Spinach Leaf	Kg	75	80	78	
Cress Leaf	Kg	75	80	78	
Mustard Leaf	Kg	55	60	58	
Fenugreek Leaf	Kg	75	80	78	
Onion Green	Kg	45	50	48	
Mushroom	Kg	180	200	188	
Asparagus	Kg	150	180	160	
Neuro	Kg	50	60	55	
Brocauli	Kg	60	70	67	
Sugarbeet	Kg	50	60	55	
Red Cabbbage	Kg	50	60	55	
Lettuce	Kg	80	90	87	
Knolkhol	Kg	55	60	58	
Celery	Kg	110	120	115	
Parseley	Kg	110	120	115	
Fennel Leaf	Kg	75	80	78	
Mint	Kg	130	140	135	
Turnip A	Kg	55	60	58	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	130	140	133	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	120	130	125	
Banana	Doz	110	120	115	
Lime	100 Pcs	500	600	533	
Pomegranate	Kg	260	270	265	
Mango	Kg	65	75	69	
Water Melon	Kg	18	22	20	
Sweet Orange	Kg	100	110	105	
Pineapple	1 Pc	130	140	135	
Cucumber	Kg	40	45	43	
Jack Fruit	Kg	25	30	28	
Papaya	Kg	50	55	53	
Ginger	Kg	180	200	190	
Chilli Dry	Kg	170	180	173	
Chilli Green	Kg	55	60	58	
Capsicum	Kg	50	55	53	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	150	160	157	
Garlic Dry Chinese	Kg	100	105	102	
Garlic Dry Nepali	Kg	60	70	67	
Clive Dry	Kg	110	120	115	
Clive Green	Kg	55	60	58	
Fish Fresh	Kg	210	220	217	
