 Daily Wholesale Price Bulletin	
Monday, May 26-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	18	22	20	
Tomato Small	Kg	20	25	23	
Potato Red	Kg	28	30	29	
Potato White	Kg	24	25	25	
Onion Dry	Kg	29	30	30	
Carrot	Kg	35	40	38	
Cabbage	Kg	20	24	22	
Cauli Local	Kg	40	45	42	
Cauli Terai	Kg	25	30	28	
Raddish White	Kg	25	30	28	
Brinjal Long	Kg	22	25	23	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	30	35	33	
Green Peas	Kg	60	65	62	
French Bean	Kg	35	40	38	
Soyabean Green	Kg	110	120	117	
Bitter Gourd	Kg	28	32	30	
Bottle Gourd	Kg	28	30	29	
Pointed Gourd	Kg	35	40	37	
Snake Gourd	Kg	45	50	47	
Smooth Gourd	Kg	25	35	30	
Sponge Gourd	Kg	28	30	29	
Pumpkin	Kg	22	24	23	
Squash	Kg	25	30	27	
Turnip	Kg	55	60	57	
Okara	Kg	20	24	22	
Arum	Kg	55	60	57	
Brd Leaf Mustard	Kg	75	80	78	
Spinach Leaf	Kg	75	80	78	
Cress Leaf	Kg	75	80	78	
Mustard Leaf	Kg	55	60	58	
Fenugreek Leaf	Kg	75	80	78	
Onion Green	Kg	45	50	48	
Mushroom	Kg	160	170	167	
Asparagus	Kg	190	200	195	
Neuro	Kg	50	60	53	
Brocauli	Kg	60	70	67	
Sugarbeet	Kg	50	60	53	
Drumstick	Kg	55	60	57	
Red Cabbbage	Kg	50	60	53	
Lettuce	Kg	90	100	97	
Knolkhol	Kg	55	60	57	
Celery	Kg	110	120	113	
Parseley	Kg	130	140	133	
Fennel Leaf	Kg	75	80	78	
Mint	Kg	140	150	147	
Turnip A	Kg	55	60	57	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	130	140	137	
Tofu	Kg	60	70	63	
Gundruk	Kg	190	200	195	
Apple	Kg	120	130	123	
Banana	Doz	100	110	107	
Lime	100 Pcs	500	600	567	
Pomegranate	Kg	250	260	253	
Mango	Kg	60	70	67	
Water Melon	Kg	18	20	19	
Sweet Orange	Kg	100	110	105	
Pineapple	1 Pc	140	150	143	
Cucumber	Kg	35	40	38	
Jack Fruit	Kg	22	26	24	
Papaya	Kg	50	55	53	
Litchi	Kg	190	200	195	
Ginger	Kg	190	200	197	
Chilli Dry	Kg	170	180	177	
Chilli Green	Kg	50	60	57	
Capsicum	Kg	50	60	53	
Garlic Green	Kg	45	50	47	
Coriander Green	Kg	130	140	137	
Garlic Dry Chinese	Kg	95	100	98	
Garlic Dry Nepali	Kg	60	70	67	
Clive Dry	Kg	80	90	85	
Clive Green	Kg	55	60	58	
Fish Fresh	Kg	210	220	217	
