 Daily Wholesale Price Bulletin	
Tuesday, June 3-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	28	30	29	
Tomato Small	Kg	30	35	32	
Potato Red	Kg	32	34	33	
Potato White	Kg	28	30	29	
Onion Dry	Kg	28	30	29	
Carrot	Kg	40	42	41	
Cabbage	Kg	24	28	26	
Cauli Local	Kg	50	60	54	
Raddish White	Kg	20	25	22	
Brinjal Long	Kg	18	22	20	
Brinjal Round	Kg	28	30	29	
Cow pea	Kg	45	50	47	
Green Peas	Kg	75	80	77	
French Bean	Kg	50	55	53	
Soyabean Green	Kg	90	100	93	
Bitter Gourd	Kg	20	22	21	
Bottle Gourd	Kg	35	45	40	
Pointed Gourd	Kg	45	50	47	
Snake Gourd	Kg	45	50	48	
Smooth Gourd	Kg	40	50	45	
Sponge Gourd	Kg	40	45	43	
Pumpkin	Kg	22	25	24	
Squash	Kg	30	35	33	
Turnip	Kg	65	70	68	
Okara	Kg	20	25	23	
Barela	Kg	38	40	39	
Christophine	Kg	55	60	57	
Brd Leaf Mustard	Kg	55	60	58	
Spinach Leaf	Kg	55	60	58	
Cress Leaf	Kg	55	60	58	
Mustard Leaf	Kg	45	50	48	
Fenugreek Leaf	Kg	55	60	58	
Onion Green	Kg	40	45	43	
Mushroom	Kg	150	160	157	
Asparagus	Kg	150	200	177	
Neuro	Kg	50	60	55	
Brocauli	Kg	130	140	133	
Sugarbeet	Kg	50	60	53	
Drumstick	Kg	55	60	58	
Red Cabbbage	Kg	50	60	55	
Lettuce	Kg	80	90	87	
Knolkhol	Kg	55	60	58	
Celery	Kg	110	120	113	
Parseley	Kg	140	150	143	
Fennel Leaf	Kg	55	60	58	
Mint	Kg	170	180	175	
Turnip A	Kg	55	60	58	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	130	140	137	
Tofu	Kg	60	70	67	
Gundruk	Kg	190	200	195	
Apple	Kg	125	135	130	
Banana	Doz	80	90	83	
Lime	100 Pcs	400	500	467	
Pomegranate	Kg	250	260	255	
Mango	Kg	60	70	67	
Water Melon	Kg	22	25	24	
Sweet Orange	Kg	100	110	105	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	50	55	53	
Jack Fruit	Kg	20	30	25	
Papaya	Kg	50	60	55	
Ginger	Kg	180	190	187	
Chilli Dry	Kg	170	180	173	
Chilli Green	Kg	38	40	39	
Capsicum	Kg	50	60	57	
Garlic Green	Kg	40	45	43	
Coriander Green	Kg	170	190	180	
Garlic Dry Chinese	Kg	95	100	98	
Garlic Dry Nepali	Kg	60	70	67	
Clive Dry	Kg	100	110	107	
Clive Green	Kg	55	60	58	
Fish Fresh	Kg	200	220	213	
