 Daily Wholesale Price Bulletin	
Thursday, June 5-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	35	40	37	
Tomato Small	Kg	44	48	46	
Potato Red	Kg	32	34	33	
Potato White	Kg	28	30	29	
Onion Dry	Kg	28	30	29	
Carrot	Kg	40	45	42	
Cabbage	Kg	22	25	23	
Cauli Local	Kg	50	55	53	
Raddish White	Kg	20	25	23	
Brinjal Long	Kg	25	30	27	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	50	55	53	
Green Peas	Kg	75	80	78	
French Bean	Kg	40	50	46	
Soyabean Green	Kg	90	100	93	
Bitter Gourd	Kg	25	30	28	
Bottle Gourd	Kg	40	45	43	
Pointed Gourd	Kg	40	44	42	
Snake Gourd	Kg	45	50	47	
Smooth Gourd	Kg	40	45	43	
Sponge Gourd	Kg	40	45	43	
Pumpkin	Kg	22	25	24	
Squash	Kg	30	35	33	
Turnip	Kg	75	80	78	
Okara	Kg	25	30	28	
Barela	Kg	38	40	39	
Christophine	Kg	55	60	58	
Brd Leaf Mustard	Kg	65	70	68	
Spinach Leaf	Kg	65	70	68	
Cress Leaf	Kg	65	70	68	
Mustard Leaf	Kg	45	50	48	
Fenugreek Leaf	Kg	75	80	78	
Onion Green	Kg	45	50	47	
Mushroom	Kg	160	170	167	
Asparagus	Kg	180	200	190	
Neuro	Kg	50	60	55	
Brocauli	Kg	130	140	137	
Sugarbeet	Kg	50	60	55	
Drumstick	Kg	55	60	58	
Lettuce	Kg	80	90	87	
Knolkhol	Kg	55	60	58	
Celery	Kg	110	120	115	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	70	80	77	
Mint	Kg	150	160	155	
Turnip A	Kg	45	50	48	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	130	140	133	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	90	140	120	
Banana	Doz	70	90	80	
Lime	100 Pcs	400	500	467	
Pomegranate	Kg	250	260	255	
Mango	Kg	60	70	67	
Water Melon	Kg	20	25	22	
Sweet Orange	Kg	100	110	105	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	40	45	43	
Jack Fruit	Kg	25	30	27	
Papaya	Kg	50	60	55	
Ginger	Kg	200	210	207	
Chilli Dry	Kg	170	180	177	
Chilli Green	Kg	40	50	44	
Capsicum	Kg	50	55	53	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	190	200	197	
Garlic Dry Chinese	Kg	90	95	93	
Garlic Dry Nepali	Kg	60	70	65	
Clive Dry	Kg	100	110	105	
Clive Green	Kg	55	60	58	
Fish Fresh	Kg	210	220	217	
