 Daily Wholesale Price Bulletin	
Sunday, June 15-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	20	25	22	
Tomato Small	Kg	22	26	24	
Potato Red	Kg	36	38	37	
Potato White	Kg	31	32	32	
Onion Dry	Kg	34	35	35	
Carrot	Kg	50	60	54	
Cabbage	Kg	25	28	27	
Cauli Local	Kg	40	45	42	
Raddish White	Kg	30	35	32	
Brinjal Long	Kg	15	18	16	
Brinjal Round	Kg	28	30	29	
Cow pea	Kg	30	40	35	
Green Peas	Kg	100	110	105	
French Bean	Kg	30	35	32	
Sword Bean	Kg	120	150	135	
Soyabean Green	Kg	60	70	67	
Bitter Gourd	Kg	20	25	22	
Bottle Gourd	Kg	25	30	28	
Pointed Gourd	Kg	38	42	40	
Snake Gourd	Kg	35	40	38	
Smooth Gourd	Kg	25	30	28	
Sponge Gourd	Kg	45	50	49	
Pumpkin	Kg	22	24	23	
Squash	Kg	30	35	32	
Turnip	Kg	45	50	48	
Okara	Kg	30	35	33	
Christophine	Kg	45	50	48	
Brd Leaf Mustard	Kg	45	50	48	
Spinach Leaf	Kg	40	50	47	
Cress Leaf	Kg	55	60	58	
Mustard Leaf	Kg	25	30	28	
Fenugreek Leaf	Kg	55	60	58	
Onion Green	Kg	30	35	33	
Mushroom	Kg	180	200	193	
Asparagus	Kg	150	180	165	
Neuro	Kg	60	70	65	
Brocauli	Kg	120	130	127	
Sugarbeet	Kg	50	60	55	
Drumstick	Kg	55	60	58	
Red Cabbbage	Kg	50	60	55	
Lettuce	Kg	75	80	78	
Knolkhol	Kg	45	50	48	
Celery	Kg	90	100	97	
Parseley	Kg	110	120	117	
Fennel Leaf	Kg	55	60	58	
Mint	Kg	150	160	155	
Turnip A	Kg	45	50	48	
Tamarind	Kg	70	80	77	
Bamboo Shoot	Kg	120	130	123	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	180	200	193	
Banana	Doz	80	90	85	
Lime	100 Pcs	400	500	467	
Pomegranate	Kg	250	260	255	
Mango	Kg	55	65	60	
Water Melon	Kg	22	25	24	
Sweet Orange	Kg	100	110	105	
Pineapple	1 Pc	110	120	115	
Cucumber	Kg	50	60	55	
Jack Fruit	Kg	30	35	32	
Papaya	Kg	55	65	60	
Litchi	Kg	100	110	105	
Ginger	Kg	200	210	207	
Chilli Dry	Kg	180	190	187	
Chilli Green	Kg	40	45	43	
Capsicum	Kg	35	45	41	
Garlic Green	Kg	30	35	33	
Coriander Green	Kg	200	220	213	
Garlic Dry Chinese	Kg	85	90	88	
Garlic Dry Nepali	Kg	50	60	56	
Clive Dry	Kg	90	100	97	
Clive Green	Kg	55	60	58	
Fish Fresh	Kg	210	220	213	
