 Daily Wholesale Price Bulletin	
Monday, June 17-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	25	30	28	
Tomato Small	Kg	20	25	23	
Potato Red	Kg	20	21	21	
Potato White	Kg	15	16	16	
Onion Dry	Kg	29	30	30	
Carrot	Kg	35	40	38	
Cabbage	Kg	6	10	8	
Cauli Local	Kg	25	30	28	
Raddish Red	Kg	35	40	38	
Raddish White	Kg	30	35	33	
Brinjal Long	Kg	18	20	19	
Brinjal Round	Kg	25	30	28	
Cow pea	Kg	20	25	22	
Green Peas	Kg	55	60	58	
French Bean	Kg	30	35	33	
Soyabean Green	Kg	55	60	58	
Bitter Gourd	Kg	16	20	18	
Bottle Gourd	Kg	18	20	19	
Pointed Gourd	Kg	30	35	33	
Snake Gourd	Kg	30	35	33	
Smooth Gourd	Kg	15	20	18	
Sponge Gourd	Kg	45	50	48	
Pumpkin	Kg	18	20	19	
Squash	Kg	20	25	23	
Okara	Kg	18	22	20	
Christophine	Kg	35	40	38	
Brd Leaf Mustard	Kg	40	45	43	
Spinach Leaf	Kg	45	50	48	
Cress Leaf	Kg	40	45	43	
Mustard Leaf	Kg	35	40	38	
Fenugreek Leaf	Kg	40	45	43	
Onion Green	Kg	40	45	43	
Mushroom	Kg	180	200	190	
Asparagus	Kg	100	150	125	
Neuro	Kg	50	60	55	
Brocauli	Kg	70	80	75	
Sugarbeet	Kg	35	40	38	
Drumstick	Kg	45	50	48	
Red Cabbbage	Kg	60	70	65	
Lettuce	Kg	45	50	48	
Celery	Kg	120	130	125	
Parseley	Kg	180	190	185	
Fennel Leaf	Kg	40	45	43	
Mint	Kg	120	130	125	
Turnip A	Kg	45	50	48	
Tamarind	Kg	65	70	68	
Bamboo Shoot	Kg	50	60	55	
Tofu	Kg	55	60	58	
Gundruk	Kg	190	200	195	
Apple	Kg	110	130	120	
Banana	Doz	70	80	75	
Lime	100 Pcs	200	400	300	
Pomegranate	Kg	200	220	210	
Mango	Kg	50	60	55	
Grapes	Kg	250	260	255	
Water Melon	Kg	14	16	15	
Sweet Orange	Kg	90	100	95	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	25	30	28	
Jack Fruit	Kg	20	25	23	
Papaya	Kg	60	70	65	
Sugarcane	1 Pc	60	70	65	
Ginger	Kg	140	150	145	
Chilli Dry	Kg	170	180	175	
Chilli Green	Kg	30	40	35	
Capsicum	Kg	55	60	58	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	90	100	95	
Garlic Dry Chinese	Kg	100	110	105	
Garlic Dry Nepali	Kg	50	60	55	
Clive Dry	Kg	70	80	75	
Clive Green	Kg	50	60	55	
Fish Fresh	Kg	210	220	215	
