 Daily Wholesale Price Bulletin	
Wednesday, June 26-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	30	35	33	
Tomato Small	Kg	20	25	23	
Potato Red	Kg	22	23	23	
Potato White	Kg	17	18	18	
Onion Dry	Kg	33	35	34	
Carrot	Kg	35	40	38	
Cabbage	Kg	10	15	12	
Cauli Local	Kg	18	22	20	
Raddish Red	Kg	35	40	38	
Raddish White	Kg	20	25	23	
Brinjal Long	Kg	30	35	33	
Cow pea	Kg	30	35	33	
Green Peas	Kg	55	60	58	
French Bean	Kg	35	40	38	
Soyabean Green	Kg	45	50	48	
Bitter Gourd	Kg	20	30	25	
Bottle Gourd	Kg	30	32	31	
Pointed Gourd	Kg	35	40	38	
Snake Gourd	Kg	30	35	33	
Smooth Gourd	Kg	20	25	23	
Sponge Gourd	Kg	45	50	48	
Pumpkin	Kg	16	20	18	
Squash	Kg	20	25	22	
Turnip	Kg	45	50	48	
Okara	Kg	35	40	38	
Arum	Kg	30	35	33	
Christophine	Kg	35	40	38	
Brd Leaf Mustard	Kg	40	45	43	
Spinach Leaf	Kg	45	50	48	
Cress Leaf	Kg	45	50	48	
Mustard Leaf	Kg	35	40	38	
Fenugreek Leaf	Kg	45	50	48	
Onion Green	Kg	35	40	38	
Mushroom	Kg	150	160	155	
Asparagus	Kg	100	130	117	
Neuro	Kg	40	50	45	
Brocauli	Kg	70	80	75	
Sugarbeet	Kg	35	40	38	
Red Cabbbage	Kg	70	80	75	
Lettuce	Kg	40	50	45	
Celery	Kg	120	130	125	
Parseley	Kg	170	180	175	
Fennel Leaf	Kg	45	50	48	
Mint	Kg	120	130	125	
Turnip A	Kg	45	50	48	
Tamarind	Kg	65	70	68	
Bamboo Shoot	Kg	50	60	55	
Tofu	Kg	55	60	58	
Gundruk	Kg	180	190	185	
Apple	Kg	110	130	120	
Banana	Doz	60	70	65	
Lime	100 Pcs	200	400	300	
Pomegranate	Kg	220	240	230	
Mango	Kg	50	60	55	
Grapes	Kg	250	260	255	
Water Melon	Kg	15	18	17	
Sweet Orange	Kg	90	100	95	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	30	35	33	
Jack Fruit	Kg	20	25	23	
Papaya	Kg	50	60	55	
Sugarcane	1 Pc	50	60	55	
Ginger	Kg	130	140	135	
Chilli Dry	Kg	170	180	175	
Chilli Green	Kg	25	30	28	
Capsicum	Kg	90	100	95	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	40	50	45	
Garlic Dry Chinese	Kg	95	100	98	
Garlic Dry Nepali	Kg	50	60	55	
Clive Dry	Kg	70	80	75	
Clive Green	Kg	50	60	55	
Fish Fresh	Kg	210	220	215	
