 Daily Wholesale Price Bulletin	
Wednesday, July 2-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	22	25	24	
Tomato Small	Kg	14	18	16	
Potato Red	Kg	40	42	41	
Potato White	Kg	30	32	31	
Onion Dry	Kg	45	47	46	
Carrot	Kg	70	80	76	
Cabbage	Kg	35	40	38	
Cauli Local	Kg	25	35	30	
Raddish White	Kg	20	25	22	
Brinjal Long	Kg	15	18	16	
Brinjal Round	Kg	28	30	29	
Cow pea	Kg	25	40	32	
French Bean	Kg	28	35	31	
Soyabean Green	Kg	35	40	38	
Bitter Gourd	Kg	18	22	20	
Bottle Gourd	Kg	15	20	18	
Pointed Gourd	Kg	32	34	33	
Snake Gourd	Kg	18	20	19	
Smooth Gourd	Kg	15	18	16	
Sponge Gourd	Kg	45	50	48	
Pumpkin	Kg	22	24	23	
Squash	Kg	28	32	30	
Okara	Kg	35	40	38	
Christophine	Kg	30	35	33	
Brd Leaf Mustard	Kg	65	70	68	
Spinach Leaf	Kg	45	50	48	
Cress Leaf	Kg	65	70	68	
Mustard Leaf	Kg	60	65	63	
Onion Green	Kg	45	50	48	
Mushroom	Kg	170	190	180	
Asparagus	Kg	150	170	163	
Neuro	Kg	50	60	55	
Sugarbeet	Kg	50	60	55	
Red Cabbbage	Kg	50	60	55	
Lettuce	Kg	75	80	78	
Celery	Kg	90	100	95	
Parseley	Kg	120	130	125	
Mint	Kg	140	150	145	
Tamarind	Kg	80	90	87	
Bamboo Shoot	Kg	130	140	137	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	200	220	210	
Banana	Doz	80	90	85	
Lime	100 Pcs	200	400	300	
Pomegranate	Kg	250	260	255	
Mango	Kg	70	80	77	
Water Melon	Kg	50	55	53	
Sweet Orange	Kg	110	130	120	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	55	60	58	
Jack Fruit	Kg	25	30	28	
Papaya	Kg	70	75	73	
Litchi	Kg	80	90	85	
Ginger	Kg	140	150	147	
Chilli Dry	Kg	190	200	197	
Chilli Green	Kg	35	40	38	
Capsicum	Kg	90	100	97	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	110	120	117	
Garlic Dry Chinese	Kg	105	110	108	
Garlic Dry Nepali	Kg	60	70	67	
Clive Dry	Kg	80	90	87	
Fish Fresh	Kg	210	220	217	
