 Daily Wholesale Price Bulletin	
Friday, July 11-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	18	20	19	
Tomato Small	Kg	12	16	14	
Potato Red	Kg	35	36	36	
Potato White	Kg	29	30	30	
Onion Dry	Kg	45	48	46	
Carrot	Kg	80	90	87	
Cabbage	Kg	40	45	42	
Cauli Local	Kg	40	45	43	
Raddish White	Kg	16	20	18	
Brinjal Long	Kg	22	25	24	
Brinjal Round	Kg	28	30	29	
Cow pea	Kg	45	55	50	
French Bean	Kg	55	60	58	
Sword Bean	Kg	120	125	123	
Soyabean Green	Kg	35	40	37	
Bitter Gourd	Kg	30	35	33	
Bottle Gourd	Kg	38	40	39	
Pointed Gourd	Kg	40	42	41	
Snake Gourd	Kg	20	25	23	
Smooth Gourd	Kg	30	35	33	
Sponge Gourd	Kg	40	45	43	
Pumpkin	Kg	22	24	23	
Squash	Kg	50	55	53	
Okara	Kg	38	40	39	
Christophine	Kg	30	35	33	
Brd Leaf Mustard	Kg	75	80	78	
Spinach Leaf	Kg	75	80	78	
Cress Leaf	Kg	75	80	78	
Mustard Leaf	Kg	75	80	78	
Onion Green	Kg	40	50	45	
Mushroom	Kg	150	160	157	
Asparagus	Kg	120	150	135	
Neuro	Kg	50	60	55	
Brocauli	Kg	180	200	190	
Sugarbeet	Kg	60	70	65	
Lettuce	Kg	75	80	78	
Celery	Kg	90	100	95	
Parseley	Kg	90	100	95	
Fennel Leaf	Kg	75	80	78	
Mint	Kg	100	110	105	
Tamarind	Kg	80	90	87	
Bamboo Shoot	Kg	130	140	137	
Tofu	Kg	60	70	65	
Gundruk	Kg	180	200	190	
Apple	Kg	200	220	210	
Banana	Doz	80	90	85	
Lime	100 Pcs	200	300	267	
Pomegranate	Kg	260	270	265	
Mango	Kg	80	90	87	
Water Melon	Kg	50	60	55	
Sweet Orange	Kg	120	130	125	
Pineapple	1 Pc	100	110	105	
Cucumber	Kg	50	55	53	
Jack Fruit	Kg	20	25	23	
Papaya	Kg	70	75	73	
Ginger	Kg	160	170	163	
Chilli Dry	Kg	190	200	197	
Chilli Green	Kg	40	45	43	
Capsicum	Kg	60	70	67	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	60	70	67	
Garlic Dry Chinese	Kg	100	110	105	
Garlic Dry Nepali	Kg	55	60	58	
Clive Dry	Kg	80	90	87	
Fish Fresh	Kg	210	220	217	
