 Daily Wholesale Price Bulletin	
Sunday, July 20-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	24	25	25	
Tomato Small	Kg	18	20	19	
Potato Red	Kg	40	42	41	
Potato White	Kg	30	35	33	
Onion Dry	Kg	45	48	46	
Carrot	Kg	80	90	83	
Cabbage	Kg	28	30	29	
Cauli Local	Kg	45	50	48	
Raddish White	Kg	18	20	19	
Brinjal Long	Kg	15	18	16	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	38	42	40	
French Bean	Kg	45	50	48	
Sword Bean	Kg	120	130	125	
Soyabean Green	Kg	50	55	53	
Bitter Gourd	Kg	30	40	35	
Bottle Gourd	Kg	25	30	27	
Pointed Gourd	Kg	38	40	39	
Snake Gourd	Kg	25	30	28	
Smooth Gourd	Kg	30	32	31	
Sponge Gourd	Kg	28	30	29	
Pumpkin	Kg	22	24	23	
Okara	Kg	24	30	26	
Christophine	Kg	37	40	39	
Brd Leaf Mustard	Kg	55	60	58	
Spinach Leaf	Kg	35	40	38	
Mustard Leaf	Kg	40	45	43	
Onion Green	Kg	40	45	43	
Mushroom	Kg	170	180	177	
Asparagus	Kg	120	140	127	
Neuro	Kg	50	60	53	
Brocauli	Kg	180	200	190	
Sugarbeet	Kg	60	70	65	
Red Cabbbage	Kg	140	150	143	
Lettuce	Kg	55	60	57	
Celery	Kg	90	100	95	
Parseley	Kg	90	100	95	
Fennel Leaf	Kg	55	60	58	
Mint	Kg	90	100	95	
Tamarind	Kg	80	90	87	
Bamboo Shoot	Kg	120	140	128	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	197	
Apple	Kg	220	250	237	
Banana	Doz	80	90	83	
Lime	100 Pcs	200	400	300	
Pomegranate	Kg	260	270	265	
Mango	Kg	70	80	77	
Water Melon	Kg	40	50	47	
Sweet Orange	Kg	110	120	115	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	50	55	53	
Jack Fruit	Kg	20	25	23	
Pear	Kg	28	30	29	
Papaya	Kg	60	70	67	
Ginger	Kg	160	170	167	
Chilli Dry	Kg	190	200	197	
Chilli Green	Kg	50	55	53	
Capsicum	Kg	50	60	55	
Garlic Green	Kg	65	70	68	
Coriander Green	Kg	60	70	67	
Garlic Dry Chinese	Kg	105	110	108	
Garlic Dry Nepali	Kg	60	70	67	
Clive Dry	Kg	90	100	97	
Fish Fresh	Kg	210	220	217	
