 Daily Wholesale Price Bulletin	
Monday, July 21-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	26	28	27	
Tomato Small	Kg	15	20	18	
Potato Red	Kg	40	42	41	
Potato White	Kg	31	32	32	
Onion Dry	Kg	45	48	46	
Carrot	Kg	75	80	78	
Cabbage	Kg	24	28	26	
Cauli Local	Kg	40	45	42	
Raddish White	Kg	8	12	10	
Brinjal Long	Kg	14	16	15	
Brinjal Round	Kg	25	28	26	
Cow pea	Kg	40	45	43	
French Bean	Kg	45	50	48	
Sword Bean	Kg	120	130	125	
Soyabean Green	Kg	55	65	60	
Bitter Gourd	Kg	30	35	33	
Bottle Gourd	Kg	25	30	28	
Pointed Gourd	Kg	35	40	38	
Snake Gourd	Kg	28	30	29	
Smooth Gourd	Kg	28	32	30	
Sponge Gourd	Kg	28	30	29	
Pumpkin	Kg	22	25	24	
Squash	Kg	55	60	58	
Okara	Kg	28	30	29	
Arum	Kg	40	45	43	
Christophine	Kg	35	40	38	
Brd Leaf Mustard	Kg	55	60	58	
Spinach Leaf	Kg	65	70	68	
Mustard Leaf	Kg	40	45	43	
Onion Green	Kg	45	50	48	
Mushroom	Kg	150	160	157	
Asparagus	Kg	120	150	137	
Neuro	Kg	50	60	55	
Brocauli	Kg	180	200	190	
Sugarbeet	Kg	60	70	65	
Red Cabbbage	Kg	140	150	145	
Lettuce	Kg	65	70	68	
Celery	Kg	90	100	95	
Parseley	Kg	90	100	95	
Fennel Leaf	Kg	65	70	68	
Mint	Kg	90	100	95	
Tamarind	Kg	80	90	87	
Bamboo Shoot	Kg	130	140	137	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	250	280	267	
Banana	Doz	80	90	85	
Lime	100 Pcs	200	400	300	
Pomegranate	Kg	250	260	255	
Mango	Kg	75	80	78	
Water Melon	Kg	40	50	45	
Sweet Orange	Kg	110	120	115	
Pineapple	1 Pc	60	70	65	
Cucumber	Kg	55	60	58	
Jack Fruit	Kg	20	25	23	
Papaya	Kg	70	75	72	
Ginger	Kg	160	170	167	
Chilli Dry	Kg	190	200	197	
Chilli Green	Kg	50	55	53	
Capsicum	Kg	50	55	53	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	50	60	57	
Garlic Dry Chinese	Kg	105	110	108	
Garlic Dry Nepali	Kg	60	65	63	
Clive Dry	Kg	90	100	97	
Fish Fresh	Kg	210	220	217	
