 Daily Wholesale Price Bulletin	
Saturday, July 26-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	35	40	38	
Tomato Small	Kg	35	40	38	
Potato Red	Kg	40	42	41	
Potato White	Kg	30	35	32	
Onion Dry	Kg	44	47	45	
Carrot	Kg	60	70	66	
Cabbage	Kg	22	24	23	
Cauli Local	Kg	40	45	42	
Raddish White	Kg	10	15	13	
Brinjal Long	Kg	14	18	16	
Brinjal Round	Kg	25	30	28	
Cow pea	Kg	35	40	38	
French Bean	Kg	50	55	53	
Sword Bean	Kg	110	120	115	
Soyabean Green	Kg	70	80	74	
Bitter Gourd	Kg	35	40	38	
Bottle Gourd	Kg	25	30	28	
Pointed Gourd	Kg	32	36	34	
Snake Gourd	Kg	25	30	28	
Smooth Gourd	Kg	15	20	18	
Sponge Gourd	Kg	25	30	28	
Pumpkin	Kg	22	24	23	
Squash	Kg	55	60	58	
Okara	Kg	22	25	24	
Arum	Kg	35	40	38	
Christophine	Kg	35	40	38	
Brd Leaf Mustard	Kg	70	80	77	
Spinach Leaf	Kg	75	80	78	
Mustard Leaf	Kg	55	60	58	
Onion Green	Kg	40	50	45	
Mushroom	Kg	170	180	176	
Asparagus	Kg	140	150	145	
Neuro	Kg	50	60	55	
Brocauli	Kg	180	200	190	
Sugarbeet	Kg	60	70	65	
Red Cabbbage	Kg	140	150	145	
Lettuce	Kg	75	80	78	
Celery	Kg	90	100	95	
Parseley	Kg	90	100	95	
Fennel Leaf	Kg	75	80	78	
Mint	Kg	90	100	97	
Tamarind	Kg	90	100	96	
Bamboo Shoot	Kg	130	140	136	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	250	260	253	
Banana	Doz	70	80	77	
Lime	100 Pcs	200	400	280	
Pomegranate	Kg	250	260	255	
Mango	Kg	70	80	74	
Water Melon	Kg	50	55	52	
Sweet Orange	Kg	120	130	125	
Pineapple	1 Pc	70	80	77	
Cucumber	Kg	45	50	48	
Jack Fruit	Kg	15	20	17	
Pear	Kg	25	30	28	
Papaya	Kg	60	70	66	
Ginger	Kg	140	150	146	
Chilli Dry	Kg	180	200	188	
Chilli Green	Kg	55	60	58	
Capsicum	Kg	45	50	48	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	70	80	76	
Garlic Dry Chinese	Kg	105	110	108	
Garlic Dry Nepali	Kg	55	60	59	
Clive Dry	Kg	90	100	95	
Fish Fresh	Kg	210	220	216	
