 Daily Wholesale Price Bulletin	
Tuesday, July 29-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	40	45	42	
Tomato Small	Kg	32	36	34	
Potato Red	Kg	40	42	41	
Potato White	Kg	30	32	31	
Onion Dry	Kg	44	46	45	
Carrot	Kg	70	75	72	
Cabbage	Kg	20	22	21	
Cauli Local	Kg	40	45	42	
Raddish White	Kg	8	12	10	
Brinjal Long	Kg	12	16	14	
Brinjal Round	Kg	25	30	28	
Cow pea	Kg	30	40	35	
French Bean	Kg	50	55	53	
Sword Bean	Kg	100	110	105	
Soyabean Green	Kg	55	60	57	
Bitter Gourd	Kg	30	35	33	
Bottle Gourd	Kg	25	30	28	
Pointed Gourd	Kg	30	35	33	
Snake Gourd	Kg	20	24	22	
Smooth Gourd	Kg	15	20	17	
Sponge Gourd	Kg	20	22	21	
Pumpkin	Kg	26	28	27	
Squash	Kg	35	40	38	
Okara	Kg	24	28	26	
Arum	Kg	35	40	38	
Christophine	Kg	30	35	33	
Brd Leaf Mustard	Kg	75	80	78	
Spinach Leaf	Kg	75	80	78	
Mustard Leaf	Kg	55	60	58	
Onion Green	Kg	50	55	53	
Mushroom	Kg	140	160	148	
Asparagus	Kg	120	150	135	
Neuro	Kg	50	60	55	
Brocauli	Kg	180	200	190	
Sugarbeet	Kg	60	70	65	
Red Cabbbage	Kg	140	150	145	
Lettuce	Kg	75	80	78	
Celery	Kg	110	120	115	
Parseley	Kg	110	120	115	
Fennel Leaf	Kg	75	80	78	
Mint	Kg	120	130	125	
Tamarind	Kg	90	100	96	
Bamboo Shoot	Kg	130	140	136	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	250	260	255	
Banana	Doz	80	90	85	
Lime	100 Pcs	300	400	360	
Pomegranate	Kg	250	260	255	
Mango	Kg	70	80	75	
Water Melon	Kg	45	50	48	
Sweet Orange	Kg	120	130	125	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	45	50	48	
Jack Fruit	Kg	15	20	18	
Pear	Kg	25	30	28	
Papaya	Kg	70	75	73	
Mombin	Kg	25	30	28	
Ginger	Kg	140	150	146	
Chilli Dry	Kg	200	215	207	
Chilli Green	Kg	55	60	58	
Capsicum	Kg	45	50	48	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	60	70	66	
Garlic Dry Chinese	Kg	105	108	106	
Garlic Dry Nepali	Kg	55	60	58	
Clive Dry	Kg	100	110	105	
Fish Fresh	Kg	210	220	216	
