 Daily Wholesale Price Bulletin	
Thursday, July 31-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	45	50	48	
Tomato Small	Kg	34	36	35	
Potato Red	Kg	40	43	42	
Potato White	Kg	31	32	32	
Onion Dry	Kg	44	46	45	
Carrot	Kg	80	90	83	
Cabbage	Kg	18	22	20	
Cauli Local	Kg	45	50	48	
Raddish White	Kg	12	14	13	
Brinjal Long	Kg	12	15	14	
Brinjal Round	Kg	25	30	28	
Cow pea	Kg	45	50	48	
French Bean	Kg	40	50	45	
Sword Bean	Kg	100	110	105	
Soyabean Green	Kg	45	50	48	
Bitter Gourd	Kg	30	35	33	
Bottle Gourd	Kg	20	25	22	
Pointed Gourd	Kg	34	37	36	
Snake Gourd	Kg	20	22	21	
Smooth Gourd	Kg	20	25	23	
Sponge Gourd	Kg	20	25	23	
Pumpkin	Kg	28	30	29	
Squash	Kg	35	40	38	
Okara	Kg	24	26	25	
Arum	Kg	35	40	38	
Christophine	Kg	35	40	38	
Brd Leaf Mustard	Kg	75	80	78	
Spinach Leaf	Kg	75	80	78	
Mustard Leaf	Kg	35	40	38	
Onion Green	Kg	55	60	58	
Mushroom	Kg	160	180	170	
Asparagus	Kg	150	160	155	
Neuro	Kg	50	60	55	
Brocauli	Kg	180	200	190	
Sugarbeet	Kg	70	80	75	
Red Cabbbage	Kg	90	100	95	
Lettuce	Kg	55	60	58	
Celery	Kg	100	110	105	
Parseley	Kg	100	110	105	
Fennel Leaf	Kg	55	60	58	
Mint	Kg	120	130	125	
Tamarind	Kg	90	100	97	
Bamboo Shoot	Kg	130	140	137	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	230	250	240	
Banana	Doz	80	90	85	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	230	250	240	
Grapes	Kg	70	80	77	
Water Melon	Kg	45	50	48	
Sweet Orange	Kg	120	130	125	
Pineapple	1 Pc	100	110	105	
Cucumber	Kg	45	50	48	
Jack Fruit	Kg	12	15	14	
Pear	Kg	25	30	28	
Papaya	Kg	60	70	67	
Mombin	Kg	25	30	28	
Ginger	Kg	140	150	147	
Chilli Dry	Kg	200	210	207	
Chilli Green	Kg	45	50	48	
Capsicum	Kg	45	50	48	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	60	80	70	
Garlic Dry Chinese	Kg	105	110	108	
Garlic Dry Nepali	Kg	55	60	58	
Clive Dry	Kg	90	110	100	
Fish Fresh	Kg	210	220	217	
