 Daily Wholesale Price Bulletin	
Monday, August 4-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	50	55	52	
Tomato Small	Kg	28	34	31	
Potato Red	Kg	42	44	43	
Potato White	Kg	31	32	32	
Onion Dry	Kg	44	45	45	
Carrot	Kg	65	70	68	
Cabbage	Kg	16	20	18	
Cauli Local	Kg	40	44	42	
Raddish White	Kg	6	8	7	
Brinjal Long	Kg	15	18	16	
Brinjal Round	Kg	28	30	29	
Cow pea	Kg	32	35	34	
French Bean	Kg	30	35	32	
Sword Bean	Kg	100	110	105	
Soyabean Green	Kg	40	45	42	
Bitter Gourd	Kg	30	35	33	
Bottle Gourd	Kg	20	25	22	
Pointed Gourd	Kg	30	35	33	
Snake Gourd	Kg	20	25	23	
Smooth Gourd	Kg	15	20	18	
Sponge Gourd	Kg	20	22	21	
Pumpkin	Kg	22	24	23	
Squash	Kg	25	30	27	
Okara	Kg	14	18	16	
Arum	Kg	35	40	38	
Christophine	Kg	30	35	33	
Brd Leaf Mustard	Kg	75	80	78	
Spinach Leaf	Kg	75	80	78	
Mustard Leaf	Kg	45	50	48	
Onion Green	Kg	45	50	48	
Mushroom	Kg	150	160	157	
Asparagus	Kg	180	200	190	
Neuro	Kg	50	60	53	
Brocauli	Kg	120	140	130	
Sugarbeet	Kg	60	70	65	
Red Cabbbage	Kg	90	100	95	
Celery	Kg	110	120	115	
Parseley	Kg	110	120	115	
Mint	Kg	130	140	135	
Tamarind	Kg	90	100	97	
Bamboo Shoot	Kg	130	140	137	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	200	220	210	
Banana	Doz	70	80	75	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	200	220	210	
Mango	Kg	90	100	95	
Water Melon	Kg	45	50	48	
Sweet Orange	Kg	100	110	105	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	40	50	45	
Jack Fruit	Kg	20	22	21	
Pear	Kg	30	35	33	
Papaya	Kg	55	60	58	
Mombin	Kg	28	30	29	
Ginger	Kg	130	140	137	
Chilli Dry	Kg	210	220	217	
Chilli Green	Kg	45	50	48	
Capsicum	Kg	40	50	44	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	130	150	140	
Garlic Dry Chinese	Kg	110	115	113	
Garlic Dry Nepali	Kg	60	65	63	
Clive Dry	Kg	100	110	105	
Fish Fresh	Kg	210	220	217	
