 Daily Wholesale Price Bulletin	
Tuesday, August 6-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	35	40	38	
Tomato Small	Kg	28	34	31	
Potato Red	Kg	26	27	27	
Potato White	Kg	22	23	23	
Onion Dry	Kg	60	62	61	
Carrot	Kg	45	50	48	
Cabbage	Kg	34	36	35	
Cauli Local	Kg	60	65	63	
Raddish White	Kg	16	20	18	
Brinjal Long	Kg	25	30	28	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	45	50	48	
French Bean	Kg	45	50	48	
Soyabean Green	Kg	50	55	53	
Bitter Gourd	Kg	24	28	26	
Bottle Gourd	Kg	32	36	34	
Pointed Gourd	Kg	40	42	41	
Snake Gourd	Kg	28	30	29	
Smooth Gourd	Kg	30	35	33	
Sponge Gourd	Kg	30	32	31	
Pumpkin	Kg	24	26	25	
Squash	Kg	30	35	33	
Okara	Kg	40	45	42	
Arum	Kg	35	40	38	
Christophine	Kg	25	30	28	
Brd Leaf Mustard	Kg	40	45	43	
Spinach Leaf	Kg	40	45	43	
Cress Leaf	Kg	40	45	43	
Mustard Leaf	Kg	30	35	33	
Fenugreek Leaf	Kg	40	45	43	
Onion Green	Kg	40	45	43	
Mushroom	Kg	200	210	205	
Asparagus	Kg	150	200	175	
Neuro	Kg	50	60	55	
Sugarbeet	Kg	50	60	55	
Red Cabbbage	Kg	70	80	75	
Lettuce	Kg	60	70	65	
Celery	Kg	120	130	125	
Parseley	Kg	170	180	175	
Mint	Kg	130	140	135	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	60	70	65	
Tofu	Kg	60	70	65	
Apple	Kg	90	100	95	
Banana	Doz	50	60	55	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	200	210	205	
Mango	Kg	70	80	75	
Water Melon	Kg	45	50	48	
Sweet Orange	Kg	85	90	88	
Pineapple	1 Pc	70	80	75	
Cucumber	Kg	25	30	28	
Papaya	Kg	60	65	63	
Mombin	Kg	20	25	23	
Ginger	Kg	160	170	165	
Chilli Dry	Kg	170	180	175	
Chilli Green	Kg	40	45	43	
Capsicum	Kg	45	50	48	
Garlic Green	Kg	40	45	43	
Coriander Green	Kg	120	130	125	
Garlic Dry Chinese	Kg	80	85	83	
Garlic Dry Nepali	Kg	50	60	55	
Clive Dry	Kg	70	80	75	
Clive Green	Kg	50	60	55	
Fish Fresh	Kg	220	240	230	
