 Daily Wholesale Price Bulletin	
Friday, August 8-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	45	50	47	
Tomato Small	Kg	24	28	26	
Potato Red	Kg	44	46	45	
Potato White	Kg	32	34	33	
Onion Dry	Kg	42	44	43	
Carrot	Kg	65	70	68	
Cabbage	Kg	16	20	18	
Cauli Local	Kg	40	45	43	
Raddish White	Kg	6	10	8	
Brinjal Long	Kg	12	15	14	
Brinjal Round	Kg	20	25	23	
Cow pea	Kg	25	30	28	
French Bean	Kg	30	35	33	
Sword Bean	Kg	100	110	105	
Soyabean Green	Kg	50	55	53	
Bitter Gourd	Kg	18	22	20	
Bottle Gourd	Kg	16	22	19	
Pointed Gourd	Kg	34	36	35	
Snake Gourd	Kg	20	24	22	
Smooth Gourd	Kg	12	16	14	
Sponge Gourd	Kg	20	22	21	
Pumpkin	Kg	24	28	26	
Squash	Kg	24	26	25	
Okara	Kg	14	18	16	
Arum	Kg	40	45	43	
Christophine	Kg	30	35	33	
Brd Leaf Mustard	Kg	55	60	58	
Spinach Leaf	Kg	55	60	58	
Mustard Leaf	Kg	40	45	43	
Onion Green	Kg	45	50	48	
Mushroom	Kg	150	160	157	
Asparagus	Kg	180	200	190	
Neuro	Kg	50	60	55	
Brocauli	Kg	140	150	145	
Sugarbeet	Kg	60	70	65	
Red Cabbbage	Kg	90	100	95	
Celery	Kg	100	110	105	
Parseley	Kg	100	110	105	
Mint	Kg	130	140	135	
Tamarind	Kg	90	100	97	
Bamboo Shoot	Kg	130	140	137	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	180	200	190	
Banana	Doz	60	70	65	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	190	200	195	
Mango	Kg	90	100	95	
Water Melon	Kg	45	50	48	
Sweet Orange	Kg	100	110	105	
Pineapple	1 Pc	90	100	95	
Cucumber	Kg	35	45	40	
Jack Fruit	Kg	20	25	23	
Pear	Kg	30	40	37	
Papaya	Kg	55	60	58	
Guava	Kg	30	35	33	
Mombin	Kg	20	25	23	
Ginger	Kg	140	150	147	
Chilli Dry	Kg	210	220	217	
Chilli Green	Kg	50	55	53	
Capsicum	Kg	40	45	43	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	70	80	77	
Garlic Dry Chinese	Kg	110	115	113	
Garlic Dry Nepali	Kg	60	70	67	
Clive Dry	Kg	100	110	107	
Fish Fresh	Kg	210	220	213	
