 Daily Wholesale Price Bulletin	
Sunday, August 10-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	45	50	48	
Tomato Small	Kg	22	26	24	
Potato Red	Kg	44	46	45	
Potato White	Kg	34	36	35	
Onion Dry	Kg	42	44	43	
Carrot	Kg	65	70	68	
Cabbage	Kg	16	20	18	
Cauli Local	Kg	35	40	37	
Raddish White	Kg	8	10	9	
Brinjal Long	Kg	12	16	14	
Brinjal Round	Kg	20	25	23	
Cow pea	Kg	30	35	33	
French Bean	Kg	30	35	33	
Sword Bean	Kg	100	110	105	
Bitter Gourd	Kg	20	25	23	
Bottle Gourd	Kg	20	25	23	
Pointed Gourd	Kg	30	35	33	
Snake Gourd	Kg	20	24	22	
Smooth Gourd	Kg	15	20	18	
Sponge Gourd	Kg	20	24	22	
Pumpkin	Kg	24	28	26	
Squash	Kg	20	22	21	
Okara	Kg	12	15	13	
Arum	Kg	35	40	38	
Christophine	Kg	20	25	23	
Brd Leaf Mustard	Kg	55	60	58	
Spinach Leaf	Kg	55	60	58	
Mustard Leaf	Kg	45	50	48	
Onion Green	Kg	45	50	48	
Mushroom	Kg	190	200	195	
Asparagus	Kg	250	300	275	
Neuro	Kg	50	60	55	
Brocauli	Kg	140	150	145	
Sugarbeet	Kg	60	70	65	
Red Cabbbage	Kg	90	100	95	
Celery	Kg	90	100	95	
Parseley	Kg	90	100	95	
Mint	Kg	120	130	125	
Tamarind	Kg	90	100	95	
Bamboo Shoot	Kg	130	140	136	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	180	200	190	
Banana	Doz	60	70	65	
Lime	100 Pcs	300	400	360	
Pomegranate	Kg	190	200	195	
Mango	Kg	90	100	95	
Water Melon	Kg	45	50	48	
Sweet Orange	Kg	100	110	103	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	40	45	43	
Jack Fruit	Kg	20	25	23	
Pear	Kg	30	40	36	
Papaya	Kg	50	60	55	
Guava	Kg	30	35	33	
Mombin	Kg	20	25	23	
Ginger	Kg	140	150	146	
Chilli Dry	Kg	210	220	216	
Chilli Green	Kg	50	55	53	
Capsicum	Kg	35	40	38	
Garlic Green	Kg	40	45	43	
Coriander Green	Kg	100	110	105	
Garlic Dry Chinese	Kg	110	120	116	
Garlic Dry Nepali	Kg	60	70	64	
Clive Dry	Kg	100	110	105	
Fish Fresh	Kg	210	220	215	
