 Daily Wholesale Price Bulletin	
Wednesday, August 13-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	40	45	42	
Tomato Small	Kg	25	28	26	
Potato Red	Kg	45	48	46	
Potato White	Kg	35	36	36	
Onion Dry	Kg	42	44	43	
Carrot	Kg	70	80	77	
Cabbage	Kg	12	16	14	
Cauli Local	Kg	40	45	43	
Raddish White	Kg	10	12	11	
Brinjal Long	Kg	15	20	18	
Brinjal Round	Kg	20	22	21	
Cow pea	Kg	18	20	19	
French Bean	Kg	20	25	22	
Sword Bean	Kg	100	110	105	
Soyabean Green	Kg	40	45	42	
Bitter Gourd	Kg	20	24	22	
Bottle Gourd	Kg	12	15	14	
Pointed Gourd	Kg	32	35	34	
Snake Gourd	Kg	18	20	19	
Smooth Gourd	Kg	10	15	12	
Sponge Gourd	Kg	18	20	19	
Pumpkin	Kg	26	28	27	
Squash	Kg	20	25	23	
Okara	Kg	8	12	11	
Arum	Kg	40	45	43	
Christophine	Kg	18	22	20	
Brd Leaf Mustard	Kg	55	60	58	
Spinach Leaf	Kg	55	60	58	
Mustard Leaf	Kg	45	50	48	
Onion Green	Kg	45	50	48	
Mushroom	Kg	150	160	157	
Asparagus	Kg	190	200	195	
Neuro	Kg	50	60	55	
Brocauli	Kg	140	150	145	
Sugarbeet	Kg	60	70	65	
Red Cabbbage	Kg	90	100	95	
Celery	Kg	100	110	105	
Parseley	Kg	100	110	105	
Mint	Kg	110	120	115	
Tamarind	Kg	80	90	87	
Bamboo Shoot	Kg	120	130	123	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	110	130	120	
Banana	Doz	60	70	65	
Lime	100 Pcs	300	400	367	
Pomegranate	Kg	170	190	180	
Mango	Kg	80	90	87	
Water Melon	Kg	45	50	48	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	45	50	48	
Jack Fruit	Kg	20	25	23	
Pear	Kg	30	40	33	
Papaya	Kg	60	70	63	
Guava	Kg	45	50	48	
Mombin	Kg	20	22	21	
Ginger	Kg	130	140	137	
Chilli Dry	Kg	210	220	217	
Chilli Green	Kg	55	65	60	
Capsicum	Kg	35	40	38	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	90	100	97	
Garlic Dry Chinese	Kg	110	115	113	
Garlic Dry Nepali	Kg	60	70	65	
Clive Dry	Kg	90	100	97	
Fish Fresh	Kg	210	220	217	
