 Daily Wholesale Price Bulletin	
Thursday, August 15-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	35	40	38	
Tomato Small	Kg	25	32	29	
Potato Red	Kg	27	28	28	
Potato White	Kg	23	24	24	
Onion Dry	Kg	88	90	89	
Carrot	Kg	50	55	53	
Cabbage	Kg	35	40	38	
Cauli Local	Kg	55	60	58	
Raddish White	Kg	22	26	24	
Brinjal Long	Kg	30	35	33	
Brinjal Round	Kg	35	40	38	
Cow pea	Kg	55	60	58	
French Bean	Kg	55	60	58	
Soyabean Green	Kg	55	60	58	
Bitter Gourd	Kg	25	30	28	
Bottle Gourd	Kg	35	40	38	
Pointed Gourd	Kg	40	45	43	
Snake Gourd	Kg	35	40	38	
Smooth Gourd	Kg	35	40	38	
Sponge Gourd	Kg	30	35	33	
Pumpkin	Kg	28	30	29	
Squash	Kg	35	40	38	
Okara	Kg	50	55	53	
Christophine	Kg	30	32	31	
Brd Leaf Mustard	Kg	55	60	58	
Spinach Leaf	Kg	55	60	58	
Cress Leaf	Kg	55	60	58	
Mustard Leaf	Kg	45	50	48	
Fenugreek Leaf	Kg	55	60	58	
Onion Green	Kg	55	60	58	
Mushroom	Kg	180	200	190	
Asparagus	Kg	180	200	190	
Neuro	Kg	50	60	55	
Sugarbeet	Kg	50	60	55	
Red Cabbbage	Kg	70	80	75	
Lettuce	Kg	45	50	48	
Celery	Kg	120	130	125	
Parseley	Kg	150	160	155	
Fennel Leaf	Kg	45	50	48	
Mint	Kg	120	130	125	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	60	65	63	
Tofu	Kg	60	70	65	
Gundruk	Kg	180	200	190	
Apple	Kg	90	100	95	
Banana	Doz	50	60	55	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	220	230	225	
Mango	Kg	110	120	115	
Water Melon	Kg	40	45	43	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	70	80	75	
Cucumber	Kg	25	30	28	
Jack Fruit	Kg	15	18	17	
Papaya	Kg	55	60	58	
Guava	Kg	35	40	38	
Mombin	Kg	18	20	19	
Ginger	Kg	150	160	155	
Chilli Dry	Kg	170	180	175	
Chilli Green	Kg	40	45	43	
Capsicum	Kg	60	65	63	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	180	200	190	
Garlic Dry Chinese	Kg	75	80	78	
Garlic Dry Nepali	Kg	55	60	58	
Clive Dry	Kg	90	100	95	
Clive Green	Kg	50	60	55	
Fish Fresh	Kg	220	240	230	
