 Daily Wholesale Price Bulletin	
Friday, September 13-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	32	36	34	
Tomato Small	Kg	35	40	38	
Potato Red	Kg	30	31	31	
Potato White	Kg	26	27	27	
Onion Dry	Kg	85	90	88	
Carrot	Kg	55	60	58	
Cabbage	Kg	40	45	43	
Cauli Local	Kg	40	45	43	
Raddish White	Kg	30	35	33	
Brinjal Long	Kg	25	30	28	
Brinjal Round	Kg	35	40	38	
Cow pea	Kg	40	50	45	
French Bean	Kg	48	52	50	
Soyabean Green	Kg	40	45	43	
Bitter Gourd	Kg	35	40	38	
Bottle Gourd	Kg	30	35	33	
Pointed Gourd	Kg	50	55	53	
Snake Gourd	Kg	25	30	28	
Smooth Gourd	Kg	20	25	23	
Sponge Gourd	Kg	30	35	33	
Pumpkin	Kg	35	40	38	
Squash	Kg	20	25	23	
Okara	Kg	40	45	43	
Barela	Kg	80	90	85	
Arum	Kg	35	40	38	
Christophine	Kg	12	14	13	
Brd Leaf Mustard	Kg	40	45	43	
Spinach Leaf	Kg	40	45	43	
Cress Leaf	Kg	40	45	43	
Mustard Leaf	Kg	40	45	43	
Fenugreek Leaf	Kg	40	45	43	
Onion Green	Kg	40	45	43	
Mushroom	Kg	150	160	155	
Asparagus	Kg	200	250	225	
Neuro	Kg	50	60	55	
Brocauli	Kg	140	150	145	
Sugarbeet	Kg	50	60	55	
Red Cabbbage	Kg	150	160	155	
Lettuce	Kg	45	50	48	
Celery	Kg	120	130	125	
Parseley	Kg	150	160	155	
Fennel Leaf	Kg	45	50	48	
Mint	Kg	150	160	155	
Tamarind	Kg	75	80	78	
Bamboo Shoot	Kg	65	70	68	
Tofu	Kg	55	60	58	
Apple	Kg	75	80	78	
Banana	Doz	50	60	55	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	200	220	210	
Water Melon	Kg	40	45	43	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	70	80	75	
Cucumber	Kg	40	45	43	
Papaya	Kg	55	60	58	
Guava	Kg	25	30	28	
Mombin	Kg	20	25	23	
Sugarcane	1 Pc	60	70	65	
Ginger	Kg	140	150	145	
Chilli Dry	Kg	165	170	168	
Chilli Green	Kg	80	90	85	
Capsicum	Kg	80	90	85	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	90	100	95	
Garlic Dry Chinese	Kg	115	120	118	
Garlic Dry Nepali	Kg	75	80	78	
Clive Dry	Kg	85	90	88	
Clive Green	Kg	50	60	55	
Fish Fresh	Kg	220	240	230	
