 Daily Wholesale Price Bulletin	
Saturday, September 13-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	35	40	38	
Tomato Small	Kg	25	28	26	
Potato Red	Kg	45	46	46	
Potato White	Kg	39	40	40	
Onion Dry	Kg	38	40	39	
Carrot	Kg	70	75	73	
Cabbage	Kg	12	16	14	
Cauli Local	Kg	55	60	58	
Raddish White	Kg	14	16	15	
Brinjal Long	Kg	20	22	21	
Brinjal Round	Kg	35	40	38	
Cow pea	Kg	50	55	53	
French Bean	Kg	55	60	58	
Sword Bean	Kg	100	110	105	
Soyabean Green	Kg	55	60	58	
Bitter Gourd	Kg	50	55	53	
Bottle Gourd	Kg	30	35	33	
Pointed Gourd	Kg	40	45	42	
Snake Gourd	Kg	25	30	28	
Smooth Gourd	Kg	25	30	28	
Sponge Gourd	Kg	40	45	42	
Pumpkin	Kg	25	30	27	
Squash	Kg	25	30	28	
Okara	Kg	50	55	53	
Arum	Kg	35	40	38	
Christophine	Kg	14	16	15	
Brd Leaf Mustard	Kg	55	60	58	
Spinach Leaf	Kg	55	60	58	
Cress Leaf	Kg	80	90	87	
Mustard Leaf	Kg	30	35	33	
Onion Green	Kg	55	60	58	
Mushroom	Kg	150	170	162	
Asparagus	Kg	380	400	390	
Neuro	Kg	50	60	55	
Brocauli	Kg	140	150	145	
Sugarbeet	Kg	60	70	65	
Red Cabbbage	Kg	90	100	95	
Lettuce	Kg	55	60	58	
Celery	Kg	110	120	115	
Mint	Kg	110	120	115	
Turnip A	Kg	35	40	38	
Tamarind	Kg	90	100	96	
Bamboo Shoot	Kg	60	70	66	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	80	100	90	
Banana	Doz	55	60	58	
Lime	100 Pcs	400	500	460	
Pomegranate	Kg	160	180	170	
Water Melon	Kg	40	45	43	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	30	35	33	
Lemon	Kg	30	40	35	
Pear	Kg	30	40	35	
Papaya	Kg	55	60	58	
Guava	Kg	30	40	37	
Mombin	Kg	20	25	23	
Ginger	Kg	120	130	126	
Chilli Dry	Kg	210	220	216	
Chilli Green	Kg	80	90	86	
Capsicum	Kg	90	100	96	
Garlic Green	Kg	80	90	87	
Coriander Green	Kg	150	160	157	
Garlic Dry Chinese	Kg	108	112	110	
Garlic Dry Nepali	Kg	90	100	97	
Clive Dry	Kg	110	120	115	
Clive Green	Kg	90	100	95	
Fish Fresh	Kg	220	230	226	
