 Daily Wholesale Price Bulletin	
Sunday, September 14-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	50	60	55	
Tomato Small	Kg	30	35	33	
Potato Red	Kg	50	55	53	
Potato White	Kg	45	50	48	
Onion Dry	Kg	38	40	39	
Carrot	Kg	70	75	73	
Cabbage	Kg	10	12	11	
Cauli Local	Kg	60	70	65	
Raddish White	Kg	16	20	18	
Brinjal Long	Kg	20	22	21	
Brinjal Round	Kg	18	22	20	
Cow pea	Kg	45	50	48	
French Bean	Kg	60	65	63	
Soyabean Green	Kg	40	45	43	
Bitter Gourd	Kg	40	50	45	
Bottle Gourd	Kg	40	45	43	
Pointed Gourd	Kg	45	50	48	
Smooth Gourd	Kg	30	35	33	
Pumpkin	Kg	25	28	27	
Squash	Kg	20	30	24	
Okara	Kg	50	52	51	
Barela	Kg	90	95	93	
Christophine	Kg	15	16	16	
Onion Green	Kg	55	60	58	
Mushroom	Kg	200	250	225	
Asparagus	Kg	350	380	365	
Neuro	Kg	30	40	35	
Red Cabbbage	Kg	90	100	95	
Lettuce	Kg	55	60	58	
Celery	Kg	110	120	115	
Mint	Kg	110	120	115	
Turnip A	Kg	35	40	38	
Tamarind	Kg	90	100	97	
Bamboo Shoot	Kg	60	70	67	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	80	100	90	
Banana	Doz	55	60	58	
Lime	100 Pcs	400	500	433	
Pomegranate	Kg	160	180	170	
Water Melon	Kg	40	45	43	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	30	35	33	
Lemon	Kg	35	40	38	
Pear	Kg	30	40	35	
Papaya	Kg	55	60	58	
Guava	Kg	30	40	37	
Mombin	Kg	20	25	23	
Ginger	Kg	120	130	127	
Chilli Dry	Kg	210	220	217	
Chilli Green	Kg	80	90	87	
Capsicum	Kg	90	100	97	
Garlic Green	Kg	80	90	87	
Coriander Green	Kg	150	160	157	
Garlic Dry Chinese	Kg	108	110	109	
Garlic Dry Nepali	Kg	90	100	97	
Clive Dry	Kg	110	120	115	
Clive Green	Kg	90	100	95	
Fish Fresh	Kg	220	230	227	
