 Daily Wholesale Price Bulletin	
Wednesday, September 17-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Small	Kg	45	50	48	
Potato Red	Kg	45	46	46	
Potato White	Kg	39	40	40	
Onion Dry	Kg	38	39	39	
Carrot	Kg	70	75	73	
Cabbage	Kg	12	16	14	
Cauli Local	Kg	50	60	54	
Raddish White	Kg	12	16	14	
Brinjal Long	Kg	24	28	26	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	45	50	48	
French Bean	Kg	50	55	53	
Sword Bean	Kg	100	110	105	
Soyabean Green	Kg	40	44	42	
Bitter Gourd	Kg	55	60	58	
Bottle Gourd	Kg	25	30	28	
Pointed Gourd	Kg	50	55	53	
Snake Gourd	Kg	30	35	33	
Smooth Gourd	Kg	30	40	36	
Pumpkin	Kg	34	36	35	
Squash	Kg	25	30	27	
Okara	Kg	50	60	55	
Arum	Kg	40	44	42	
Christophine	Kg	14	16	15	
Brd Leaf Mustard	Kg	55	60	58	
Spinach Leaf	Kg	55	60	58	
Cress Leaf	Kg	80	90	87	
Mustard Leaf	Kg	35	40	38	
Onion Green	Kg	55	60	58	
Mushroom	Kg	170	180	177	
Asparagus	Kg	400	420	410	
Neuro	Kg	50	60	55	
Brocauli	Kg	140	150	145	
Sugarbeet	Kg	60	80	70	
Red Cabbbage	Kg	90	100	95	
Lettuce	Kg	55	60	58	
Celery	Kg	110	120	115	
Mint	Kg	120	130	125	
Turnip A	Kg	45	50	48	
Tamarind	Kg	90	100	97	
Bamboo Shoot	Kg	60	70	67	
Tofu	Kg	60	70	67	
Gundruk	Kg	190	200	195	
Apple	Kg	100	120	110	
Banana	Doz	40	45	43	
Lime	100 Pcs	500	600	567	
Pomegranate	Kg	190	200	195	
Water Melon	Kg	40	45	43	
Sweet Orange	Kg	80	90	87	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	30	35	33	
Lemon	Kg	35	40	38	
Pear	Kg	30	40	37	
Papaya	Kg	55	60	58	
Guava	Kg	30	40	37	
Mombin	Kg	20	25	23	
Ginger	Kg	120	130	125	
Chilli Dry	Kg	200	210	206	
Chilli Green	Kg	80	90	87	
Capsicum	Kg	130	140	137	
Garlic Green	Kg	80	90	87	
Coriander Green	Kg	120	150	137	
Garlic Dry Chinese	Kg	105	110	108	
Garlic Dry Nepali	Kg	105	110	108	
Clive Dry	Kg	110	130	120	
Clive Green	Kg	90	100	95	
Fish Fresh	Kg	220	230	227	
