 Daily Wholesale Price Bulletin	
Tuesday, September 24-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	40	45	43	
Tomato Small	Kg	30	35	33	
Potato Red	Kg	30	31	31	
Potato White	Kg	28	29	29	
Onion Dry	Kg	95	100	98	
Carrot	Kg	75	80	78	
Cabbage	Kg	40	42	41	
Cauli Local	Kg	30	40	33	
Raddish White	Kg	25	30	28	
Brinjal Long	Kg	25	30	28	
Brinjal Round	Kg	35	40	38	
Cow pea	Kg	28	30	29	
French Bean	Kg	25	30	28	
Sword Bean	Kg	90	100	95	
Soyabean Green	Kg	35	40	38	
Bitter Gourd	Kg	30	35	33	
Bottle Gourd	Kg	25	30	28	
Pointed Gourd	Kg	40	45	43	
Snake Gourd	Kg	25	30	28	
Smooth Gourd	Kg	25	30	28	
Sponge Gourd	Kg	30	35	33	
Pumpkin	Kg	35	40	38	
Squash	Kg	15	20	18	
Okara	Kg	45	50	48	
Barela	Kg	60	70	65	
Arum	Kg	35	40	38	
Christophine	Kg	10	12	11	
Brd Leaf Mustard	Kg	45	50	48	
Spinach Leaf	Kg	45	50	48	
Cress Leaf	Kg	45	50	48	
Mustard Leaf	Kg	40	45	43	
Fenugreek Leaf	Kg	45	50	48	
Onion Green	Kg	50	55	53	
Mushroom	Kg	150	160	155	
Asparagus	Kg	180	200	190	
Neuro	Kg	50	60	55	
Brocauli	Kg	140	150	145	
Sugarbeet	Kg	50	60	55	
Red Cabbbage	Kg	140	150	145	
Lettuce	Kg	45	50	48	
Celery	Kg	120	130	125	
Parseley	Kg	150	160	155	
Fennel Leaf	Kg	45	50	48	
Mint	Kg	150	160	155	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	60	70	65	
Tofu	Kg	60	70	65	
Gundruk	Kg	180	200	190	
Apple	Kg	90	100	95	
Banana	Doz	50	55	53	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	180	200	190	
Orange	Kg	75	80	78	
Water Melon	Kg	70	75	73	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	30	35	33	
Papaya	Kg	60	65	62	
Guava	Kg	25	30	28	
Mombin	Kg	20	25	23	
Sugarcane	1 Pc	70	80	75	
Ginger	Kg	90	100	96	
Chilli Dry	Kg	170	175	173	
Chilli Green	Kg	60	65	63	
Capsicum	Kg	90	100	95	
Garlic Green	Kg	45	50	48	
Coriander Green	Kg	80	90	85	
Garlic Dry Chinese	Kg	110	115	113	
Garlic Dry Nepali	Kg	80	85	83	
Clive Dry	Kg	85	90	88	
Clive Green	Kg	50	60	55	
Fish Fresh	Kg	220	240	230	
