 Daily Wholesale Price Bulletin	
Thursday, September 26-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	35	40	38	
Tomato Small	Kg	30	35	33	
Potato Red	Kg	24	27	26	
Potato White	Kg	18	20	19	
Onion Dry	Kg	95	100	98	
Carrot	Kg	70	75	73	
Cabbage	Kg	38	40	39	
Cauli Local	Kg	35	40	38	
Raddish White	Kg	30	35	33	
Brinjal Long	Kg	25	30	28	
Brinjal Round	Kg	25	30	28	
Cow pea	Kg	28	30	29	
French Bean	Kg	28	32	30	
Soyabean Green	Kg	40	40	40	
Bitter Gourd	Kg	30	35	33	
Bottle Gourd	Kg	25	30	28	
Pointed Gourd	Kg	40	45	43	
Snake Gourd	Kg	20	25	23	
Smooth Gourd	Kg	30	35	33	
Pumpkin	Kg	35	40	38	
Squash	Kg	15	20	18	
Okara	Kg	35	40	38	
Barela	Kg	65	70	68	
Arum	Kg	35	40	38	
Christophine	Kg	10	12	11	
Brd Leaf Mustard	Kg	40	45	43	
Spinach Leaf	Kg	40	45	43	
Cress Leaf	Kg	40	45	43	
Mustard Leaf	Kg	35	40	38	
Fenugreek Leaf	Kg	55	60	58	
Onion Green	Kg	60	65	63	
Mushroom	Kg	150	160	155	
Asparagus	Kg	300	350	325	
Neuro	Kg	50	60	55	
Brocauli	Kg	140	150	145	
Sugarbeet	Kg	50	60	55	
Red Cabbbage	Kg	140	150	145	
Lettuce	Kg	45	50	48	
Celery	Kg	140	150	145	
Parseley	Kg	120	130	125	
Fennel Leaf	Kg	45	50	48	
Mint	Kg	120	130	125	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	60	70	65	
Tofu	Kg	60	70	65	
Gundruk	Kg	180	200	190	
Apple	Kg	90	100	95	
Banana	Doz	45	50	48	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	190	200	195	
Orange	Kg	70	80	75	
Water Melon	Kg	65	70	68	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	30	40	35	
Lemon	Kg	25	30	28	
Papaya	Kg	60	65	63	
Guava	Kg	25	30	28	
Mombin	Kg	20	25	23	
Sugarcane	1 Pc	70	80	75	
Ginger	Kg	90	100	95	
Chilli Dry	Kg	170	175	173	
Chilli Green	Kg	60	70	65	
Capsicum	Kg	80	90	85	
Garlic Green	Kg	55	60	58	
Coriander Green	Kg	70	80	75	
Garlic Dry Chinese	Kg	110	115	113	
Garlic Dry Nepali	Kg	80	85	83	
Clive Dry	Kg	85	90	88	
Clive Green	Kg	40	50	45	
Fish Fresh	Kg	220	240	230	
