 Daily Wholesale Price Bulletin	
Monday, September 29-2014	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	55	60	58	
Tomato Small	Kg	50	55	52	
Potato Red	Kg	48	50	49	
Potato White	Kg	35	37	36	
Onion Dry	Kg	37	38	38	
Carrot	Kg	65	70	68	
Cabbage	Kg	16	20	19	
Cauli Local	Kg	45	55	51	
Raddish White	Kg	24	28	26	
Brinjal Long	Kg	25	30	28	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	55	60	58	
Green Peas	Kg	130	140	135	
French Bean	Kg	55	60	58	
Sword Bean	Kg	80	100	90	
Soyabean Green	Kg	40	45	41	
Bitter Gourd	Kg	50	55	53	
Bottle Gourd	Kg	30	35	33	
Pointed Gourd	Kg	45	50	48	
Snake Gourd	Kg	32	36	34	
Smooth Gourd	Kg	45	50	48	
Sponge Gourd	Kg	45	50	48	
Squash	Kg	25	30	28	
Turnip	Kg	25	30	28	
Okara	Kg	38	40	39	
Barela	Kg	70	80	77	
Arum	Kg	40	42	41	
Christophine	Kg	12	16	14	
Brd Leaf Mustard	Kg	55	60	58	
Spinach Leaf	Kg	55	60	58	
Cress Leaf	Kg	80	90	87	
Onion Green	Kg	60	70	67	
Mushroom	Kg	180	200	190	
Asparagus	Kg	280	300	290	
Neuro	Kg	50	60	55	
Brocauli	Kg	140	150	145	
Sugarbeet	Kg	60	70	65	
Drumstick	Kg	140	150	145	
Red Cabbbage	Kg	90	100	95	
Lettuce	Kg	55	60	58	
Celery	Kg	110	120	115	
Mint	Kg	110	120	115	
Turnip A	Kg	45	50	48	
Tamarind	Kg	90	100	97	
Bamboo Shoot	Kg	60	70	67	
Tofu	Kg	60	70	65	
Gundruk	Kg	190	200	195	
Apple	Kg	110	120	117	
Banana	Doz	50	55	53	
Lime	100 Pcs	500	600	567	
Pomegranate	Kg	220	230	225	
Orange	Kg	65	70	68	
Water Melon	Kg	55	60	58	
Sweet Orange	Kg	80	90	85	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	30	35	33	
Lemon	Kg	35	40	38	
Pear	Kg	30	40	35	
Papaya	Kg	65	70	68	
Guava	Kg	30	40	37	
Mombin	Kg	22	25	24	
Ginger	Kg	110	120	117	
Chilli Dry	Kg	190	200	197	
Chilli Green	Kg	55	60	58	
Capsicum	Kg	130	140	137	
Garlic Green	Kg	80	90	87	
Coriander Green	Kg	80	100	90	
Garlic Dry Chinese	Kg	115	120	118	
Garlic Dry Nepali	Kg	110	115	112	
Clive Dry	Kg	120	130	125	
Clive Green	Kg	90	100	95	
Fish Fresh	Kg	220	230	227	
