 Daily Wholesale Price Bulletin	
Thursday, October 10-2013	
 Commodity Name	Unit	Minimum	 Maximum	Average	
Tomato Big	Kg	55	60	58	
Tomato Small	Kg	75	80	78	
Potato Red	Kg	30	32	31	
Potato White	Kg	18	20	19	
Onion Dry	Kg	92	96	94	
Carrot	Kg	75	80	78	
Cabbage	Kg	30	35	33	
Cauli Local	Kg	40	45	43	
Raddish Red	Kg	40	45	43	
Raddish White	Kg	28	30	29	
Brinjal Long	Kg	20	25	23	
Brinjal Round	Kg	30	35	33	
Cow pea	Kg	55	60	58	
Green Peas	Kg	80	90	85	
French Bean	Kg	50	60	55	
Sword Bean	Kg	60	70	65	
Soyabean Green	Kg	40	45	43	
Bitter Gourd	Kg	35	40	38	
Bottle Gourd	Kg	25	30	28	
Pointed Gourd	Kg	40	45	43	
Snake Gourd	Kg	20	25	23	
Smooth Gourd	Kg	30	35	33	
Pumpkin	Kg	10	15	13	
Squash	Kg	20	25	23	
Okara	Kg	40	45	43	
Barela	Kg	25	30	28	
Arum	Kg	30	35	33	
Christophine	Kg	8	10	9	
Brd Leaf Mustard	Kg	25	30	28	
Spinach Leaf	Kg	25	30	28	
Cress Leaf	Kg	20	25	23	
Mustard Leaf	Kg	20	25	23	
Fenugreek Leaf	Kg	45	50	48	
Onion Green	Kg	75	80	78	
Bakula	Kg	90	100	95	
Mushroom	Kg	150	160	155	
Asparagus	Kg	250	300	275	
Brocauli	Kg	140	150	145	
Sugarbeet	Kg	60	70	65	
Red Cabbbage	Kg	140	150	145	
Lettuce	Kg	45	50	48	
Celery	Kg	120	130	125	
Parseley	Kg	140	150	145	
Fennel Leaf	Kg	45	50	48	
Mint	Kg	120	130	125	
Turnip A	Kg	45	50	48	
Tamarind	Kg	70	80	75	
Bamboo Shoot	Kg	50	60	55	
Tofu	Kg	60	70	65	
Gundruk	Kg	180	190	185	
Apple	Kg	100	120	110	
Banana	Doz	50	60	55	
Lime	100 Pcs	300	400	350	
Pomegranate	Kg	220	240	230	
Orange	Kg	80	90	85	
Water Melon	Kg	40	50	45	
Sweet Orange	Kg	70	80	75	
Pineapple	1 Pc	80	90	85	
Cucumber	Kg	30	35	33	
Lemon	Kg	25	30	28	
Papaya	Kg	55	60	58	
Guava	Kg	25	30	28	
Mombin	Kg	25	30	28	
Sugarcane	1 Pc	70	80	75	
Ginger	Kg	90	100	95	
Chilli Dry	Kg	160	170	165	
Chilli Green	Kg	50	55	53	
Capsicum	Kg	90	100	95	
Garlic Green	Kg	75	80	78	
Coriander Green	Kg	60	70	65	
Garlic Dry Chinese	Kg	105	110	108	
Garlic Dry Nepali	Kg	75	80	78	
Clive Dry	Kg	100	110	105	
Clive Green	Kg	50	60	55	
Fish Fresh	Kg	220	240	230	
